"Table 3: Adult (19+) Aims Started by Learners Observed Claiming Benefits in Matched Data, 2011/12 ",,,,
,,2011/12,,
,,Year to Date August to January (provisional as at 29/03/12),,
,,Active benefits,Other benefits,"All
benefits"
Total aims started by learners observed claiming benefits in matched data ,,"323,200","205,900","529,100"
of which…,Below Level 2,"201,200","124,400","325,600"
,Level 2,"90,200","47,700","137,900"
,Level 3,"18,300","16,300","34,600"
,Level 4+,"1,400",600,"2,000"
,No Level Assigned,"12,100","17,000","29,100"
,Below Level 2 (excluding Skills for Life),"114,700","64,600","179,200"
,Skills for Life,"112,200","73,000","185,100"
,Full Level 2,"48,900","28,400","77,300"
,Full Level 3,"16,500","15,000","31,500"
Notes,,,,
"1. Matched data figures are sourced from a joint DWP/BIS analytical project set up to develop a matched database incorporating key datasets across BIS, DWP and HMRC. Please see http://www.thedataservice.org.uk/statistics/other_statistics_and_research/ for more details. ",,,,
2. Active benefits include Employment and Support Allowance - Work Related Activity Group (ESA WRAG) and Jobseeker's Allowance (JSA).,,,,
"3. Other benefits included here are other Employment Support Allowance groups (i.e. excluding ESA-WRAG), Income Support, Incapacity Benefit, Severe Disablement Allowance, and Pension Credit for men aged 60-64",,,,
4. Volumes are rounded to the nearest 100.,,,,
5. '-' Indicates a base value of less than 50.,,,,
