24-Sep-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NextStep Progression - IFF Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 98/ 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q43_5. Work and learning - Extent to which agree: It's hard to get information or advice about jobs or careers that I'd be suited for,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fieldwork Month,,Quarter,Intervention Type,,Service Type,,,Age,,,,Prime Contractor,,,,,,,,,,,,,Employment status,,,,Ethnicity,Fieldwork Month,,NEET,Longit
,Total,Aug-11,Sep-11,Q3,Telephone,Face To Face (F2fF),Telephone Advice,Telephone Information,F2F Advice,Under 19,20-24,25-49,50 or over,Next Step,EM,E of E,London,NE,NW Econ Sol,NW GMCP Mersey,NW GMCP Cumbria,SE,SW CSW,SW Tribal,WM,Y & H,Work,Learning,Unemployed,Other,Non-White British,Feb-12,Mar-12,18-24 NEET,Yes
Unweighted row,582,476,106,582,181,401,54,127,401,39,111,329,103,181,44,34,38,24,37,19,15,43,27,41,39,40,136,40,355,41,582,476,106,100,582
Total,612,501,111,612,107,505,15,91,505,41,112,337,121,107,55,43,48,30,47,24,19,54,34,52,49,50,123,32,406,41,612,501,111,110,612
Strongly agree,141,120,20,141,19,122,4,*14,122,5,21,84,32,19,11,14,14,8,14,4,4,13,6,14,15,6,24,7,96,10,141,120,20,19,141
,23%,24%,18%,23%,17%,24%,28%,16%,24%,12%,19%,25%,26%,17%,20%,32%,29%,25%,30%,16%,20%,23%,19%,27%,31%,13%,20%,21%,24%,25%,23%,24%,18%,17%,23%
Tend to agree,140,121,19,140,*32,*108,5,27,*108,13,26,77,24,*32,10,10,14,6,13,4,*-,9,8,10,11,14,29,6,92,10,140,121,19,29,140
,23%,24%,17%,23%,29%,21%,31%,29%,21%,32%,23%,23%,20%,29%,18%,24%,29%,21%,27%,16%,0%,16%,22%,20%,23%,28%,24%,18%,23%,24%,23%,24%,17%,26%,23%
Neither nor,68,55,13,68,8,60,1,6,60,5,18,35,11,8,8,8,5,1,1,*6,5,5,3,6,6,6,9,4,52,2,68,55,13,18,68
,11%,11%,12%,11%,7%,12%,9%,7%,12%,12%,16%,10%,9%,7%,14%,18%,11%,4%,3%,26%,27%,9%,7%,12%,13%,13%,7%,13%,13%,4%,11%,11%,12%,16%,11%
Tend to disagree,163,127,36,163,28,135,3,25,135,11,31,86,34,28,20,6,10,5,11,5,6,*21,13,13,10,14,31,10,105,14,163,127,36,30,163
,27%,25%,32%,27%,26%,27%,19%,28%,27%,27%,28%,26%,28%,26%,36%,15%,21%,17%,24%,21%,33%,40%,37%,24%,21%,28%,25%,33%,26%,35%,27%,25%,32%,27%,27%
Strongly disagree,83,69,15,83,19,64,2,17,64,6,13,49,15,19,6,4,4,8,8,5,4,6,3,5,6,6,*24,5,52,2,83,69,15,13,83
,14%,14%,13%,14%,18%,13%,13%,19%,13%,15%,12%,15%,12%,18%,11%,9%,8%,25%,16%,21%,20%,12%,7%,10%,13%,13%,20%,15%,13%,5%,14%,14%,13%,12%,14%
Don't know,17,*9,*8,17,1,15,0,1,15,1,3,8,5,1,0,1,1,3,0,0,0,0,3,4,0,*4,5,0,8,*3,17,*9,*8,3,17
,3%,2%,7%,3%,1%,3%,0%,2%,3%,3%,2%,2%,4%,1%,0%,3%,3%,8%,0%,0%,0%,0%,7%,7%,0%,8%,4%,0%,2%,8%,3%,2%,7%,2%,3%
Columns Tested: None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
