Workplace Learning Learners Living in Each Local Authority District 2012/13 - Learners,,,,,,,,,,,,,,
,Workplace Learning,,,,,,,,,,,,,
,,Type of Learning,,Gender,,Age,,,Learners with Learning Difficulties and/or Disabilities,,,Ethnicity,,
Local Authority District of Where Learner Lives,Total Learners,Full Level 2,Full Level 3,Female,Male,Under 19,19-24,25+,Learning Difficulty and/or Disability,No Learning Difficulty and/or Disability,Not Known,"Black, Asian or Minority ",White,Not Known/Not Provided
Total,"271,900","193,000","29,400","104,200","167,600","5,200","45,000","221,600","13,400","249,100","9,400","50,400","216,700","4,700"
Adur,170,130,20,50,120,-,30,140,10,160,-,10,160,-
Allerdale,370,280,40,110,260,20,80,270,20,340,10,-,360,10
Amber Valley,710,510,110,310,410,10,120,580,50,660,10,10,700,-
Arun,520,300,60,250,270,-,70,450,20,490,10,30,490,10
Ashfield,790,520,130,370,420,10,130,660,50,740,10,30,760,-
Ashford,500,350,70,200,300,10,100,400,40,450,10,30,460,10
Aylesbury Vale,550,400,90,200,350,10,70,470,20,500,30,150,390,10
Babergh,240,150,60,120,120,-,50,190,20,220,10,20,220,-
Barking and Dagenham,"1,850","1,360",150,580,"1,280",10,270,"1,570",30,"1,740",90,770,"1,030",60
Barnet,"1,680","1,120",220,520,"1,160",10,180,"1,480",40,"1,570",70,630,"1,010",40
Barnsley,"1,220",930,130,380,840,60,210,960,60,"1,130",30,10,"1,190",20
Barrow in Furness,210,140,70,100,110,30,40,140,30,180,-,10,200,-
Basildon,760,550,110,320,440,10,160,590,40,710,20,40,710,10
Basingstoke and Deane,450,260,60,190,260,-,60,380,30,390,30,40,400,10
Bassetlaw,710,570,60,280,430,-,120,590,40,660,10,10,690,-
Bath and North East Somerset,400,320,50,130,270,10,90,310,30,350,30,20,380,-
Bedford,780,580,100,380,400,-,140,640,30,730,30,220,560,10
Bexley,"1,150",710,190,520,640,30,220,910,40,"1,080",40,280,830,50
Birmingham,"7,620","5,990",680,"2,470","5,150",200,"1,090","6,320",350,"7,080",190,"3,630","3,880",110
Blaby,590,410,110,280,310,10,110,480,40,540,10,60,520,10
Blackburn with Darwen,"1,030",680,90,360,670,20,180,830,60,910,60,300,710,20
Blackpool,"1,070",730,100,390,680,20,190,860,60,"1,000",10,50,"1,010",10
Bolsover,510,380,70,210,300,10,100,400,30,470,10,10,490,10
Bolton,"1,340",910,120,510,820,20,230,"1,090",60,"1,260",20,200,"1,130",10
Boston,510,330,40,220,300,-,70,440,20,490,-,10,500,-
Bournemouth,740,580,70,270,470,-,140,600,40,650,40,110,610,20
Bracknell Forest,410,290,60,210,210,10,60,350,20,360,30,70,330,10
Bradford,"2,570","1,680",190,"1,130","1,440",70,440,"2,060",120,"2,380",60,700,"1,840",30
Braintree,560,410,70,240,310,10,80,460,40,510,10,20,530,10
Breckland,700,400,80,310,390,-,140,560,30,660,20,30,660,10
Brent,"3,710","2,940",160,"1,310","2,400",50,450,"3,220",70,"3,540",100,"2,410","1,240",60
Brentwood,160,100,30,80,90,-,20,140,-,150,10,10,150,-
Brighton and Hove,640,470,90,240,390,-,80,550,30,570,30,140,490,10
Bristol  City of,"1,990","1,660",100,720,"1,270",30,390,"1,570",90,"1,770",130,440,"1,530",20
Broadland,480,280,80,220,260,10,100,380,20,450,20,20,450,10
Bromley,"1,110",760,200,560,550,40,150,920,50,"1,040",30,220,870,20
Bromsgrove,390,280,50,130,260,10,70,310,30,350,10,20,360,10
Broxbourne,380,280,40,170,220,-,70,310,10,360,10,50,330,10
Broxtowe,540,340,110,260,270,10,70,460,50,480,10,50,480,-
Burnley,570,390,90,250,320,-,80,490,30,530,10,80,470,20
Bury,"1,090",800,110,440,650,20,220,850,40,"1,030",10,130,940,20
Calderdale,910,660,110,330,580,10,150,750,40,870,10,100,800,10
Cambridge,350,250,50,180,170,-,60,290,20,320,10,50,290,20
Camden,570,450,50,170,400,20,60,500,10,520,40,350,200,20
Cannock Chase,700,520,90,210,480,40,130,530,40,640,20,10,680,-
Canterbury,620,430,140,360,260,-,130,490,30,580,10,40,570,10
Carlisle,410,310,70,130,290,10,80,330,20,370,20,10,400,10
Castle Point,340,230,70,160,180,10,50,280,20,320,10,10,330,-
