Table 1. 14: Self-inflicted deaths in prison custody1: Ligature points used in fatal hangings/self-strangulations,,,,,,,,,,,,,,,,
England and Wales,,,,,,,,,,,Number of Deaths,,,,,
,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009,2010.0,2011.0,2012.0,2013.0,2014.0
MALES AND FEMALES,,,,,,,,,,,,,,,,
All ligature points,87.0,73.0,66.0,89.0,86.0,88.0,70.0,60.0,85.0,57.0,51,54.0,53.0,56.0,66.0,78.0
Bed,11.0,18.0,10.0,16.0,16.0,7.0,8.0,9.0,12.0,7.0,13,11.0,9.0,7.0,18.0,21.0
Conduits/piping,0.0,2.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,1.0,2,0.0,0.0,1.0,0.0,0.0
Door/cell gate,12.0,1.0,7.0,6.0,3.0,6.0,3.0,5.0,7.0,1.0,1,3.0,1.0,3.0,7.0,7.0
Light fitting,2.0,2.0,2.0,8.0,3.0,4.0,7.0,3.0,8.0,2.0,4,4.0,3.0,8.0,6.0,5.0
"Privacy screen, furniture etc.2",0.0,1.0,1.0,2.0,2.0,2.0,6.0,5.0,5.0,2.0,1,0.0,4.0,6.0,1.0,5.0
Toilet/sink fittings/recess2,0.0,7.0,3.0,8.0,5.0,8.0,5.0,4.0,3.0,2.0,5,6.0,4.0,8.0,2.0,3.0
Wall fittings/mountings,1.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,5.0,3.0,1,0.0,3.0,4.0,3.0,0.0
Windows,58.0,40.0,38.0,44.0,49.0,54.0,39.0,29.0,40.0,39.0,23,28.0,26.0,18.0,23.0,29.0
Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,4.0,8.0
Not recorded/confirmed,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1,0.0,0.0,0.0,2.0,0.0
Not applicable,1.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0,2.0,1.0,1.0,0.0,0.0
MALES,,,,,,,,,,,,,,,,
All ligature points,82.0,66.0,60.0,80.0,74.0,76.0,67.0,57.0,78.0,56.0,49,53.0,51.0,55.0,64.0,77.0
Bed,11.0,17.0,9.0,13.0,15.0,6.0,7.0,9.0,11.0,7.0,13,11.0,9.0,7.0,18.0,20.0
