Table 43B,,,,,,,,,,,,,,,,,,
Arrests,,,,,,,,,,,,,,,,,,
"by Race and Ethnicity, 2017-Continued",,,,,,,,,,,,,,,,,,
"[12,599 agencies; 2017 estimated population 253,405,839]",,,,,,,,,,,,,,,,,,
,Arrests under 18,,,,,,Percent distribution1,,,,,,Arrests under 18,,,Percent distribution1,,
,Race,,,,,,,,,,,,Ethnicity,,,,,
Offense charged,Total,White,"Black or
African
American","American
Indian or
Alaska
Native",Asian,"Native
Hawaiian
or Other
Pacific
Islander",Total,White,"Black or
African
American","American
Indian or
Alaska
Native",Asian,"Native
Hawaiian
or Other
Pacific
Islander",Total2,"Hispanic
or
Latino","Not
Hispanic
or Latino",Total,"Hispanic
or
Latino","Not
Hispanic
or Latino"
TOTAL,625099.0,385298.0,218048.0,12912.0,6998.0,1843.0,100.0,61.6,34.9,2.1,1.1,0.3,466450.0,101762.0,364688.0,100.0,21.8,78.2
Murder and nonnegligent manslaughter,708.0,267.0,429.0,5.0,5.0,2.0,100.0,37.7,60.6,0.7,0.7,0.3,478.0,123.0,355.0,100.0,25.7,74.3
Rape3,2975.0,1970.0,925.0,38.0,36.0,6.0,100.0,66.2,31.1,1.3,1.2,0.2,2214.0,489.0,1725.0,100.0,22.1,77.9
Robbery,15149.0,4810.0,10086.0,66.0,130.0,57.0,100.0,31.8,66.6,0.4,0.9,0.4,11570.0,2673.0,8897.0,100.0,23.1,76.9
Aggravated assault,21929.0,11893.0,9318.0,446.0,211.0,61.0,100.0,54.2,42.5,2.0,1.0,0.3,17604.0,4366.0,13238.0,100.0,24.8,75.2
Burglary,23880.0,13401.0,9795.0,384.0,241.0,59.0,100.0,56.1,41.0,1.6,1.0,0.2,16643.0,4379.0,12264.0,100.0,26.3,73.7
Larceny-theft,92110.0,52879.0,35872.0,1559.0,1490.0,310.0,100.0,57.4,38.9,1.7,1.6,0.3,63503.0,12220.0,51283.0,100.0,19.2,80.8
Motor vehicle theft,12522.0,5665.0,6455.0,242.0,127.0,33.0,100.0,45.2,51.5,1.9,1.0,0.3,8217.0,2187.0,6030.0,100.0,26.6,73.4
Arson,1731.0,1259.0,429.0,19.0,18.0,6.0,100.0,72.7,24.8,1.1,1.0,0.3,1299.0,280.0,1019.0,100.0,21.6,78.4
Violent crime4,40761.0,18940.0,20758.0,555.0,382.0,126.0,100.0,46.5,50.9,1.4,0.9,0.3,31866.0,7651.0,24215.0,100.0,24.0,76.0
Property crime4,130243.0,73204.0,52551.0,2204.0,1876.0,408.0,100.0,56.2,40.3,1.7,1.4,0.3,89662.0,19066.0,70596.0,100.0,21.3,78.7
Other assaults,94994.0,54941.0,37367.0,1550.0,833.0,303.0,100.0,57.8,39.3,1.6,0.9,0.3,74414.0,15779.0,58635.0,100.0,21.2,78.8
Forgery and counterfeiting,945.0,545.0,379.0,7.0,13.0,1.0,100.0,57.7,40.1,0.7,1.4,0.1,725.0,115.0,610.0,100.0,15.9,84.1
Fraud,3671.0,1695.0,1874.0,58.0,40.0,4.0,100.0,46.2,51.0,1.6,1.1,0.1,2887.0,376.0,2511.0,100.0,13.0,87.0
Embezzlement,492.0,272.0,204.0,5.0,9.0,2.0,100.0,55.3,41.5,1.0,1.8,0.4,418.0,124.0,294.0,100.0,29.7,70.3
"Stolen property; buying, receiving, possessing",8093.0,3281.0,4588.0,101.0,86.0,37.0,100.0,40.5,56.7,1.2,1.1,0.5,5782.0,1330.0,4452.0,100.0,23.0,77.0
Vandalism,28335.0,19664.0,7877.0,529.0,222.0,43.0,100.0,69.4,27.8,1.9,0.8,0.2,21299.0,4548.0,16751.0,100.0,21.4,78.6
"Weapons; carrying, possessing, etc.",14249.0,7629.0,6238.0,158.0,198.0,26.0,100.0,53.5,43.8,1.1,1.4,0.2,11186.0,3425.0,7761.0,100.0,30.6,69.4
Prostitution and commercialized vice,217.0,98.0,114.0,2.0,3.0,0.0,100.0,45.2,52.5,0.9,1.4,0.0,183.0,28.0,155.0,100.0,15.3,84.7
Sex offenses (except rape and prostitution),6524.0,4659.0,1666.0,75.0,100.0,24.0,100.0,71.4,25.5,1.1,1.5,0.4,5312.0,1279.0,4033.0,100.0,24.1,75.9
Drug abuse violations,72978.0,54199.0,16167.0,1356.0,996.0,260.0,100.0,74.3,22.2,1.9,1.4,0.4,54532.0,14474.0,40058.0,100.0,26.5,73.5
Gambling,208.0,44.0,159.0,3.0,2.0,0.0,100.0,21.2,76.4,1.4,1.0,0.0,127.0,21.0,106.0,100.0,16.5,83.5
Offenses against the family and children,2878.0,1675.0,792.0,389.0,17.0,5.0,100.0,58.2,27.5,13.5,0.6,0.2,2232.0,321.0,1911.0,100.0,14.4,85.6
Driving under the influence,4593.0,4066.0,304.0,154.0,60.0,9.0,100.0,88.5,6.6,3.4,1.3,0.2,3741.0,868.0,2873.0,100.0,23.2,76.8
Liquor laws,25538.0,22319.0,1521.0,1302.0,347.0,49.0,100.0,87.4,6.0,5.1,1.4,0.2,19437.0,2915.0,16522.0,100.0,15.0,85.0
Drunkenness,3358.0,2616.0,283.0,417.0,35.0,7.0,100.0,77.9,8.4,12.4,1.0,0.2,2847.0,1023.0,1824.0,100.0,35.9,64.1
Disorderly conduct,48455.0,26340.0,20672.0,1072.0,317.0,54.0,100.0,54.4,42.7,2.2,0.7,0.1,34965.0,5860.0,29105.0,100.0,16.8,83.2
Vagrancy,579.0,304.0,262.0,7.0,5.0,1.0,100.0,52.5,45.3,1.2,0.9,0.2,390.0,108.0,282.0,100.0,27.7,72.3
All other offenses (except traffic),114436.0,75630.0,34722.0,2529.0,1163.0,392.0,100.0,66.1,30.3,2.2,1.0,0.3,84539.0,18322.0,66217.0,100.0,21.7,78.3
Suspicion,66.0,21.0,27.0,18.0,0.0,0.0,100.0,31.8,40.9,27.3,0.0,0.0,48.0,2.0,46.0,100.0,4.2,95.8
Curfew and loitering law violations,23486.0,13156.0,9523.0,421.0,294.0,92.0,100.0,56.0,40.5,1.8,1.3,0.4,19858.0,4127.0,15731.0,100.0,20.8,79.2
"1 Because of rounding, the percentages may not add to 100.0.",,,,,,,,,,,,,,,,,,
"2 The ethnicity totals are representative of those agencies that provided ethnicity breakdowns. Not all agencies provide ethnicity data; therefore, the race and ethnicity totals will not equal.",,,,,,,,,,,,,,,,,,
3 The rape figures in this table are aggregate totals of the data submitted based on both the legacy and revised Uniform Crime Reporting definitions.,,,,,,,,,,,,,,,,,,
"4 Violent crimes are offenses of murder and nonnegligent manslaughter, rape, robbery, and aggravated assault. Property crimes are offenses of burglary, larceny-theft, motor vehicle theft, and arson.",,,,,,,,,,,,,,,,,,
