Table 49C,,,,,,,,,,,
Arrests,,,,,,,,,,,
City,,,,,,,,,,,
"by Race, 2007Continued",,,,,,,,,,,
"[8,686 agencies; 2007 estimated population 157,379,491]",,,,,,,,,,,
Offense charged,Arrests 18 and over,,,,,Percent distribution1,,,,,
,Total,White,Black,American Indian or Alaskan Native,Asian     or      Pacific Islander,Total,White,Black,American Indian or Alaskan Native,Asian     or      Pacific Islander,
TOTAL,6771743.0,4571814.0,2051558.0,91831.0,56540.0,100.0,67.5,30.3,1.4,0.8,
Murder and nonnegligent manslaughter,6678.0,2836.0,3707.0,57.0,78.0,100.0,42.5,55.5,0.9,1.2,
Forcible rape,10638.0,6398.0,3995.0,131.0,114.0,100.0,60.1,37.6,1.2,1.1,
Robbery,59937.0,27109.0,32061.0,387.0,380.0,100.0,45.2,53.5,0.6,0.6,
Aggravated assault,215802.0,133362.0,77427.0,2637.0,2376.0,100.0,61.8,35.9,1.2,1.1,
Burglary,123436.0,81607.0,39863.0,965.0,1001.0,100.0,66.1,32.3,0.8,0.8,
Larceny-theft,558978.0,379691.0,165734.0,7683.0,5870.0,100.0,67.9,29.6,1.4,1.1,
Motor vehicle theft,52095.0,31578.0,19535.0,502.0,480.0,100.0,60.6,37.5,1.0,0.9,
Arson,4043.0,2779.0,1205.0,38.0,21.0,100.0,68.7,29.8,0.9,0.5,
Violent crime2,293055.0,169705.0,117190.0,3212.0,2948.0,100.0,57.9,40.0,1.1,1.0,
Property crime2,738552.0,495655.0,226337.0,9188.0,7372.0,100.0,67.1,30.6,1.2,1.0,
Other assaults,609123.0,386795.0,206976.0,9188.0,6164.0,100.0,63.5,34.0,1.5,1.0,
Forgery and counterfeiting,58010.0,39378.0,17724.0,300.0,608.0,100.0,67.9,30.6,0.5,1.0,
Fraud,100485.0,66551.0,32297.0,812.0,825.0,100.0,66.2,32.1,0.8,0.8,
Embezzlement,12327.0,7774.0,4297.0,75.0,181.0,100.0,63.1,34.9,0.6,1.5,
"Stolen property; buying, receiving, possessing",56993.0,35131.0,20966.0,400.0,496.0,100.0,61.6,36.8,0.7,0.9,
Vandalism,107185.0,76250.0,28201.0,1768.0,966.0,100.0,71.1,26.3,1.6,0.9,
"Weapons; carrying, possessing, etc.",86987.0,46805.0,38882.0,545.0,755.0,100.0,53.8,44.7,0.6,0.9,
Prostitution and commercialized vice,55577.0,32041.0,21844.0,526.0,1166.0,100.0,57.7,39.3,0.9,2.1,
Sex offenses (except forcible rape and prostitution),36858.0,25966.0,10048.0,399.0,445.0,100.0,70.4,27.3,1.1,1.2,
Drug abuse violations,950906.0,565766.0,374199.0,5145.0,5796.0,100.0,59.5,39.4,0.5,0.6,
Gambling,6697.0,1557.0,5030.0,13.0,97.0,100.0,23.2,75.1,0.2,1.4,
Offenses against the family and children,37394.0,26695.0,9596.0,737.0,366.0,100.0,71.4,25.7,2.0,1.0,
Driving under the influence,664075.0,581094.0,67225.0,9124.0,6632.0,100.0,87.5,10.1,1.4,1.0,
Liquor laws,301681.0,249361.0,39086.0,10164.0,3070.0,100.0,82.7,13.0,3.4,1.0,
Drunkenness,379477.0,312846.0,57086.0,7348.0,2197.0,100.0,82.4,15.0,1.9,0.6,
Disorderly conduct,332401.0,213535.0,110864.0,5749.0,2253.0,100.0,64.2,33.4,1.7,0.7,
Vagrancy,20309.0,11618.0,8116.0,474.0,101.0,100.0,57.2,40.0,2.3,0.5,
All other offenses (except traffic),1922970.0,1226869.0,655346.0,26663.0,14092.0,100.0,63.8,34.1,1.4,0.7,
Suspicion,681.0,422.0,248.0,1.0,10.0,100.0,62.0,36.4,0.1,1.5,
Curfew and loitering law violations,-,-,-,-,-,-,-,-,-,-,
Runaways,-,-,-,-,-,-,-,-,-,-,
"1 Because of rounding, the percentages may not add to 100.0.",,,,,,,,,,,
"2 Violent crimes are offenses of murder and nonnegligent manslaughter, forcible rape, robbery, and aggravated assault.  Property crimes are offenses of burglary, larceny-theft, motor vehicle theft, and arson.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
