Robbery Table 2,,,,,,,
"Robbery, Location",,,,,,,
"Percent Distribution by Population Group, 2007",,,,,,,
Type,"Group I (61 cities, 250,000 and over; population 38,190,834)","Group II (162 cities, 100,000 to 249,999; population 24,273,026)","Group III (426 cities, 50,000 to 99,999; population 29,252,848)","Group IV (724 cities, 25,000 to 49,999; population 24,940,391)","Group V (1,599 cities, 10,000 to 24,999; population 25,356,536)","Group VI (6,425 cities, under 10,000; population 20,816,186)","County agencies (3,612 agencies; population 82,797,741)"
Total1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Street/highway,52.5,44.8,39.5,37.1,30.1,25.5,33.8
Commercial house,11.9,14.7,15.6,14.8,16.7,13.1,16.2
Gas or service station,1.9,2.5,3.0,3.3,3.9,4.0,3.4
Convenience store,4.1,5.8,6.4,6.7,8.0,8.8,6.8
Residence,14.0,14.5,13.7,13.6,15.6,14.7,21.2
Bank,1.4,2.0,2.6,2.9,3.6,3.3,2.3
Miscellaneous,14.1,15.7,19.3,21.6,22.1,30.7,16.3
"1 Because of rounding, the percentages may not add to 100.0.",,,,,,,
,,,,,,,
,,,,,,,
