Table 65,,,,,,,,,
Arrests,,,,,,,,,
Suburban Areas1,,,,,,,,,
"of Persons Under 15, 18, 21, and 25 Years of Age, 2007",,,,,,,,,
"[6,470 agencies; 2007 estimated population 98,929,880]",,,,,,,,,
Offense charged,Total all ages,Number of persons arrested,,,,Percent of total all ages,,,
,,Under 15,Under 18,Under 21,Under 25,Under 15,Under 18,Under 21,Under 25
TOTAL,4202876.0,176348.0,637897.0,1257728.0,1889404.0,4.2,15.2,29.9,45.0
Murder and nonnegligent manslaughter,3095.0,19.0,273.0,844.0,1467.0,0.6,8.8,27.3,47.4
Forcible rape,6176.0,338.0,1008.0,1927.0,2797.0,5.5,16.3,31.2,45.3
Robbery,27190.0,1414.0,6982.0,13438.0,17789.0,5.2,25.7,49.4,65.4
Aggravated assault,115349.0,4944.0,15968.0,29410.0,45933.0,4.3,13.8,25.5,39.8
Burglary,84443.0,6705.0,22900.0,39454.0,51174.0,7.9,27.1,46.7,60.6
Larceny-theft,340518.0,25953.0,86689.0,141679.0,183659.0,7.6,25.5,41.6,53.9
Motor vehicle theft,26932.0,1323.0,6303.0,10675.0,14588.0,4.9,23.4,39.6,54.2
Arson,4853.0,1384.0,2422.0,2974.0,3341.0,28.5,49.9,61.3,68.8
Violent crime2,151810.0,6715.0,24231.0,45619.0,67986.0,4.4,16.0,30.1,44.8
Property crime2,456746.0,35365.0,118314.0,194782.0,252762.0,7.7,25.9,42.6,55.3
Other assaults,372393.0,29562.0,76049.0,112275.0,159413.0,7.9,20.4,30.1,42.8
Forgery and counterfeiting,30360.0,127.0,1024.0,4718.0,9673.0,0.4,3.4,15.5,31.9
Fraud,88486.0,338.0,2293.0,9734.0,21392.0,0.4,2.6,11.0,24.2
Embezzlement,6299.0,25.0,466.0,1728.0,2868.0,0.4,7.4,27.4,45.5
"Stolen property; buying, receiving, possessing",36651.0,1632.0,6629.0,12836.0,18380.0,4.5,18.1,35.0,50.1
Vandalism,85621.0,13850.0,34818.0,48980.0,59402.0,16.2,40.7,57.2,69.4
"Weapons; carrying, possessing, etc.",47877.0,4394.0,12359.0,20751.0,28416.0,9.2,25.8,43.3,59.4
Prostitution and commercialized vice,6126.0,18.0,137.0,782.0,1648.0,0.3,2.2,12.8,26.9
Sex offenses (except forcible rape and prostitution),23328.0,2397.0,4885.0,7560.0,10107.0,10.3,20.9,32.4,43.3
Drug abuse violations,493774.0,8365.0,58272.0,156706.0,245981.0,1.7,11.8,31.7,49.8
Gambling,1224.0,28.0,121.0,251.0,384.0,2.3,9.9,20.5,31.4
Offenses against the family and children,50682.0,608.0,2176.0,4800.0,9975.0,1.2,4.3,9.5,19.7
Driving under the influence,496340.0,93.0,6173.0,50398.0,146044.0,*,1.2,10.2,29.4
Liquor laws,196312.0,4091.0,49172.0,153998.0,166249.0,2.1,25.0,78.4,84.7
Drunkenness,153383.0,582.0,5471.0,21835.0,48241.0,0.4,3.6,14.2,31.5
Disorderly conduct,208355.0,23824.0,64485.0,91080.0,121039.0,11.4,30.9,43.7,58.1
Vagrancy,6001.0,145.0,672.0,1434.0,2170.0,2.4,11.2,23.9,36.2
All other offenses (except traffic),1238040.0,29568.0,118061.0,265168.0,464796.0,2.4,9.5,21.4,37.5
Suspicion,1152.0,47.0,173.0,377.0,562.0,4.1,15.0,32.7,48.8
Curfew and loitering law violations,22785.0,5923.0,22785.0,22785.0,22785.0,26.0,100.0,100.0,100.0
Runaways,29131.0,8651.0,29131.0,29131.0,29131.0,29.7,100.0,100.0,100.0
"1 Suburban area includes law enforcement agencies in cities with less than 50,000 inhabitants and county law enforcement agencies that are within a Metropolitan Statistical Area.  Suburban area excludes all metropolitan agencies associated with a principal city.",,,,,,,,,
"2 Violent crimes are offenses of murder and nonnegligent manslaughter, forcible rape, robbery, and aggravated assault.  Property crimes are offenses of burglary, larceny-theft, motor vehicle theft, and arson.",,,,,,,,,
* Less than one-tenth of 1 percent.,,,,,,,,,
