Table 9,,,,,,,,,,,,,
UTAH,,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,,,
"by State by University and College, 2007",,,,,,,,,,,,,
University/College,Student enrollment1,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson2,,
Brigham Young University,34185.0,1.0,0.0,1.0,0.0,0.0,285.0,18.0,264.0,3.0,2.0,,
College of Eastern Utah,2262.0,2.0,0.0,1.0,0.0,1.0,8.0,3.0,5.0,0.0,0.0,,
Southern Utah University,7029.0,3.0,0.0,1.0,0.0,2.0,46.0,9.0,34.0,3.0,0.0,,
University of Utah,30511.0,4.0,1.0,0.0,1.0,2.0,530.0,26.0,480.0,24.0,0.0,,
Utah State University,14444.0,1.0,0.0,1.0,0.0,0.0,97.0,9.0,88.0,0.0,0.0,,
Utah Valley State College,23305.0,0.0,0.0,0.0,0.0,0.0,74.0,6.0,63.0,5.0,0.0,,
Weber State University,18303.0,2.0,0.0,0.0,0.0,2.0,80.0,15.0,65.0,0.0,0.0,,
"1 The student enrollment figures provided by the United States Department of Education are for the 2006 school year, the most recent available.  The enrollment figures include full-time and part-time students.",,,,,,,,,,,,,
2 The FBI does not publish arson data unless it receives data from either the agency or the state for all 12 months of the calendar year.,,,,,,,,,,,,,
"NOTE:  Caution should be exercised in making any intercampus comparisons or ranking schools because university/college crime statistics are affected by a variety of factors.  These include demographic characteristics of the surrounding community, ratio of male to female students, number of on-campus residents, accessibility of the campus to outside visitors, size of enrollment, etc.",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
