Table 78,,,,,
Full-time Law Enforcement Employees,,,,,
"by State by City, 2007",,,,,
State,City,Population,Total law enforcement employees,Total officers,Total civilians
DELAWARE,Bethany Beach,947.0,10.0,9.0,1.0
,Blades,1006.0,3.0,3.0,0.0
,Bridgeville,1597.0,9.0,7.0,2.0
,Camden,2484.0,16.0,14.0,2.0
,Cheswold,460.0,5.0,5.0,0.0
,Clayton,1438.0,9.0,8.0,1.0
,Dagsboro,566.0,2.0,2.0,0.0
,Delaware City,1520.0,3.0,2.0,1.0
,Delmar,1498.0,13.0,12.0,1.0
,Dewey Beach,313.0,10.0,8.0,2.0
,Dover,35133.0,121.0,91.0,30.0
,Elsmere,5721.0,11.0,10.0,1.0
,Felton,857.0,4.0,4.0,0.0
,Fenwick Island,359.0,6.0,5.0,1.0
,Georgetown,4964.0,22.0,20.0,2.0
,Greenwood,891.0,2.0,2.0,0.0
,Harrington,3276.0,11.0,10.0,1.0
,Laurel,3842.0,16.0,15.0,1.0
,Lewes,3137.0,13.0,12.0,1.0
,Milford,7995.0,38.0,28.0,10.0
,Millsboro,2532.0,13.0,12.0,1.0
,Milton,1803.0,11.0,10.0,1.0
,Newark,30158.0,81.0,65.0,16.0
,New Castle,4960.0,18.0,16.0,2.0
,Newport,1106.0,9.0,8.0,1.0
,Ocean View,1109.0,7.0,6.0,1.0
,Rehoboth Beach,1562.0,30.0,19.0,11.0
,Seaford,7121.0,35.0,26.0,9.0
,Selbyville,1761.0,7.0,6.0,1.0
,Smyrna,8185.0,28.0,21.0,7.0
,South Bethany,516.0,6.0,6.0,0.0
,Wilmington,72842.0,386.0,302.0,84.0
,Wyoming,1311.0,3.0,3.0,0.0
