Table 3,,,,,,,,,,
Crime in the United States,,,,,,,,,,
"Offense and Population Percent Distribution by Region, 2017",,,,,,,,,,
Region,Population,"Violent
crime","Murder and 
nonnegligent 
manslaughter","Rape
(revised
definition)1",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
United States Total2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Northeast,17.3,13.4,11.3,12.4,15.3,12.9,11.4,9.1,12.6,7.3
Midwest,20.9,20.2,22.6,24.6,19.1,19.9,19.6,19.6,19.8,17.8
South,38.0,40.8,45.9,37.0,38.0,42.5,41.9,44.9,42.1,35.5
West,23.8,25.5,20.2,26.0,27.7,24.7,27.0,26.3,25.5,39.4
1 The figures shown in the rape column were calculated using the revised Uniform Crime Reporting (UCR) definition of rape. See data declaration for further explanation.,,,,,,,,,,
"2 Because of rounding, the percentages may not add to 100.0.",,,,,,,,,,
"NOTE:  Although arson data are included in the trend and clearance tables, sufficient data are not available to estimate totals for this offense. Therefore, no arson data are published in this table.",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
