Table 81,,,,,
WEST VIRGINIA,,,,,
Full-time Law Enforcement Employees,,,,,
"by State, Tribal, and Other Agencies, 2017",,,,,
State/Tribal/Other,Agency,Unit/Office,"Total law
enforcement
employees","Total
officers","Total
civilians"
State Agencies,Capitol Protective Services,,50.0,29.0,21.0
,Department of Natural Resources:,Barbour County,1.0,1.0,0.0
,,Berkeley County,1.0,1.0,0.0
,,Boone County,1.0,1.0,0.0
,,Braxton County,2.0,2.0,0.0
,,Brooke County,1.0,1.0,0.0
,,Cabell County,3.0,3.0,0.0
,,Calhoun County,2.0,2.0,0.0
,,Clay County,1.0,1.0,0.0
,,Doddridge County,2.0,2.0,0.0
,,Fayette County,2.0,2.0,0.0
,,Gilmer County,1.0,1.0,0.0
,,Grant County,2.0,2.0,0.0
,,Greenbrier County,3.0,3.0,0.0
,,Hampshire County,7.0,6.0,1.0
,,Hancock County,1.0,1.0,0.0
,,Hardy County,2.0,2.0,0.0
,,Harrison County,2.0,2.0,0.0
,,Jackson County,3.0,3.0,0.0
,,Jefferson County,1.0,1.0,0.0
,,Kanawha County,10.0,5.0,5.0
,,Lewis County,3.0,3.0,0.0
,,Lincoln County,2.0,2.0,0.0
,,Logan County,2.0,2.0,0.0
,,Marion County,5.0,5.0,0.0
,,Marshall County,2.0,2.0,0.0
,,Mason County,2.0,2.0,0.0
,,McDowell County,1.0,1.0,0.0
,,Mercer County,2.0,2.0,0.0
,,Mineral County,1.0,1.0,0.0
,,Mingo County,2.0,2.0,0.0
,,Monongalia County,2.0,2.0,0.0
,,Monroe County,1.0,1.0,0.0
,,Morgan County,1.0,1.0,0.0
,,Nicholas County,3.0,3.0,0.0
,,Ohio County,1.0,1.0,0.0
,,Pendleton County,2.0,2.0,0.0
,,Pleasants County,1.0,1.0,0.0
,,Pocahontas County,1.0,1.0,0.0
,,Preston County,3.0,3.0,0.0
,,Putnam County,7.0,6.0,1.0
,,Raleigh County,6.0,5.0,1.0
,,Randolph County,2.0,2.0,0.0
,,Ritchie County,1.0,1.0,0.0
,,Roane County,1.0,1.0,0.0
,,Summers County,2.0,2.0,0.0
,,Taylor County,1.0,1.0,0.0
,,Tucker County,1.0,1.0,0.0
,,Tyler County,1.0,1.0,0.0
,,Upshur County,4.0,3.0,1.0
,,Wayne County,2.0,2.0,0.0
,,Webster County,1.0,1.0,0.0
,,Wetzel County,1.0,1.0,0.0
,,Wirt County,1.0,1.0,0.0
,,Wood County,6.0,5.0,1.0
,,Wyoming County,4.0,4.0,0.0
,State Fire Marshal,Kanawha County,44.0,32.0,12.0
Other Agencies,Central West Virginia Drug Task Force,,8.0,7.0,1.0
,Eastern Panhandle Drug and Violent Crime Task Force,,12.0,11.0,1.0
,Greenbrier County Drug and Violent Crime Task Force,,4.0,3.0,1.0
,Hancock/Brooke/Weirton Drug Task Force,,6.0,6.0,0.0
,Harrison County Drug and Violent Crime Task Force,,7.0,7.0,0.0
,Huntington Drug and Violent Crime Task Force,,4.0,3.0,1.0
,Kanawha County Parks and Recreation,,3.0,3.0,0.0
,Logan County Drug and Violent Crime Task Force,,10.0,9.0,1.0
,Metropolitan Drug Enforcement Network Team,,13.0,12.0,1.0
,Ohio Valley Drug and Violent Crime Task Force,,4.0,4.0,0.0
,Parkersburg Narcotics and Violent Crime Task Force,,8.0,8.0,0.0
,Potomac Highlands Drug and Violent Crime Task Force,,2.0,2.0,0.0
,Southern Regional Drug and Violent Crime Task Force,,5.0,5.0,0.0
,Three Rivers Drug and Violent Crime Task Force,,2.0,2.0,0.0
