Table 42,,,,,,,,,,,,,,
Arrests,,,,,,,,,,,,,,
"by Sex, 2017",,,,,,,,,,,,,,
"[12,606 agencies; 2017 estimated population 253,634,894]",,,,,,,,,,,,,,
Offense charged,Number of persons arrested,,,"Percent
male","Percent
female",Percent distribution1,,,,,,,,
,Total,Male,Female,,,Total,Male,Female,,,,,,
TOTAL,8247591.0,6016739.0,2230852.0,73.0,27.0,100.0,100.0,100.0,,,,,,
Murder and nonnegligent manslaughter,9576.0,8383.0,1193.0,87.5,12.5,0.1,0.1,0.1,,,,,,
Rape2,18289.0,17781.0,508.0,97.2,2.8,0.2,0.3,*,,,,,,
Robbery,74340.0,63470.0,10870.0,85.4,14.6,0.9,1.1,0.5,,,,,,
Aggravated assault,305291.0,234134.0,71157.0,76.7,23.3,3.7,3.9,3.2,,,,,,
Burglary,156465.0,127010.0,29455.0,81.2,18.8,1.9,2.1,1.3,,,,,,
Larceny-theft,750750.0,444542.0,306208.0,59.2,40.8,9.1,7.4,13.7,,,,,,
Motor vehicle theft,71452.0,55535.0,15917.0,77.7,22.3,0.9,0.9,0.7,,,,,,
Arson,7180.0,5747.0,1433.0,80.0,20.0,0.1,0.1,0.1,,,,,,
Violent crime3,407496.0,323768.0,83728.0,79.5,20.5,4.9,5.4,3.8,,,,,,
Property crime3,985847.0,632834.0,353013.0,64.2,35.8,12.0,10.5,15.8,,,,,,
Other assaults,833396.0,594132.0,239264.0,71.3,28.7,10.1,9.9,10.7,,,,,,
Forgery and counterfeiting,43534.0,28529.0,15005.0,65.5,34.5,0.5,0.5,0.7,,,,,,
Fraud,96948.0,60639.0,36309.0,62.5,37.5,1.2,1.0,1.6,,,,,,
Embezzlement,12532.0,6381.0,6151.0,50.9,49.1,0.2,0.1,0.3,,,,,,
"Stolen property; buying, receiving, possessing",77474.0,60443.0,17031.0,78.0,22.0,0.9,1.0,0.8,,,,,,
Vandalism,147959.0,114670.0,33289.0,77.5,22.5,1.8,1.9,1.5,,,,,,
"Weapons; carrying, possessing, etc.",129210.0,117151.0,12059.0,90.7,9.3,1.6,1.9,0.5,,,,,,
Prostitution and commercialized vice,28490.0,11124.0,17366.0,39.0,61.0,0.3,0.2,0.8,,,,,,
Sex offenses (except rape and prostitution),37850.0,35019.0,2831.0,92.5,7.5,0.5,0.6,0.1,,,,,,
Drug abuse violations,1275812.0,966121.0,309691.0,75.7,24.3,15.5,16.1,13.9,,,,,,
Gambling,2510.0,1977.0,533.0,78.8,21.2,*,*,*,,,,,,
Offenses against the family and children,72229.0,50652.0,21577.0,70.1,29.9,0.9,0.8,1.0,,,,,,
Driving under the influence,764569.0,569148.0,195421.0,74.4,25.6,9.3,9.5,8.8,,,,,,
Liquor laws,161277.0,111935.0,49342.0,69.4,30.6,2.0,1.9,2.2,,,,,,
Drunkenness,289608.0,229760.0,59848.0,79.3,20.7,3.5,3.8,2.7,,,,,,
Disorderly conduct,276987.0,194953.0,82034.0,70.4,29.6,3.4,3.2,3.7,,,,,,
Vagrancy,18542.0,14071.0,4471.0,75.9,24.1,0.2,0.2,0.2,,,,,,
All other offenses (except traffic),2560932.0,1876286.0,684646.0,73.3,26.7,31.1,31.2,30.7,,,,,,
Suspicion,690.0,518.0,172.0,75.1,24.9,*,*,*,,,,,,
Curfew and loitering law violations,23699.0,16628.0,7071.0,70.2,29.8,0.3,0.3,0.3,,,,,,
"1 Because of rounding, the percentages may not add to 100.0.",,,,,,,,,,,,,,
2 The rape figures in this table are aggregate totals of the data submitted based on both the legacy and revised Uniform Crime Reporting definitions.,,,,,,,,,,,,,,
"3 Violent crimes are offenses of murder and nonnegligent manslaughter, rape, robbery, and aggravated assault. Property crimes are offenses of burglary, larceny-theft, motor vehicle theft, and arson.",,,,,,,,,,,,,,
* Less than one-tenth of 1 percent.,,,,,,,,,,,,,,
