Table 9,,,,,,,,,,,,
CALIFORNIA,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,,
"by University and College, 2017",,,,,,,,,,,,
University/College,Campus,"Student
enrollment1","Violent
crime","Murder and
nonnegligent
manslaughter",Rape2,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Allan Hancock College,,12012.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,5.0,0.0,0.0
California State Polytechnic University:,Pomona,25326.0,4.0,0.0,2.0,2.0,0.0,213.0,23.0,159.0,31.0,1.0
,San Luis Obispo,21306.0,9.0,0.0,4.0,1.0,4.0,147.0,23.0,116.0,8.0,0.0
California State University:,Bakersfield,9341.0,3.0,0.0,2.0,0.0,1.0,75.0,10.0,65.0,0.0,0.0
,Channel Islands,6611.0,1.0,0.0,0.0,0.0,1.0,44.0,0.0,42.0,2.0,0.0
,Chico,17557.0,13.0,0.0,8.0,1.0,4.0,207.0,13.0,184.0,10.0,0.0
,Dominguez Hills,14731.0,7.0,0.0,1.0,3.0,3.0,40.0,5.0,34.0,1.0,0.0
,East Bay,15855.0,6.0,0.0,3.0,2.0,1.0,122.0,49.0,73.0,0.0,0.0
,Fresno,24405.0,14.0,0.0,3.0,2.0,9.0,255.0,48.0,195.0,12.0,2.0
,Fullerton,40235.0,5.0,0.0,3.0,1.0,1.0,187.0,13.0,167.0,7.0,1.0
,Long Beach,37776.0,9.0,0.0,5.0,2.0,2.0,169.0,7.0,141.0,21.0,0.0
,Los Angeles,27827.0,3.0,0.0,1.0,1.0,1.0,120.0,6.0,102.0,12.0,0.0
,Monterey Bay,7274.0,12.0,0.0,4.0,0.0,8.0,39.0,6.0,32.0,1.0,0.0
,Northridge,39916.0,9.0,0.0,4.0,0.0,5.0,297.0,13.0,258.0,26.0,4.0
,Sacramento,30510.0,2.0,0.0,1.0,1.0,0.0,200.0,26.0,171.0,3.0,2.0
,San Bernardino,20767.0,6.0,0.0,1.0,3.0,2.0,120.0,15.0,81.0,24.0,1.0
,San Jose,32154.0,33.0,0.0,11.0,7.0,15.0,307.0,28.0,269.0,10.0,7.0
,San Marcos,13144.0,6.0,0.0,5.0,0.0,1.0,20.0,0.0,19.0,1.0,1.0
,Stanislaus,9762.0,5.0,0.0,4.0,0.0,1.0,47.0,0.0,39.0,8.0,1.0
College of the Sequoias,,11959.0,1.0,0.0,0.0,1.0,0.0,75.0,5.0,62.0,8.0,1.0
Contra Costa Community College,,34487.0,11.0,0.0,0.0,4.0,7.0,176.0,20.0,145.0,11.0,1.0
Cuesta College,,10232.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,8.0,1.0,0.0
El Camino College,,24033.0,4.0,0.0,0.0,0.0,4.0,73.0,7.0,61.0,5.0,0.0
Foothill-De Anza College,,37085.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,18.0,2.0,0.0
Humboldt State University,,8503.0,4.0,0.0,3.0,0.0,1.0,73.0,7.0,65.0,1.0,1.0
Irvine Valley College,,14147.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,20.0,0.0,0.0
Marin Community College,,5621.0,2.0,1.0,0.0,0.0,1.0,23.0,1.0,22.0,0.0,0.0
Mt. San Jacinto College,,15497.0,1.0,0.0,0.0,0.0,1.0,31.0,4.0,24.0,3.0,0.0
Pasadena Community College,,27165.0,1.0,0.0,0.0,1.0,0.0,93.0,3.0,86.0,4.0,1.0
Riverside Community College,,38677.0,2.0,0.0,1.0,1.0,0.0,73.0,7.0,56.0,10.0,1.0
San Bernardino Community College,,5937.0,11.0,0.0,0.0,4.0,7.0,74.0,12.0,54.0,8.0,1.0
San Diego State University,,34688.0,15.0,0.0,2.0,11.0,2.0,547.0,73.0,460.0,14.0,1.0
San Francisco State University,,29045.0,9.0,0.0,2.0,5.0,2.0,189.0,27.0,153.0,9.0,0.0
San Jose/Evergreen Community College,,17213.0,0.0,0.0,0.0,0.0,0.0,37.0,8.0,22.0,7.0,0.0
Santa Rosa Junior College,,21217.0,0.0,0.0,0.0,0.0,0.0,52.0,4.0,47.0,1.0,0.0
Sonoma State University,,9323.0,4.0,0.0,4.0,0.0,0.0,71.0,8.0,47.0,16.0,0.0
State Center Community College District,,39661.0,4.0,0.0,1.0,1.0,2.0,162.0,33.0,119.0,10.0,2.0
University of California:,Berkeley,40154.0,71.0,0.0,16.0,29.0,26.0,780.0,46.0,704.0,30.0,17.0
,Davis,36460.0,17.0,0.0,4.0,2.0,11.0,566.0,25.0,535.0,6.0,4.0
,Irvine,32754.0,15.0,0.0,6.0,0.0,9.0,503.0,21.0,473.0,9.0,1.0
,Los Angeles,43548.0,108.0,0.0,20.0,18.0,70.0,831.0,169.0,635.0,27.0,2.0
,"Medical Center, Sacramento3",,5.0,0.0,1.0,0.0,4.0,168.0,6.0,159.0,3.0,4.0
,Merced,7336.0,0.0,0.0,0.0,0.0,0.0,51.0,8.0,42.0,1.0,2.0
