Arson Table 1,
Arson Rate,
"by Population Group, 2017",
"[14,813 agencies; 2017 estimated population 306,107,233; rate per 100,000 inhabitants]",
Population group,Rate
TOTAL ALL AGENCIES,13.2
TOTAL CITIES,14.9
"Group I (250,000 and over)",20.9
"1,000,000 and over (Group I subset)",15.0
"500,000 to 999,999 (Group I subset)",27.0
"250,000 to 499,999 (Group I subset)",24.4
"Group II (100,000 to 249,999)",14.8
"Group III (50,000 to 99,999)",13.0
"Group IV (25,000 to 49,999)",10.6
"Group V (10,000 to 24,999)",9.5
"Group VI (under 10,000)",13.9
Metropolitan counties,9.6
Nonmetropolitan counties,9.3
Suburban areas1,9.6
"1 Suburban areas include law enforcement agencies in cities with less than 50,000 inhabitants and county law enforcement agencies that are within a Metropolitan Statistical Area. Suburban areas exclude all metropolitan agencies associated with a principal city. The agencies associated with suburban areas also appear in other groups within this table.",
