State,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
Aitkin,1987.0,1.0,0.0,1.0,0.0,0.0,54.0,8.0,42.0,4.0,0.0
Akeley,430.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,12.0,1.0,0.0
Albany,2682.0,6.0,0.0,1.0,1.0,4.0,35.0,3.0,25.0,7.0,0.0
Albert Lea3,17608.0,15.0,0.0,1.0,2.0,12.0,416.0,72.0,324.0,20.0,0.0
Alexandria,13756.0,41.0,0.0,8.0,1.0,32.0,400.0,46.0,326.0,28.0,0.0
Annandale,3328.0,5.0,0.0,2.0,0.0,3.0,83.0,4.0,76.0,3.0,0.0
Anoka,17439.0,41.0,0.0,8.0,11.0,22.0,505.0,52.0,433.0,20.0,1.0
Appleton,1341.0,6.0,0.0,1.0,0.0,5.0,29.0,8.0,21.0,0.0,0.0
Apple Valley,52439.0,65.0,0.0,21.0,19.0,25.0,1166.0,107.0,1028.0,31.0,5.0
Arlington,2146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atwater,1118.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
Austin,24692.0,52.0,0.0,10.0,7.0,35.0,639.0,118.0,495.0,26.0,2.0
Avon,1550.0,3.0,0.0,0.0,1.0,2.0,26.0,5.0,17.0,4.0,0.0
Babbitt,1513.0,1.0,0.0,0.0,0.0,1.0,13.0,0.0,11.0,2.0,0.0
Barnesville,2578.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0
Baxter,8298.0,7.0,0.0,0.0,0.0,7.0,288.0,13.0,267.0,8.0,0.0
Bayport,3420.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,13.0,1.0,0.0
Becker,4825.0,6.0,0.0,0.0,0.0,6.0,28.0,4.0,22.0,2.0,0.0
Belgrade/Brooten,1516.0,2.0,0.0,0.0,0.0,2.0,16.0,2.0,12.0,2.0,0.0
Belle Plaine,7066.0,5.0,0.0,1.0,0.0,4.0,95.0,6.0,89.0,0.0,1.0
Bemidji,15054.0,56.0,0.0,6.0,7.0,43.0,1268.0,69.0,1140.0,59.0,4.0
Benson,3080.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0
Big Lake,10730.0,1.0,0.0,0.0,0.0,1.0,59.0,3.0,48.0,8.0,0.0
Blackduck,778.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,8.0,1.0,0.0
Blaine,63857.0,56.0,0.0,16.0,18.0,22.0,1941.0,158.0,1705.0,78.0,7.0
Blooming Prairie,1986.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,4.0,1.0,0.0
Bloomington,85704.0,140.0,1.0,43.0,33.0,63.0,2590.0,175.0,2282.0,133.0,11.0
Blue Earth,3191.0,1.0,0.0,0.0,0.0,1.0,22.0,4.0,15.0,3.0,0.0
Bovey,802.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0
Braham,1774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brainerd,13307.0,70.0,0.0,28.0,5.0,37.0,554.0,74.0,466.0,14.0,2.0
Breckenridge,3250.0,3.0,0.0,0.0,0.0,3.0,68.0,5.0,57.0,6.0,0.0
Breezy Point,2368.0,2.0,0.0,0.0,0.0,2.0,36.0,0.0,34.0,2.0,0.0
Breitung Township,607.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,3.0,1.0,0.0
Brooklyn Center,30989.0,125.0,0.0,20.0,61.0,44.0,1076.0,122.0,843.0,111.0,4.0
Brooklyn Park,80347.0,281.0,1.0,49.0,63.0,168.0,2167.0,293.0,1716.0,158.0,7.0
Brownton,730.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0
Buffalo,16206.0,13.0,0.0,8.0,1.0,4.0,334.0,28.0,295.0,11.0,0.0
