Metropolitan/Nonmetropolitan Counties,County,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1
Metropolitan Counties,Ada,166.0,4.0,21.0,5.0,136.0,1252.0,289.0,894.0,69.0,33.0
,Bannock,18.0,0.0,0.0,0.0,18.0,169.0,26.0,137.0,6.0,0.0
,Boise,14.0,0.0,3.0,1.0,10.0,129.0,35.0,85.0,9.0,4.0
,Bonneville,98.0,1.0,10.0,1.0,86.0,953.0,230.0,644.0,79.0,10.0
,Canyon,77.0,1.0,8.0,3.0,65.0,805.0,234.0,472.0,99.0,6.0
,Franklin,14.0,0.0,2.0,0.0,12.0,34.0,9.0,24.0,1.0,0.0
,Gem,13.0,0.0,3.0,0.0,10.0,22.0,5.0,16.0,1.0,0.0
,Jefferson,15.0,0.0,9.0,0.0,6.0,202.0,64.0,129.0,9.0,0.0
,Kootenai,124.0,0.0,23.0,5.0,96.0,911.0,277.0,563.0,71.0,11.0
,Nez Perce,1.0,0.0,0.0,0.0,1.0,85.0,29.0,52.0,4.0,0.0
,Owyhee,17.0,0.0,7.0,2.0,8.0,140.0,17.0,112.0,11.0,3.0
,Power,0.0,0.0,0.0,0.0,0.0,38.0,7.0,28.0,3.0,0.0
Nonmetropolitan Counties,Adams,5.0,1.0,0.0,0.0,4.0,45.0,7.0,35.0,3.0,0.0
,Bear Lake,3.0,0.0,2.0,0.0,1.0,36.0,12.0,23.0,1.0,1.0
,Benewah,4.0,0.0,1.0,0.0,3.0,20.0,8.0,7.0,5.0,0.0
,Bingham,22.0,0.0,7.0,0.0,15.0,303.0,74.0,208.0,21.0,0.0
,Blaine,26.0,3.0,4.0,0.0,19.0,59.0,28.0,29.0,2.0,2.0
,Bonner,44.0,1.0,4.0,1.0,38.0,420.0,93.0,288.0,39.0,3.0
,Boundary,6.0,0.0,1.0,1.0,4.0,60.0,21.0,35.0,4.0,0.0
,Butte,4.0,0.0,0.0,0.0,4.0,13.0,2.0,7.0,4.0,0.0
,Camas,0.0,0.0,0.0,0.0,0.0,11.0,2.0,9.0,0.0,1.0
,Caribou,2.0,0.0,1.0,0.0,1.0,28.0,9.0,18.0,1.0,0.0
,Cassia,40.0,0.0,5.0,4.0,31.0,525.0,83.0,402.0,40.0,6.0
,Clark,1.0,0.0,0.0,0.0,1.0,14.0,2.0,12.0,0.0,0.0
,Clearwater,24.0,0.0,4.0,0.0,20.0,99.0,14.0,84.0,1.0,1.0
,Custer,3.0,0.0,1.0,0.0,2.0,4.0,3.0,1.0,0.0,0.0
,Elmore,11.0,2.0,1.0,0.0,8.0,136.0,30.0,93.0,13.0,2.0
,Fremont,7.0,0.0,0.0,0.0,7.0,56.0,13.0,39.0,4.0,0.0
,Gooding,18.0,1.0,2.0,0.0,15.0,54.0,15.0,27.0,12.0,0.0
,Idaho,26.0,0.0,1.0,1.0,24.0,88.0,26.0,58.0,4.0,0.0
,Jerome,7.0,0.0,1.0,1.0,5.0,92.0,20.0,61.0,11.0,0.0
,Latah,24.0,1.0,5.0,0.0,18.0,165.0,79.0,80.0,6.0,1.0
,Lemhi,2.0,0.0,0.0,0.0,2.0,9.0,1.0,7.0,1.0,0.0
,Lewis,6.0,0.0,2.0,1.0,3.0,33.0,10.0,19.0,4.0,1.0
,Lincoln,3.0,0.0,1.0,0.0,2.0,4.0,1.0,2.0,1.0,0.0
,Madison,16.0,0.0,7.0,0.0,9.0,86.0,16.0,69.0,1.0,1.0
,Minidoka,20.0,0.0,3.0,2.0,15.0,184.0,58.0,117.0,9.0,2.0
,Oneida,4.0,0.0,1.0,1.0,2.0,39.0,6.0,31.0,2.0,1.0
,Payette,8.0,0.0,0.0,0.0,8.0,70.0,23.0,37.0,10.0,1.0
,Shoshone,23.0,3.0,4.0,2.0,14.0,114.0,28.0,77.0,9.0,0.0
,Teton,1.0,0.0,0.0,0.0,1.0,22.0,8.0,12.0,2.0,0.0
,Twin Falls,43.0,0.0,7.0,2.0,34.0,240.0,88.0,137.0,15.0,6.0
,Valley,16.0,0.0,8.0,0.0,8.0,133.0,17.0,100.0,16.0,2.0
,Washington,9.0,0.0,1.0,0.0,8.0,23.0,12.0,10.0,1.0,0.0
