Age,Total murder victims,Weapons Firearms,Knives or cutting instruments,"Blunt objects (clubs, hammers, etc.)","Personal weapons (hands, fists, feet, etc.)1",Poison,Explosives,Fire,Narcotics,Strangulation,Asphyxiation,"Other weapon or weapon 
not stated2",,,,,
Percent distribution3,100.0,68.0062032229789,12.10977007619176,4.362483986245028,5.758209156496528,0.06742633672712561,*,0.876542377452633,0.3303890499629155,0.9035129121434832,0.7282044366529566,6.850515811475963,,,,,
Under 184,1554.0,806.0,127.0,61.0,303.0,4.0,0.0,25.0,14.0,22.0,33.0,159.0,,,,,
Under 224,3758.0,2642.0,307.0,98.0,345.0,4.0,0.0,30.0,19.0,36.0,38.0,239.0,,,,,
18 and over4,13013.0,9148.0,1655.0,573.0,528.0,6.0,1.0,97.0,35.0,110.0,73.0,787.0,,,,,
Infant (under 1),210.0,9.0,4.0,9.0,122.0,0.0,0.0,3.0,3.0,4.0,15.0,41.0,,,,,
1 to 4,322.0,35.0,9.0,32.0,143.0,0.0,0.0,8.0,6.0,7.0,10.0,72.0,,,,,
5 to 8,88.0,35.0,9.0,4.0,14.0,1.0,0.0,6.0,1.0,4.0,5.0,9.0,,,,,
9 to 12,75.0,36.0,11.0,3.0,8.0,2.0,0.0,4.0,1.0,1.0,1.0,8.0,,,,,
13 to 16,487.0,376.0,62.0,8.0,11.0,1.0,0.0,3.0,1.0,3.0,2.0,20.0,,,,,
17 to 19,1443.0,1229.0,110.0,24.0,22.0,0.0,0.0,2.0,6.0,8.0,1.0,41.0,,,,,
20 to 24,2733.0,2234.0,243.0,45.0,59.0,1.0,1.0,8.0,7.0,13.0,10.0,112.0,,,,,
25 to 29,2215.0,1773.0,206.0,41.0,51.0,0.0,0.0,11.0,2.0,24.0,10.0,97.0,,,,,
30 to 34,1651.0,1254.0,206.0,35.0,41.0,0.0,0.0,17.0,3.0,10.0,5.0,80.0,,,,,
35 to 39,1243.0,821.0,199.0,64.0,56.0,1.0,0.0,6.0,4.0,7.0,8.0,77.0,,,,,
40 to 44,1127.0,697.0,169.0,73.0,60.0,0.0,0.0,17.0,3.0,16.0,8.0,84.0,,,,,
45 to 49,960.0,547.0,175.0,67.0,61.0,1.0,0.0,9.0,2.0,11.0,9.0,78.0,,,,,
50 to 54,698.0,360.0,126.0,57.0,66.0,1.0,0.0,6.0,5.0,6.0,9.0,62.0,,,,,
55 to 59,451.0,202.0,85.0,55.0,39.0,1.0,0.0,9.0,0.0,5.0,0.0,55.0,,,,,
60 to 64,292.0,129.0,56.0,43.0,25.0,0.0,0.0,2.0,1.0,0.0,4.0,32.0,,,,,
65 to 69,181.0,83.0,33.0,28.0,11.0,0.0,0.0,3.0,0.0,4.0,0.0,19.0,,,,,
70 to 74,130.0,62.0,28.0,9.0,12.0,0.0,0.0,3.0,0.0,0.0,2.0,14.0,,,,,
75 and over,261.0,72.0,51.0,37.0,30.0,1.0,0.0,5.0,4.0,9.0,7.0,45.0,,,,,
Unknown,264.0,132.0,14.0,13.0,23.0,0.0,0.0,8.0,0.0,2.0,2.0,70.0,,,,,
