City,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1
Adamsville,2122.0,5.0,0.0,1.0,0.0,4.0,34.0,3.0,24.0,7.0,0.0
Alamo,2349.0,9.0,0.0,0.0,0.0,9.0,48.0,11.0,33.0,4.0,1.0
Alcoa,8544.0,107.0,0.0,7.0,11.0,89.0,528.0,96.0,401.0,31.0,6.0
Alexandria,870.0,2.0,0.0,1.0,0.0,1.0,16.0,6.0,9.0,1.0,0.0
Algood,3293.0,20.0,1.0,1.0,2.0,16.0,115.0,9.0,106.0,0.0,0.0
Ardmore,1142.0,9.0,0.0,0.0,2.0,7.0,34.0,4.0,27.0,3.0,0.0
Ashland City,4696.0,11.0,0.0,1.0,0.0,10.0,249.0,51.0,189.0,9.0,2.0
Athens,14183.0,202.0,2.0,10.0,29.0,161.0,1245.0,280.0,880.0,85.0,4.0
Atoka,6868.0,17.0,0.0,0.0,2.0,15.0,174.0,23.0,147.0,4.0,2.0
Baileyton,501.0,3.0,0.0,0.0,2.0,1.0,17.0,3.0,14.0,0.0,0.0
Baneberry,459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bartlett,47333.0,150.0,2.0,7.0,23.0,118.0,1137.0,213.0,855.0,69.0,3.0
Baxter,1367.0,2.0,0.0,0.0,0.0,2.0,31.0,6.0,24.0,1.0,0.0
Bean Station,3043.0,20.0,1.0,3.0,1.0,15.0,154.0,46.0,103.0,5.0,1.0
Belle Meade,3170.0,1.0,0.0,0.0,0.0,1.0,37.0,17.0,19.0,1.0,0.0
Bells,2275.0,12.0,0.0,0.0,1.0,11.0,82.0,33.0,46.0,3.0,2.0
Benton,1080.0,8.0,0.0,0.0,1.0,7.0,47.0,8.0,37.0,2.0,1.0
Berry Hill,690.0,10.0,0.0,0.0,8.0,2.0,105.0,16.0,84.0,5.0,0.0
Bethel Springs,786.0,1.0,0.0,0.0,0.0,1.0,7.0,3.0,4.0,0.0,0.0
Big Sandy,515.0,5.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,0.0,0.0
Blaine,1751.0,3.0,0.0,0.0,1.0,2.0,36.0,7.0,24.0,5.0,0.0
