Offense charged,Total                  all ages,Number of persons arrested Under 15,Under 18,Under 21,Under 25,Percent of total all ages Under 15,Under 18,Under 21,Under 25,,
Murder and nonnegligent manslaughter,620.0,6.0,37.0,127.0,231.0,1.0,6.0,20.5,37.3,,
Forcible rape,1485.0,52.0,202.0,415.0,628.0,3.5,13.6,27.9,42.3,,
Robbery,1936.0,20.0,225.0,693.0,1101.0,1.0,11.6,35.8,56.9,,
Aggravated assault,19593.0,503.0,1763.0,3831.0,6553.0,2.6,9.0,19.6,33.4,,
Burglary,18135.0,977.0,4079.0,8109.0,10869.0,5.4,22.5,44.7,59.9,,
Larceny-theft,30868.0,1446.0,5197.0,10222.0,14706.0,4.7,16.8,33.1,47.6,,
Motor vehicle theft,4602.0,241.0,1077.0,1823.0,2473.0,5.2,23.4,39.6,53.7,,
Arson,884.0,95.0,194.0,364.0,448.0,10.7,21.9,41.2,50.7,,
Violent crime1,23634.0,581.0,2227.0,5066.0,8513.0,2.5,9.4,21.4,36.0,,
Property crime1,54489.0,2759.0,10547.0,20518.0,28496.0,5.1,19.4,37.7,52.3,,
Other assaults,70406.0,2965.0,9049.0,15579.0,24421.0,4.2,12.9,22.1,34.7,,
Forgery and counterfeiting,4823.0,12.0,102.0,623.0,1407.0,0.2,2.1,12.9,29.2,,
Fraud,27984.0,49.0,345.0,2219.0,5681.0,0.2,1.2,7.9,20.3,,
Embezzlement,915.0,2.0,17.0,103.0,215.0,0.2,1.9,11.3,23.5,,
"Stolen property; buying, receiving, possessing",5097.0,102.0,544.0,1403.0,2216.0,2.0,10.7,27.5,43.5,,
Vandalism,13065.0,1332.0,3723.0,6055.0,7939.0,10.2,28.5,46.3,60.8,,
"Weapons; carrying, possessing, etc.",7185.0,294.0,888.0,1804.0,2910.0,4.1,12.4,25.1,40.5,,
Prostitution and commercialized vice,161.0,1.0,6.0,15.0,33.0,0.6,3.7,9.3,20.5,,
Sex offenses (except forcible rape and prostitution),5557.0,437.0,1060.0,1744.0,2380.0,7.9,19.1,31.4,42.8,,
Drug abuse violations,90478.0,712.0,5915.0,21889.0,39225.0,0.8,6.5,24.2,43.4,,
Gambling,302.0,2.0,7.0,43.0,88.0,0.7,2.3,14.2,29.1,,
Offenses against the family and children,12840.0,161.0,389.0,1105.0,2490.0,1.3,3.0,8.6,19.4,,
Driving under the influence,138117.0,143.0,1979.0,13793.0,37292.0,0.1,1.4,10.0,27.0,,
Liquor laws,36078.0,689.0,8817.0,26886.0,29467.0,1.9,24.4,74.5,81.7,,
Drunkenness,18411.0,38.0,473.0,2411.0,5323.0,0.2,2.6,13.1,28.9,,
Disorderly conduct,23525.0,1657.0,5038.0,7764.0,11031.0,7.0,21.4,33.0,46.9,,
Vagrancy,217.0,2.0,10.0,29.0,58.0,0.9,4.6,13.4,26.7,,
All other offenses (except traffic),225407.0,2430.0,12119.0,38055.0,74473.0,1.1,5.4,16.9,33.0,,
Suspicion,73.0,9.0,22.0,31.0,43.0,12.3,30.1,42.5,58.9,,
Curfew and loitering law violations,408.0,105.0,408.0,408.0,408.0,25.7,100.0,100.0,100.0,,
Runaways,3610.0,980.0,3610.0,3610.0,3610.0,27.1,100.0,100.0,100.0,,
