State,State/Other Agency,Unit/Office,Total law enforcement employees,Total officers,Total civilians
PENNSYLVANIAState Agencies,Bureau of Forestry:,Beaver County,1.0,1.0,0.0
,,Bedford County,1.0,1.0,0.0
,,Berks County,1.0,1.0,0.0
,,Blair County,1.0,1.0,0.0
,,Bradford County,1.0,1.0,0.0
,,Bucks County,1.0,1.0,0.0
,,Cambria County,1.0,1.0,0.0
,,Carbon County,1.0,1.0,0.0
,,Centre County,1.0,1.0,0.0
,,Chester County,1.0,1.0,0.0
,,Clarion County,1.0,1.0,0.0
,,Clearfield County,1.0,1.0,0.0
,,Clinton County,1.0,1.0,0.0
,,Cumberland County,1.0,1.0,0.0
,,Dauphin County,1.0,1.0,0.0
,,Elk County,1.0,1.0,0.0
,,Fayette County,1.0,1.0,0.0
,,Franklin County,1.0,1.0,0.0
,,Fulton County,1.0,1.0,0.0
,,Huntingdon County,1.0,1.0,0.0
,,Indiana County,1.0,1.0,0.0
,,Jefferson County,1.0,1.0,0.0
,,Lackawanna County,1.0,1.0,0.0
,,Lancaster County,1.0,1.0,0.0
,,Lehigh County,1.0,1.0,0.0
,,Luzerne County,1.0,1.0,0.0
,,Mckean County,1.0,1.0,0.0
,,Northampton County,1.0,1.0,0.0
,,Northumberland County,1.0,1.0,0.0
,,Perry County,1.0,1.0,0.0
,,Pike County,1.0,1.0,0.0
,,Potter County,1.0,1.0,0.0
,,Schuylkill County,1.0,1.0,0.0
,,Somerset County,1.0,1.0,0.0
,,Susquehanna County,1.0,1.0,0.0
,,Wayne County,1.0,1.0,0.0
,,York County,1.0,1.0,0.0
,Bureau of Narcotics:,Adams County,17.0,14.0,3.0
,,Chester County,28.0,2.0,26.0
,,Delaware County,28.0,2.0,26.0
,,Erie County,15.0,12.0,3.0
,,Forest County,13.0,11.0,2.0
,,Lehigh County,18.0,15.0,3.0
,,Luzerne County,19.0,15.0,4.0
,,Philadelphia County,28.0,2.0,26.0
,,Westmoreland County,30.0,23.0,7.0
,Department of Environmental Resources,,12.0,5.0,7.0
,State Capitol Police,,141.0,132.0,9.0
,State Park Police,Pymatuning,3.0,3.0,0.0
PENNSYLVANIAOther Agencies,Allegheny County District Attorney,Criminal Investigation Division,27.0,24.0,3.0
,Allegheny County Port Authority,,56.0,41.0,15.0
,Altoona Hospital,,19.0,18.0,1.0
,Bangor Area School District,,3.0,3.0,0.0
,Canadian Pacific Railway,,2.0,2.0,0.0
,County Detective:,Berks County,34.0,34.0,0.0
,,Bucks County,20.0,16.0,4.0
,,Butler County,3.0,3.0,0.0
,,Chester County,24.0,21.0,3.0
,,Dauphin County,13.0,10.0,3.0
,,Lebanon County,7.0,6.0,1.0
,,Lehigh County,14.0,13.0,1.0
,,Pike County,2.0,2.0,0.0
,,Schuylkill County,7.0,7.0,0.0
,,Westmoreland County,57.0,15.0,42.0
,,York County,11.0,10.0,1.0
,Delaware County District Attorney,Criminal Investigation Division,38.0,32.0,6.0
,Delaware County Park,,60.0,59.0,1.0
,Erie City School District,,2.0,2.0,0.0
,Harrisburg International Airport,,25.0,14.0,11.0
,Tyrone Area School District,,1.0,1.0,0.0
,Uniontown Hospital,,11.0,11.0,0.0
,Washington County Alternative Education,,1.0,1.0,0.0
,Westmoreland County Park,,21.0,21.0,0.0
,Wilkes-Barre Area School District,,4.0,4.0,0.0
