University/College,Campus,Student enrollment1,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson2
Florida Atlantic University,,25325.0,6.0,0.0,2.0,2.0,2.0,259.0,47.0,191.0,21.0,0.0
Florida Gulf Coast University,,8279.0,2.0,0.0,0.0,1.0,1.0,34.0,2.0,32.0,0.0,0.0
Florida International University,,37997.0,13.0,0.0,2.0,5.0,6.0,463.0,90.0,342.0,31.0,1.0
Florida State University:,Panama City3,,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0
,Tallahassee,39973.0,28.0,0.0,4.0,15.0,9.0,581.0,82.0,480.0,19.0,4.0
New College of Florida,,746.0,1.0,0.0,0.0,0.0,1.0,66.0,4.0,61.0,1.0,0.0
Pensacola Junior College,,10208.0,2.0,0.0,0.0,1.0,1.0,65.0,12.0,51.0,2.0,0.0
Santa Fe Community College,,14012.0,1.0,0.0,0.0,1.0,0.0,66.0,2.0,62.0,2.0,0.0
Tallahassee Community College,,12732.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,152.0,4.0,0.0
University of Central Florida,,46646.0,19.0,0.0,2.0,10.0,7.0,647.0,87.0,524.0,36.0,2.0
University of Florida,,50912.0,11.0,0.0,2.0,5.0,4.0,551.0,23.0,502.0,26.0,2.0
University of North Florida,,15954.0,3.0,0.0,0.0,2.0,1.0,216.0,14.0,197.0,5.0,0.0
University of South Florida:,St. Petersburg3,,0.0,0.0,0.0,0.0,0.0,40.0,0.0,31.0,9.0,0.0
,Tampa,43636.0,13.0,0.0,2.0,4.0,7.0,427.0,120.0,273.0,34.0,2.0
University of West Florida,,9819.0,2.0,0.0,0.0,0.0,2.0,72.0,7.0,61.0,4.0,0.0
