Age,Total,Sex Male,Female,Unknown,Race White,Black,Other,Unknown,,
Percent distribution1,100.0,64.40727699530517,7.077464788732395,28.51525821596244,30.97417840375587,37.928403755868544,1.437793427230047,29.65962441314554,,
Under 182,1063.0,981.0,80.0,2.0,372.0,663.0,21.0,7.0,,
Under 222,3845.0,3574.0,264.0,7.0,1403.0,2321.0,82.0,39.0,,
18 and over2,10146.0,9023.0,1098.0,25.0,4766.0,5038.0,218.0,124.0,,
Infant (under 1),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1 to 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
5 to 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
9 to 12,10.0,8.0,2.0,0.0,4.0,5.0,1.0,0.0,,
13 to 16,542.0,493.0,47.0,2.0,187.0,344.0,7.0,4.0,,
17 to 19,1966.0,1843.0,122.0,1.0,699.0,1202.0,48.0,17.0,,
20 to 24,2772.0,2516.0,250.0,6.0,1104.0,1578.0,59.0,31.0,,
25 to 29,1891.0,1679.0,201.0,11.0,803.0,1019.0,35.0,34.0,,
30 to 34,1109.0,982.0,126.0,1.0,550.0,525.0,18.0,16.0,,
35 to 39,811.0,697.0,114.0,0.0,444.0,341.0,19.0,7.0,,
40 to 44,680.0,553.0,126.0,1.0,405.0,250.0,19.0,6.0,,
45 to 49,540.0,453.0,86.0,1.0,328.0,185.0,18.0,9.0,,
50 to 54,371.0,323.0,46.0,2.0,234.0,125.0,9.0,3.0,,
55 to 59,231.0,204.0,26.0,1.0,158.0,71.0,0.0,2.0,,
60 to 64,130.0,112.0,17.0,1.0,98.0,27.0,3.0,2.0,,
65 to 69,75.0,68.0,7.0,0.0,60.0,13.0,2.0,0.0,,
70 to 74,26.0,24.0,2.0,0.0,23.0,3.0,0.0,0.0,,
75 and over,55.0,49.0,6.0,0.0,41.0,13.0,1.0,0.0,,
Unknown,5831.0,971.0,28.0,4832.0,140.0,762.0,6.0,4923.0,,
