Area,Year,Population1,Violent crime Number,"Rate per 100,000",Murder and nonnegligent manslaughter Number,"Rate per 100,000",Forcible rape Number,"Rate per 100,000",Robbery Number,"Rate per 100,000",Aggravated assault Number,"Rate per 100,000",Property crime Number,"Rate per 100,000",Burglary Number,"Rate per 100,000",Larceny-theft Number,"Rate per 100,000",Motor vehicle theft Number,"Rate per 100,000",,,
New England,2006.0,14269989.0,45247.0,317.1,370.0,2.6,3496.0,24.5,13940.0,97.7,27441.0,192.3,341602.0,2393.8,69727.0,488.6,236594.0,1658.0,35281.0,247.2,,,
,2007.0,14264185.0,43334.0,303.8,357.0,2.5,3395.0,23.8,12225.0,85.7,27357.0,191.8,337359.0,2365.1,70828.0,496.5,235947.0,1654.1,30584.0,214.4,,,
,Percent change,,-4.2,-4.2,-3.5,-3.5,-2.9,-2.8,-12.3,-12.3,-0.3,-0.3,-1.2,-1.2,1.6,1.6,-0.3,-0.2,-13.3,-13.3,,,
Connecticut,2006.0,3504809.0,9841.0,280.8,108.0,3.1,636.0,18.1,4241.0,121.0,4856.0,138.6,87764.0,2504.1,14694.0,419.3,62680.0,1788.4,10390.0,296.4,,,
,2007.0,3502309.0,8965.0,256.0,106.0,3.0,658.0,18.8,3607.0,103.0,4594.0,131.2,84052.0,2399.9,15162.0,432.9,59723.0,1705.2,9167.0,261.7,,,
,Percent change,,-8.9,-8.8,-1.9,-1.8,3.5,3.5,-14.9,-14.9,-5.4,-5.3,-4.2,-4.2,3.2,3.3,-4.7,-4.6,-11.8,-11.7,,,
Maine,2006.0,1321574.0,1526.0,115.5,23.0,1.7,339.0,25.7,384.0,29.1,780.0,59.0,33286.0,2518.7,6779.0,512.9,25167.0,1904.3,1340.0,101.4,,,
,2007.0,1317207.0,1554.0,118.0,21.0,1.6,391.0,29.7,349.0,26.5,793.0,60.2,31992.0,2428.8,6676.0,506.8,24057.0,1826.4,1259.0,95.6,,,
,Percent change,,1.8,2.2,-8.7,-8.4,15.3,15.7,-9.1,-8.8,1.7,2.0,-3.9,-3.6,-1.5,-1.2,-4.4,-4.1,-6.0,-5.7,,,
Massachusetts,2006.0,6437193.0,28775.0,447.0,186.0,2.9,1742.0,27.1,8047.0,125.0,18800.0,292.1,153913.0,2391.0,35181.0,546.5,100771.0,1565.4,17961.0,279.0,,,
,2007.0,6449755.0,27832.0,431.5,184.0,2.9,1634.0,25.3,7006.0,108.6,19008.0,294.7,154246.0,2391.5,35662.0,552.9,103592.0,1606.1,14992.0,232.4,,,
,Percent change,,-3.3,-3.5,-1.1,-1.3,-6.2,-6.4,-12.9,-13.1,1.1,0.9,0.2,*,1.4,1.2,2.8,2.6,-16.5,-16.7,,,
