State,City,Population,Total law enforcement employees,Total officers,Total civilians
NORTH CAROLINA,Aberdeen,5337.0,26.0,24.0,2.0
,Ahoskie,4278.0,22.0,15.0,7.0
,Albemarle,15355.0,55.0,49.0,6.0
,Andrews,1719.0,6.0,6.0,0.0
,Angier,4288.0,13.0,12.0,1.0
,Apex,31816.0,65.0,51.0,14.0
,Archdale,9474.0,33.0,27.0,6.0
,Asheboro,24399.0,82.0,76.0,6.0
,Asheville,72907.0,250.0,201.0,49.0
,Atlantic Beach,1839.0,22.0,18.0,4.0
,Aulander,869.0,1.0,1.0,0.0
,Aurora,581.0,1.0,1.0,0.0
,Ayden,4852.0,20.0,16.0,4.0
,Badin,1357.0,5.0,5.0,0.0
,Bailey,679.0,3.0,3.0,0.0
,Bald Head Island,295.0,12.0,11.0,1.0
,Banner Elk,895.0,9.0,8.0,1.0
,Beaufort,4326.0,17.0,16.0,1.0
,Beech Mountain,307.0,14.0,10.0,4.0
,Belhaven,1997.0,13.0,9.0,4.0
,Belmont,9005.0,42.0,33.0,9.0
,Benson,3422.0,15.0,14.0,1.0
,Bethel,1680.0,5.0,5.0,0.0
,Beulaville,1117.0,5.0,5.0,0.0
,Biltmore Forest,1527.0,14.0,13.0,1.0
,Biscoe,1732.0,10.0,9.0,1.0
,Black Creek,702.0,3.0,3.0,0.0
,Black Mountain,7686.0,22.0,18.0,4.0
,Bladenboro,1701.0,6.0,6.0,0.0
,Blowing Rock,1426.0,13.0,9.0,4.0
,Boiling Spring Lakes,4637.0,8.0,7.0,1.0
,Boiling Springs,3856.0,8.0,8.0,0.0
,Boone,13283.0,43.0,35.0,8.0
,Brevard,6634.0,28.0,22.0,6.0
,Broadway,1123.0,4.0,4.0,0.0
,Bryson City,1382.0,7.0,6.0,1.0
,Bunn,402.0,3.0,3.0,0.0
,Burgaw,3975.0,11.0,10.0,1.0
,Burlington,48689.0,144.0,105.0,39.0
,Burnsville,1652.0,8.0,8.0,0.0
,Butner,6520.0,49.0,42.0,7.0
,Cameron,301.0,1.0,1.0,0.0
,Candor,842.0,6.0,6.0,0.0
,Canton,3925.0,18.0,13.0,5.0
,Cape Carteret,1460.0,7.0,7.0,0.0
,Carolina Beach,5675.0,31.0,28.0,3.0
,Carrboro,16514.0,38.0,35.0,3.0
,Carthage,2036.0,12.0,11.0,1.0
,Cary,114221.0,188.0,150.0,38.0
,Caswell Beach,490.0,4.0,4.0,0.0
,Catawba,792.0,2.0,2.0,0.0
,Chadbourn,2071.0,9.0,8.0,1.0
,Chapel Hill,50198.0,137.0,115.0,22.0
,Charlotte-Mecklenburg1,733291.0,2018.0,1515.0,503.0
,Cherryville,5533.0,26.0,17.0,9.0
,China Grove,3723.0,12.0,12.0,0.0
,Chocowinity,730.0,3.0,3.0,0.0
,Claremont,1127.0,9.0,8.0,1.0
,Clayton,14843.0,42.0,38.0,4.0
,Cleveland,829.0,4.0,4.0,0.0
,Clinton,8818.0,34.0,31.0,3.0
,Clyde,1295.0,4.0,4.0,0.0
