col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
1.1,0.549721,0.0906648,,,,,,,,,,
1.3,0.744973,0.085201,,,,,,,,,,
1.5,0.881655,0.090802,,,,,,,,,,
1.7,1.13928,0.10785,,,,,,,,,,
1.9,1.39508,0.121008,,,,,,,,,,
2.1,1.79769,0.129373,,,,,,,,,,
2.3,2.29203,0.147958,,,,,,,,,,
2.5,2.55575,0.163506,,,,,,,,,,
2.7,2.71301,0.172655,,,,,,,,,,
2.9,2.91347,0.186248,,,,,,,,,,
3.1,3.3228,0.196498,,,,,,,,,,
3.3,4.03545,0.210825,,,,,,,,,,
3.5,4.50556,0.224739,,,,,,,,,,
3.7,4.32262,0.228493,,,,,,,,,,
3.9,3.81697,0.225891,,,,,,,,,,
4.1,3.5473,0.21782,,,,,,,,,,
4.3,3.76718,0.221664,,,,,,,,,,
4.5,4.24256,0.214224,,,,,,,,,,
4.7,4.36787,0.220304,,,,,,,,,,
4.9,3.80777,0.212986,,,,,,,,,,
5.1,2.9228,0.199269,,,,,,,,,,
5.3,2.37085,0.195665,,,,,,,,,,
5.5,2.21103,0.190358,,,,,,,,,,
5.7,2.06481,0.192273,,,,,,,,,,
5.9,1.9443,0.183144,,,,,,,,,,
6.1,2.02895,0.183505,,,,,,,,,,
6.3,2.24607,0.182034,,,,,,,,,,
6.5,2.3849,0.184716,,,,,,,,,,
6.7,2.36943,0.182855,,,,,,,,,,
6.9,2.2583,0.186018,,,,,,,,,,
7.1,2.07663,0.17221,,,,,,,,,,
7.3,1.88492,0.175497,,,,,,,,,,
7.5,1.77049,0.169022,,,,,,,,,,
7.7,1.70116,0.16807,,,,,,,,,,
7.9,1.52988,0.160758,,,,,,,,,,
8.1,1.24098,0.172514,,,,,,,,,,
8.3,1.07692,0.152782,,,,,,,,,,
8.5,1.04085,0.151999,,,,,,,,,,
8.7,0.98833,0.139381,,,,,,,,,,
8.9,0.975409,0.137974,,,,,,,,,,
9.1,0.996086,0.136343,,,,,,,,,,
9.3,0.944278,0.128373,,,,,,,,,,
9.5,0.793303,0.124039,,,,,,,,,,
9.7,0.578675,0.11708,,,,,,,,,,
9.9,0.383524,0.10774,,,,,,,,,,
10.1,0.259201,0.0992773,,,,,,,,,,
10.3,0.177757,0.101616,,,,,,,,,,
10.5,0.164903,0.0894445,,,,,,,,,,
10.7,0.183481,0.0837574,,,,,,,,,,
10.9,0.195814,0.0852183,,,,,,,,,,
11.1,0.220481,0.0712032,,,,,,,,,,
11.3,0.232815,0.0768015,,,,,,,,,,
11.5,0.247312,0.0757291,,,,,,,,,,
11.7,0.276823,0.0626768,,,,,,,,,,
11.9,0.28752,0.070285,,,,,,,,,,
12.1,0.205885,0.0639518,,,,,,,,,,
12.3,0.0560793,0.0350862,,,,,,,,,,
12.5,-0.0164071,0.0451437,,,,,,,,,,
12.7,-0.0194437,0.0427744,,,,,,,,,,
12.9,-0.0289134,0.0366276,,,,,,,,,,
13.1,-0.0394379,0.0268423,,,,,,,,,,
13.3,-0.0422179,0.0228938,,,,,,,,,,
13.5,-0.0341921,0.0278532,,,,,,,,,,
13.7,-0.0227699,0.0325449,,,,,,,,,,
13.9,-0.018062,0.0233986,,,,,,,,,,
14.1,-0.0137203,0.0245348,,,,,,,,,,
14.3,-0.00503685,0.0174675,,,,,,,,,,
14.5,0.00452677,0.0248838,,,,,,,,,,
14.7,0.0149706,0.0047236,,,,,,,,,,
14.9,0.0201925,0.0191206,,,,,,,,,,
