##Temp./°C,Time/min,Mass/%
 33.36500,  0.00000,99.99324
 33.35700,  0.00667,99.98987
 33.35100,  0.01333,99.98937
 33.34400,  0.02000,99.98887
 33.33900,  0.02667,99.98741
 33.33300,  0.03333,99.98690
 33.32500,  0.04000,99.98639
 33.31900,  0.04667,99.98491
 33.31500,  0.05333,99.98437
 33.30800,  0.06000,99.98332
 33.30400,  0.06667,99.98222
 33.29700,  0.07333,99.98152
 33.29500,  0.08000,99.98072
 33.29500,  0.08667,99.97978
 33.30000,  0.09333,99.97917
 33.30700,  0.10000,99.97842
 33.31700,  0.10667,99.97753
 33.33200,  0.11333,99.97749
 33.35100,  0.12000,99.97686
 33.37000,  0.12667,99.97662
 33.39200,  0.13333,99.97632
 33.41900,  0.14000,99.97548
 33.44600,  0.14667,99.97557
 33.47500,  0.15333,99.97470
 33.51100,  0.16000,99.97480
 33.53800,  0.16667,99.97400
 33.57300,  0.17333,99.97325
 33.60400,  0.18000,99.97210
 33.63600,  0.18667,99.97149
 33.66800,  0.19333,99.97048
 33.69900,  0.20000,99.96956
 33.73400,  0.20667,99.96967
 33.76200,  0.21333,99.96890
 33.78900,  0.22000,99.96820
 33.82100,  0.22667,99.96756
 33.85100,  0.23333,99.96697
 33.88000,  0.24000,99.96643
 33.90800,  0.24667,99.96594
 33.93900,  0.25333,99.96550
 33.96400,  0.26000,99.96414
 33.99200,  0.26667,99.96377
 34.02100,  0.27333,99.96342
 34.04900,  0.28000,99.96308
 34.07600,  0.28667,99.96275
 34.10500,  0.29333,99.96242
 34.13100,  0.30000,99.96208
 34.16200,  0.30667,99.96173
 34.19600,  0.31333,99.96137
 34.22100,  0.32000,99.96099
 34.25400,  0.32667,99.96061
 34.28400,  0.33333,99.96020
 34.31900,  0.34000,99.95977
 34.35000,  0.34667,99.95931
 34.38700,  0.35333,99.95882
 34.42000,  0.36000,99.95832
 34.45800,  0.36667,99.95779
 34.49400,  0.37333,99.95821
 34.53400,  0.38000,99.95766
 34.57100,  0.38667,99.95711
 34.61000,  0.39333,99.95655
 34.65200,  0.40000,99.95600
 34.69200,  0.40667,99.95594
 34.73200,  0.41333,99.95540
 34.77100,  0.42000,99.95488
 34.81500,  0.42667,99.95435
 34.85700,  0.43333,99.95383
 34.89800,  0.44000,99.95332
 34.94300,  0.44667,99.95283
 34.98500,  0.45333,99.95188
 35.02800,  0.46000,99.95143
 35.07100,  0.46667,99.95101
 35.11500,  0.47333,99.95060
 35.15700,  0.48000,99.95022
 35.19900,  0.48667,99.94985
 35.24400,  0.49333,99.94950
 35.28800,  0.50000,99.94820
 35.32900,  0.50667,99.94788
 35.37400,  0.51333,99.94756
 35.41600,  0.52000,99.94678
 35.46200,  0.52667,99.94648
 35.50400,  0.53333,99.94618
 35.55000,  0.54000,99.94541
 35.59300,  0.54667,99.94511
 35.63600,  0.55333,99.94432
 35.68500,  0.56000,99.94402
 35.73000,  0.56667,99.94275
 35.77400,  0.57333,99.94244
 35.82200,  0.58000,99.94214
 35.86800,  0.58667,99.94134
 35.91400,  0.59333,99.94102
 35.96100,  0.60000,99.94068
 36.00800,  0.60667,99.94033
 36.06100,  0.61333,99.93997
 36.11000,  0.62000,99.93962
 36.15600,  0.62667,99.93928
 36.20500,  0.63333,99.93894
 36.25900,  0.64000,99.93861
 36.30600,  0.64667,99.93829
 36.35500,  0.65333,99.93798
 36.40600,  0.66000,99.93719
