#OTU ID,KX001,KX002,KX003,KX005,KX006,KX007,KX008,KX009,KX010,KX011,KX012,KX013,KX014,KX015,KX017,KX018,KX019,KX020,KX021,KX022,KX023,KX025,KX026,KX027,KX028,KX029,KX031,KX032,KX037,KX038,KX041,KX042,KX044,KX045,KX047,KX048,KX049,KX051,KX052,KX053,KX056,KX057,KX058,KX059,KX062,KX063,KX065,KX066,KX067,KX069,KX070,KX071,KX072,KX073,KX074,KX075,KX076,KX077,KX078,KX079,KX080,KX081,KX082,KX084,KX085,KX086,KX087,KX088,KX089,KX090,KX091,KX094,KX095,KX096,KX097,KX098,KX100,KX101,KX102,KX103,KX105,KX106,KX107,KX108,KX110,KX112,KX113,KX114,KX115,KX117,KX118,KX119,KX120,KX121,KX123,KX124,KX125,KX126,KX127,KX129,KX130,KX132,KX133,KX135,KX136,KX137,KX138,KX139,KX140,KX141,KX142,KX143,KX145,KX146,KX147,KX148,KX149,KX150,KX152,KX155,KX156,KX157,KX158,KX159,KX161,KX162,KX163,KX164,KX165,KX167,KX168,KX169,KX171,KX172,KX173,KX174,KX176,KX177,KX178,KX179,KX180,KX181,KX182,KX183,KX184,KX185,KX186,KX187,KX188,KX189,KX190,KX191,KX192,KX193,KX194,KX195,KX196,taxonomy
OTU_1,0,0,0,0,0,0,0,0,0,0,47,0,0,38,34312,25649,242,10772,28553,0,2874,739,17221,19724,0,909,15896,2271,28004,1835,11220,2037,0,0,0,0,281,45,3,17,4,0,20820,14530,4723,0,16,20506,301,16486,8285,0,1710,2,4348,9101,13341,4728,16119,3953,19947,19695,414,0,2794,7390,96,9681,935,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,1,0,0,0,0,0,0,0,2,9036,0,0,28830,28068,16,12559,19134,20,0,28690,0,19224,44,18169,8444,0,1,0,1,0,0,15340,4449,3708,0,0,0,94,0,0,99,0,95,5880,2013,34631,203,11364,6,22300,0,34432,32959,36976,0,12520,12408,24716,19551,11341,1,0,0,0,0,0,0,29,Amphipoda
OTU_2,0,0,31,0,0,1522,0,0,0,18,10,0,2,0,0,8,13015,56,13,304,0,110,35,274,383,10,221,0,5002,21,2,43,10585,14332,0,1,0,12,0,9,0,0,15,1673,543,4103,522,1501,2354,653,68,0,13,0,118,0,4169,15169,2839,53,238,202,24612,92,1054,561,22613,14,0,202,2092,112,0,0,1746,0,0,0,0,0,0,32,0,3,8662,52,0,3092,1350,0,0,13,832,114,699,25,196,0,4,2,0,0,1,1637,1952,0,3691,0,378,3158,2,391,25,53,2223,14864,14504,14000,122,12637,1241,9357,280,75,1495,4951,11306,1268,13289,575,667,0,17,964,8,14604,3258,0,11,22166,0,2,55,1125,0,1,18,11304,99,16664,32147,21045,5118,11879,7506,11513,4347,Euphausiacea
OTU_3,0,0,311,139,16,0,0,994,0,8014,29809,17972,27935,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3253,636,0,1950,15084,7137,447,401,1023,28641,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,7,1,1,0,2,2,0,0,0,0,0,11,0,11373,25411,1559,45,0,753,0,128,16005,0,168,0,15977,0,205,40150,733,5,0,461,228,20,2386,200,0,23713,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,Collodaria
OTU_4,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,6,406,39,68,1828,0,0,8,36,256,0,26,14,1780,42,661,110,0,0,0,0,0,93,0,20,0,0,50,3950,0,898,7867,2397,1816,67,14941,383,38,9,0,1,0,8520,194,49,23,43,1,1,0,25,14,150,4,0,55,0,0,1,0,0,0,0,0,0,0,0,0,5,65,0,0,14383,16,0,0,0,0,101,0,0,0,16249,9139,0,0,153,0,1194,1,1550,5939,5405,3107,89,10145,24888,0,12613,44,0,0,2,681,0,5,1,25,2556,155,0,26,12,432,149,31,14301,0,25,12,128,0,0,0,2986,49,151,0,0,106,0,0,0,10342,169,41,146,0,0,8,0,26,Calanoida
OTU_6,0,0,0,81,0,0,0,0,0,0,10,0,0,41,0,5,0,0,0,112,0,0,34,0,0,0,6,0,0,2,428,2,52,0,0,25473,0,0,0,0,0,0,7,0,817,0,25,1,6225,1,54,0,0,0,0,0,0,20,0,22958,0,6378,0,25862,0,6844,1,6164,2127,187,0,2,0,75,0,0,0,796,0,2,5,284,9036,0,0,0,0,0,0,0,0,0,15665,0,0,0,0,0,0,327,3,0,0,0,0,0,20,0,0,0,0,0,0,0,253,0,0,0,102,0,148,13,0,1,0,0,0,0,0,3465,11450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,37,Calanoida
OTU_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,9,0,0,0,1246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,0,0,0,341,0,0,5678,8,0,0,0,0,0,0,0,1,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2039,0,0,0,78,0,0,0,0,0,2518,0,63,0,0,10,0,0,0,14,2757,0,10,1,2,0,0,0,0,26055,0,2,38,0,507,0,0,0,6635,30168,0,0,0,0,0,0,0,672,0,1,6016,0,0,344,0,0,0,0,0,Amphipoda
OTU_9,27144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2688,3453,0,0,454,0,0,0,9427,6828,4429,0,0,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7983,0,0,0,0,0,0,0,0,Amphipoda
OTU_10,251,357,4118,0,3,0,6533,223,723,0,181,0,39,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602,2,0,0,176,394,249,2,34,166,8,0,0,0,36,5,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,848,4396,269,19,272,340,1230,4449,559,5785,2024,10,1512,0,128,0,228,948,677,375,0,2049,2171,5264,4231,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,1,0,0,0,5,2,10,0,29,0,0,0,0,0,0,0,0,0,0,0,601,309,241,19,205,0,5,109,Siphonophorae
OTU_12,80,0,484,160,1090,0,0,298,298,21,531,0,49,0,7,0,0,35,9,0,0,14,0,0,0,14,0,469,0,0,0,0,0,0,0,1,1042,163,4,14,0,0,0,0,9,219,16,1,171,0,0,1,2,65,3,0,30,0,16,0,0,13,1,0,10,4,0,1,5,0,222,186,0,0,0,334,349,191,78,13,5,303,0,12,1388,370,1,1815,18913,271,0,250,0,549,57,10297,0,0,1,0,0,0,0,12,0,0,16,0,2,0,0,0,0,2,34,0,7,18,24,39,0,0,2,0,0,15,7,14,0,1,0,0,0,0,11,120,27,0,10,0,0,0,0,201,0,1,3,0,0,0,0,3,20,0,0,3,3,Coronatae
OTU_14,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3278,0,0,0,0,4,10,255,0,0,0,0,0,0,0,106,864,0,0,0,205,0,0,0,0,0,0,8,0,8302,145,0,0,1,0,0,15,0,1,0,5488,1032,0,156,0,0,3,0,0,1,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,10,0,0,7,1747,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,25,0,802,0,0,7,85,0,251,1496,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11,0,0,28,0,0,0,0,70,Calanoida
