col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
1,1.0,2.0,5.0,1.0,10.0,1957.0,m,0.0
1,2.0,2.0,5.0,1.0,5.0,533.0,m,0.0
1,3.0,2.0,5.0,1.0,1.0,518.0,m,0.0
1,4.0,2.0,5.0,1.0,6.0,480.0,m,0.0
1,5.0,2.0,5.0,4.0,37.0,492.0,z,0.0
1,6.0,2.0,5.0,4.0,35.0,725.0,z,0.0
1,7.0,2.0,5.0,4.0,31.0,481.0,z,0.0
1,8.0,2.0,5.0,4.0,32.0,429.0,z,0.0
1,9.0,2.0,5.0,1.0,8.0,375.0,z,1.0
1,10.0,2.0,5.0,4.0,36.0,516.0,z,0.0
1,11.0,2.0,5.0,4.0,33.0,397.0,z,0.0
1,12.0,2.0,5.0,1.0,2.0,555.0,m,0.0
1,13.0,2.0,5.0,1.0,9.0,671.0,z,1.0
1,14.0,2.0,5.0,4.0,34.0,565.0,z,0.0
1,15.0,2.0,5.0,1.0,3.0,541.0,m,0.0
1,16.0,2.0,5.0,4.0,38.0,662.0,z,0.0
1,17.0,2.0,5.0,4.0,39.0,449.0,z,0.0
1,18.0,2.0,5.0,1.0,4.0,546.0,m,0.0
1,19.0,2.0,5.0,1.0,7.0,455.0,m,0.0
1,20.0,2.0,5.0,4.0,40.0,518.0,z,0.0
1,1.0,2.0,3.0,4.0,38.0,1696.0,z,0.0
1,2.0,2.0,3.0,4.0,39.0,480.0,z,0.0
1,3.0,2.0,3.0,4.0,36.0,513.0,z,0.0
1,4.0,2.0,3.0,3.0,23.0,525.0,z,1.0
1,5.0,2.0,3.0,3.0,25.0,608.0,m,0.0
1,6.0,2.0,3.0,4.0,37.0,500.0,z,0.0
1,7.0,2.0,3.0,3.0,26.0,534.0,m,0.0
1,8.0,2.0,3.0,4.0,35.0,929.0,z,0.0
1,9.0,2.0,3.0,3.0,30.0,682.0,m,0.0
1,10.0,2.0,3.0,4.0,31.0,652.0,z,0.0
1,11.0,2.0,3.0,3.0,21.0,458.0,z,1.0
1,12.0,2.0,3.0,4.0,33.0,510.0,z,0.0
1,13.0,2.0,3.0,3.0,28.0,447.0,m,0.0
1,14.0,2.0,3.0,4.0,34.0,518.0,z,0.0
1,15.0,2.0,3.0,3.0,22.0,504.0,m,0.0
1,16.0,2.0,3.0,3.0,24.0,479.0,m,0.0
1,17.0,2.0,3.0,3.0,29.0,515.0,m,0.0
1,18.0,2.0,3.0,4.0,32.0,485.0,z,0.0
1,19.0,2.0,3.0,4.0,40.0,486.0,z,0.0
1,20.0,2.0,3.0,3.0,27.0,539.0,z,1.0
1,1.0,2.0,1.0,3.0,28.0,652.0,m,0.0
1,2.0,2.0,1.0,1.0,8.0,790.0,m,0.0
1,3.0,2.0,1.0,2.0,17.0,602.0,z,0.0
1,4.0,2.0,1.0,1.0,4.0,457.0,m,0.0
1,5.0,2.0,1.0,3.0,25.0,608.0,m,0.0
1,6.0,2.0,1.0,3.0,27.0,653.0,m,0.0
1,7.0,2.0,1.0,2.0,13.0,643.0,z,0.0
1,8.0,2.0,1.0,2.0,16.0,477.0,z,0.0
1,9.0,2.0,1.0,4.0,32.0,456.0,z,0.0
1,10.0,2.0,1.0,4.0,34.0,436.0,z,0.0
1,11.0,2.0,1.0,4.0,39.0,466.0,z,0.0
1,12.0,2.0,1.0,4.0,40.0,415.0,z,0.0
1,13.0,2.0,1.0,3.0,26.0,535.0,m,0.0
1,14.0,2.0,1.0,2.0,19.0,700.0,z,0.0
1,15.0,2.0,1.0,2.0,14.0,497.0,z,0.0
1,16.0,2.0,1.0,3.0,30.0,419.0,z,1.0
1,17.0,2.0,1.0,1.0,3.0,526.0,m,0.0
1,18.0,2.0,1.0,1.0,10.0,516.0,m,0.0
1,19.0,2.0,1.0,1.0,5.0,484.0,m,0.0
1,20.0,2.0,1.0,4.0,31.0,447.0,m,1.0
1,21.0,2.0,1.0,1.0,9.0,453.0,m,0.0
1,22.0,2.0,1.0,1.0,2.0,440.0,m,0.0
1,23.0,2.0,1.0,1.0,6.0,397.0,m,0.0
1,24.0,2.0,1.0,2.0,11.0,597.0,z,0.0
1,25.0,2.0,1.0,4.0,33.0,512.0,z,0.0
1,26.0,2.0,1.0,4.0,35.0,517.0,z,0.0
1,27.0,2.0,1.0,2.0,18.0,583.0,z,0.0
1,28.0,2.0,1.0,2.0,20.0,407.0,z,0.0
1,29.0,2.0,1.0,3.0,29.0,429.0,z,1.0
1,30.0,2.0,1.0,3.0,21.0,548.0,m,0.0
1,31.0,2.0,1.0,2.0,15.0,503.0,z,0.0
1,32.0,2.0,1.0,2.0,12.0,605.0,z,0.0
1,33.0,2.0,1.0,3.0,24.0,714.0,m,0.0
1,34.0,2.0,1.0,1.0,1.0,503.0,m,0.0
1,35.0,2.0,1.0,4.0,38.0,543.0,z,0.0
1,36.0,2.0,1.0,3.0,22.0,581.0,m,0.0
1,37.0,2.0,1.0,4.0,37.0,634.0,z,0.0
1,38.0,2.0,1.0,4.0,36.0,670.0,z,0.0
1,39.0,2.0,1.0,1.0,7.0,498.0,m,0.0
1,40.0,2.0,1.0,3.0,23.0,741.0,m,0.0
1,1.0,2.0,2.0,1.0,4.0,496.0,m,0.0
1,2.0,2.0,2.0,2.0,11.0,621.0,z,0.0
1,3.0,2.0,2.0,2.0,12.0,621.0,z,0.0
1,4.0,2.0,2.0,1.0,3.0,558.0,m,0.0
1,5.0,2.0,2.0,2.0,18.0,566.0,z,0.0
1,6.0,2.0,2.0,2.0,19.0,475.0,z,0.0
1,7.0,2.0,2.0,2.0,20.0,546.0,z,0.0
1,8.0,2.0,2.0,1.0,7.0,477.0,m,0.0
1,9.0,2.0,2.0,2.0,16.0,525.0,z,0.0
1,10.0,2.0,2.0,1.0,2.0,427.0,m,0.0
1,11.0,2.0,2.0,1.0,6.0,493.0,z,1.0
1,12.0,2.0,2.0,2.0,15.0,385.0,z,0.0
1,13.0,2.0,2.0,1.0,9.0,623.0,m,0.0
1,14.0,2.0,2.0,1.0,10.0,498.0,m,0.0
1,15.0,2.0,2.0,1.0,5.0,523.0,m,0.0
1,16.0,2.0,2.0,2.0,13.0,545.0,z,0.0
1,17.0,2.0,2.0,1.0,8.0,525.0,m,0.0
1,18.0,2.0,2.0,1.0,1.0,463.0,m,0.0
1,19.0,2.0,2.0,2.0,17.0,443.0,z,0.0
1,20.0,2.0,2.0,2.0,14.0,495.0,z,0.0
1,1.0,2.0,4.0,3.0,22.0,585.0,m,0.0
1,2.0,2.0,4.0,2.0,19.0,588.0,z,0.0
1,3.0,2.0,4.0,3.0,23.0,556.0,m,0.0
1,4.0,2.0,4.0,2.0,15.0,722.0,z,0.0
1,5.0,2.0,4.0,3.0,29.0,568.0,m,0.0
1,6.0,2.0,4.0,3.0,27.0,462.0,m,0.0
1,7.0,2.0,4.0,2.0,14.0,670.0,z,0.0
1,8.0,2.0,4.0,2.0,12.0,727.0,z,0.0
1,9.0,2.0,4.0,3.0,25.0,526.0,m,0.0
1,10.0,2.0,4.0,3.0,30.0,473.0,m,0.0
1,11.0,2.0,4.0,2.0,17.0,671.0,z,0.0
1,12.0,2.0,4.0,3.0,28.0,490.0,m,0.0
1,13.0,2.0,4.0,2.0,11.0,437.0,z,0.0
1,14.0,2.0,4.0,2.0,16.0,611.0,z,0.0
1,15.0,2.0,4.0,3.0,26.0,614.0,m,0.0
1,16.0,2.0,4.0,2.0,13.0,475.0,m,1.0
1,17.0,2.0,4.0,2.0,18.0,709.0,z,0.0
1,18.0,2.0,4.0,3.0,24.0,511.0,m,0.0
1,19.0,2.0,4.0,2.0,20.0,502.0,z,0.0
