id,trickle_infection,group,day,age,male,female,total,establishment
1015,0,A,0,120,1840,2940,4780,31.86666667
1014,0,A,0,145,3570,4780,8350,55.66666667
1013,0,A,0,151,4000,4550,8550,57
1011,0,A,0,167,4720,5370,10090,67.26666667
1518,0,B,42,180,2860,3630,6490,43.26666667
1507,0,B,42,201,3130,3540,6670,44.46666667
1513,0,B,91,221,710,520,1230,8.2
1527,0,B,91,240,1360,2680,4040,26.93333333
1511,0,B,112,235,1930,2290,4220,28.13333333
1556,0,B,112,271,0,10,10,0.066666667
1553,0,B,140,272,2070,3670,5740,38.26666667
1517,0,B,140,290,2990,4000,6990,46.6
1510,0,B,168,307,1930,3100,5030,33.53333333
1520,0,B,168,317,1110,1650,2760,18.4
1524,0,B,210,354,1000,2100,3100,20.66666667
1503,0,B,210,374,510,1120,1630,10.86666667
1528,0,B,252,382,10,20,30,0.2
1525,0,B,252,406,930,1880,2810,18.73333333
1505,0,B,294,436,1050,2020,3070,20.46666667
1514,0,B,294,437,440,860,1300,8.666666667
1717,1000,C,42,179,1810,2170,3980,26.53333333
1761,1000,C,42,191,3800,4930,8730,58.2
1720,1000,C,91,221,30,80,110,0.733333333
1715,1000,C,91,248,160,470,630,4.2
1708,1000,C,112,250,70,150,220,1.466666667
1703,1000,C,112,282,0,100,100,0.666666667
1714,1000,C,140,282,0,0,0,0
1729,1000,C,140,305,10,50,60,0.4
1724,1000,C,168,297,10,110,120,0.8
1707,1000,C,168,316,0,30,30,0.2
1710,1000,C,210,356,60,320,380,2.533333333
1725,1000,C,210,363,0,0,0,0
1722,1000,C,252,392,0,0,0,0
1758,1000,C,252,403,10,0,10,0.066666667
1716,1000,C,294,411,0,0,0,0
1721,1000,C,294,457,0,40,40,0.266666667
2364,5000,D,42,177,210,700,910,6.066666667
2200,5000,D,42,209,430,1320,1750,11.66666667
2102,5000,D,91,229,190,560,750,5
2396,5000,D,91,246,0,20,20,0.133333333
2185,5000,D,112,254,1440,3420,4860,32.4
2110,5000,D,112,276,440,1380,1820,12.13333333
2435,5000,D,140,285,0,0,0,0
2440,5000,D,140,287,150,540,690,4.6
2535,5000,D,168,311,0,30,30,0.2
2112,5000,D,168,317,0,20,20,0.133333333
2646,5000,D,210,337,0,20,20,0.133333333
2321,5000,D,210,364,50,250,300,2
2443,5000,D,252,391,0,0,0,0
2318,5000,D,252,416,80,210,290,1.933333333
2355,5000,D,294,425,0,0,0,0
2345,5000,D,294,447,0,0,0,0
2347,5000,E,91,247,1350,1770,3120,20.8
2141,5000,E,91,233,1460,2360,3820,25.46666667
2315,5000,E,112,232,960,1640,2600,17.33333333
2187,5000,E,112,274,1880,2790,4670,31.13333333
2511,5000,E,140,279,0,10,10,0.066666667
2202,5000,E,140,285,1380,2040,3420,22.8
1345,,F,63,,870,1180,2050,13.66666667
1344,,F,63,,2030,2770,4800,32
1342,,F,63,,2610,3410,6020,40.13333333
1343,,F,63,,2830,3460,6290,41.93333333
505,,F,344,,360,490,850,5.666666667
509,,F,344,,380,800,1180,7.866666667
501,,F,344,,550,830,1380,9.2
508,,F,344,,740,1080,1820,12.13333333
