Angle,Intensity,
15.00500,56.0,
15.01500,67.0,
15.02500,65.0,
15.03500,51.0,
15.04500,56.0,
15.05500,58.0,
15.06500,55.0,
15.07500,60.0,
15.08500,66.0,
15.09500,42.0,
15.10500,56.0,
15.11500,59.0,
15.12500,56.0,
15.13500,49.0,
15.14500,68.0,
15.15500,52.0,
15.16500,57.0,
15.17500,57.0,
15.18500,58.0,
15.19500,65.0,
15.20500,62.0,
15.21500,60.0,
15.22500,49.0,
15.23500,64.0,
15.24500,63.0,
15.25500,70.0,
15.26500,51.0,
15.27500,56.0,
15.28500,72.0,
15.29500,61.0,
15.30500,54.0,
15.31500,63.0,
15.32500,61.0,
15.33500,57.0,
15.34500,68.0,
15.35500,65.0,
15.36500,64.0,
15.37500,68.0,
15.38500,62.0,
15.39500,69.0,
15.40500,69.0,
15.41500,63.0,
15.42500,60.0,
15.43500,62.0,
15.44500,84.0,
15.45500,66.0,
15.46500,68.0,
15.47500,66.0,
15.48500,69.0,
15.49500,60.0,
15.50500,50.0,
15.51500,54.0,
15.52500,57.0,
15.53500,78.0,
15.54500,81.0,
15.55500,57.0,
15.56500,63.0,
15.57500,82.0,
15.58500,54.0,
15.59500,55.0,
15.60500,57.0,
15.61500,62.0,
15.62500,66.0,
15.63500,73.0,
15.64500,60.0,
15.65500,77.0,
15.66500,58.0,
15.67500,71.0,
15.68500,65.0,
15.69500,64.0,
15.70500,86.0,
15.71500,59.0,
15.72500,59.0,
15.73500,65.0,
15.74500,66.0,
15.75500,76.0,
15.76500,58.0,
15.77500,62.0,
15.78500,76.0,
15.79500,54.0,
15.80500,63.0,
15.81500,58.0,
15.82500,60.0,
15.83500,59.0,
15.84500,65.0,
15.85500,47.0,
15.86500,62.0,
15.87500,79.0,
15.88500,59.0,
15.89500,67.0,
15.90500,66.0,
15.91500,60.0,
15.92500,65.0,
15.93500,55.0,
15.94500,78.0,
15.95500,43.0,
15.96500,63.0,
15.97500,47.0,
