col_0,col_1,col_2,col_3,col_4,col_5
1000.00,-1.342E+2,,,,
1001.000,-3.407E+2,,,,
1002.000,-3.299E+2,,,,
1003.000,-5.265E+2,,,,
1004.000,-2.703E+2,,,,
1005.000,-1.656E+2,,,,
1006.000,-3.650E+2,,,,
1007.000,-2.055E+2,,,,
1008.000,-1.721E+2,,,,
1009.000,-2.057E+2,,,,
1010.00,-2.774E+1,,,,
1011.000,1.910E+2,,,,
1012.000,3.737E+2,,,,
1013.000,3.354E+2,,,,
1014.000,7.868E+2,,,,
1015.000,7.905E+2,,,,
1016.000,7.445E+2,,,,
1017.000,1.233E+3,,,,
1018.000,1.304E+3,,,,
1019.000,1.865E+3,,,,
1020.00,1.993E+3,,,,
1021.000,2.780E+3,,,,
1022.000,3.004E+3,,,,
1023.000,3.583E+3,,,,
1024.000,4.419E+3,,,,
1025.000,4.640E+3,,,,
1026.000,5.345E+3,,,,
1027.000,6.021E+3,,,,
1028.000,6.902E+3,,,,
1029.000,7.501E+3,,,,
1030.00,8.101E+3,,,,
1031.000,9.144E+3,,,,
1032.000,9.864E+3,,,,
1033.000,1.136E+4,,,,
1034.000,1.200E+4,,,,
1035.000,1.282E+4,,,,
1036.000,1.450E+4,,,,
1037.000,1.554E+4,,,,
1038.000,1.713E+4,,,,
1039.000,1.843E+4,,,,
1040.00,2.050E+4,,,,
1041.000,2.188E+4,,,,
1042.000,2.503E+4,,,,
1043.000,2.718E+4,,,,
1044.000,3.085E+4,,,,
1045.000,3.407E+4,,,,
1046.000,3.902E+4,,,,
1047.000,4.459E+4,,,,
1048.000,5.057E+4,,,,
1049.000,5.911E+4,,,,
1050.00,6.742E+4,,,,
1051.000,7.751E+4,,,,
1052.000,8.810E+4,,,,
1053.000,9.886E+4,,,,
1054.000,1.091E+5,,,,
1055.000,1.213E+5,,,,
1056.000,1.304E+5,,,,
1057.000,1.403E+5,,,,
1058.000,1.480E+5,,,,
1059.000,1.565E+5,,,,
1060.00,1.605E+5,,,,
1061.000,1.628E+5,,,,
1062.000,1.650E+5,,,,
1063.000,1.647E+5,,,,
1064.000,1.633E+5,,,,
1065.000,1.609E+5,,,,
1066.000,1.548E+5,,,,
1067.000,1.506E+5,,,,
1068.000,1.469E+5,,,,
1069.000,1.427E+5,,,,
1070.00,1.373E+5,,,,
1071.000,1.350E+5,,,,
1072.000,1.316E+5,,,,
1073.000,1.288E+5,,,,
1074.000,1.263E+5,,,,
1075.000,1.247E+5,,,,
1076.000,1.216E+5,,,,
1077.000,1.186E+5,,,,
1078.000,1.160E+5,,,,
1079.000,1.140E+5,,,,
1080.00,1.118E+5,,,,
1081.000,1.108E+5,,,,
1082.000,1.075E+5,,,,
1083.000,1.066E+5,,,,
1084.000,1.047E+5,,,,
1085.000,1.043E+5,,,,
1086.000,1.028E+5,,,,
1087.000,1.018E+5,,,,
1088.000,1.002E+5,,,,
1089.000,9.944E+4,,,,
1090.00,9.833E+4,,,,
1091.000,9.734E+4,,,,
1092.000,9.517E+4,,,,
1093.000,9.267E+4,,,,
1094.000,9.104E+4,,,,
1095.000,8.962E+4,,,,
1096.000,8.638E+4,,,,
1097.000,8.427E+4,,,,
1098.000,8.227E+4,,,,
1099.000,7.901E+4,,,,
1100.00,7.649E+4,,,,
1101.000,7.372E+4,,,,
1102.000,7.153E+4,,,,
1103.000,6.833E+4,,,,
1104.000,6.582E+4,,,,
1105.000,6.251E+4,,,,
1106.000,6.032E+4,,,,
