Counterparty,Deal Num,Phy/ Fin,Pub Code,Period,Monthly Quantity,PV Quantity,Discount Factor,Mid Price,Fixed Price,Cash,Mid Value,,,,
TUDORPROTRA,NQ8104.4,F,NX1,2000-12-01 00:00:00,-650000,0,1,6.016,4.24,0,-1154400,,,,
TUDORPROTRA,NQ8104.5,F,NX1,2001-01-01 00:00:00,650000,0,0.99945867541011,9.98,4.23,0,3735476.7993,,,,
TUDORBVIGLO1,NQ8104.6,F,NX1,2000-12-01 00:00:00,-1180000,0,1,6.016,4.24,0,-2095680,,,,
TUDORBVIGLO1,NQ8104.7,F,NX1,2001-01-01 00:00:00,1180000,0,0.99945867541011,9.98,4.23,0,6781327.1127,,,,
OSPRAIEPORLTD,NQ8104.8,F,NX1,2000-12-01 00:00:00,-670000,0,1,6.016,4.24,0,-1189920,,,,
OSPRAIEPORLTD,NQ8104.9,F,NX1,2001-01-01 00:00:00,670000,0,0.99945867541011,9.98,4.23,0,3850414.547,,,,
TUDORBVIGLO1,NR5935.1,F,NX1,2002-01-01 00:00:00,240000,226241.3999,0.942672499683217,5.49,3.2925,0,497165.4763,,,,
TUDORBVIGLO1,NR5935.1,F,NX1,2002-02-01 00:00:00,240000,225169.4058,0.938205857692989,5.235,3.2925,0,437391.5709,,,,
TUDORBVIGLO1,NR5935.1,F,NX1,2002-03-01 00:00:00,240000,224212.2212,0.934217588181538,4.905,3.2925,0,361542.2066,,,,
TUDORBVIGLO1,NR5935.1,F,NX1,2002-04-01 00:00:00,240000,223157.1639,0.929821516354604,4.365,3.2925,0,239336.0583,,,,
TUDORBVIGLO1,NR5935.1,F,NX1,2002-05-01 00:00:00,240000,222136.6265,0.925569277240723,4.21,3.2925,0,203810.3548,,,,
TUDORBVIGLO1,NR5935.1,F,NX1,2002-06-01 00:00:00,240000,221092.1872,0.921217446858351,4.18,3.2925,0,196219.3162,,,,
TUDORBVIGLO1,NR5935.1,F,NX1,2002-07-01 00:00:00,240000,220079.2973,0.916997072250159,4.183,3.2925,0,195980.6143,,,,
