Dues,Mem,Scholarship,stoorkeeper,raffle,Phil,donation,void,,2167.56,500.0,,Dues,Postage,Scholar,Misc,Donation,Store,Am Sub,WEB,
1195.0,,50.0,,349.0,500.0,10.0,10.0,,1195.0,60.19,,540.0,61.91,25.0,500.0,100.0,200.0,25.0,36.94,
250.0,,,,,,,120.0,,250.0,540.0,,220.0,73.53,500.0,35.0,,172.1,,,
90.0,,,,,,,,,500.0,25.0,,170.0,48.13,25.0,,,1029.91,,,
245.0,,,,,,,,,90.0,220.0,,90.0,44.83,50.0,,,,,,
80.0,,,,,,,,,10.0,500.0,,130.0,18.84,25.0,,,,,,
70.0,,,,,,,,,245.0,61.91,,50.0,60.19,,,,,,,
260.0,,,,,,,,,80.0,170.0,,100.0,,,,,,,,
290.0,,,,,,,,,70.0,90.0,,20.0,,,,,,,,
160.0,,,,,,,,,260.0,130.0,,160.0,,,,,,,,
60.0,,,,,,,,,50.0,50.0,,260.0,,,,,,,,
120.0,,,,,,,,,290.0,25.0,,50.0,,,,,,,,
1200.0,,,,,,,,,160.0,100.0,,220.0,,,,,,,,
120.0,,,,,,,,,60.0,200.0,,1090.0,,,,,,,,
120.0,,,,,,,,,120.0,100.0,,120.0,,,,,,,,
80.0,,,,,,,,,1200.0,20.0,,120.0,,,,,,,,
200.0,,,,,,,,,120.0,25.0,,,,,,,,,,
60.0,,,,,,,,,349.0,73.53,,,,,,,,,,
70.0,,,,,,,,,120.0,50.0,,,,,,,,,,
20.0,,,,,,,,,80.0,160.0,,,,,,,,,,
40.0,,,,,,,,,200.0,260.0,,,,,,,,,,
,,,,,,,,,10.0,48.13,,,,,,,,,,
,,,,,,,,,70.0,1029.91,,,,,,,,,,
,,,,,,,,,120.0,50.0,,,,,,,,,,
,,,,,,,,,20.0,220.0,,,,,,,,,,
,,,,,,,,,40.0,25.0,,,,,,,,,,
,,,,,,,,,,36.94,,,,,,,,,,
,,,,,,,,,,1090.0,,,,,,,,,,
,,,,,,,,,,120.0,,,,,,,,,,
,,,,,,,,,,44.83,,,,,,,,,,
,,,,,,,,,,35.0,,,,,,,,,,
,,,,,,,,,,18.84,,,,,,,,,,
,,,,,,,,,,120.0,,,,,,,,,,
