,Democratic,Republican,Undeclared,Total,,#1
Allenstown,1069.0,737.0,1218.0,3024.0,,330.0
Andover,585.0,526.0,795.0,1906.0,,142.0
Boscawen,670.0,740.0,1103.0,2513.0,,187.0
Bow,1801.0,2463.0,2014.0,6278.0,,292.0
Bradford,300.0,358.0,560.0,1218.0,,91.0
Canterbury,517.0,447.0,1084.0,2048.0,,104.0
Chichester,422.0,652.0,905.0,1979.0,,141.0
Concord Ward 1*,1143.0,933.0,1548.0,3624.0,,403.0
Concord Ward 2,887.0,696.0,1557.0,3140.0,,385.0
Concord Ward 3,810.0,607.0,601.0,2018.0,,199.0
Concord Ward 4,1452.0,740.0,1310.0,3502.0,,387.0
Concord Ward 5,1615.0,1050.0,1421.0,4086.0,,292.0
Concord Ward 6,1072.0,589.0,1154.0,2815.0,,341.0
Concord Ward 7,1399.0,955.0,858.0,3212.0,,195.0
Concord Ward 8**,917.0,796.0,1186.0,2899.0,,416.0
Concord Ward 9,1046.0,907.0,1047.0,3000.0,,332.0
Concord Ward 10**,1291.0,1276.0,1555.0,4122.0,,287.0
Danbury,117.0,222.0,412.0,751.0,,56.0
Dunbarton,525.0,823.0,671.0,2019.0,,107.0
Epsom,801.0,1224.0,1430.0,3455.0,,273.0
Franklin Ward 1,544.0,512.0,821.0,1877.0,,197.0
Franklin Ward 2,359.0,341.0,741.0,1441.0,,206.0
Franklin Ward 3,524.0,463.0,798.0,1785.0,,187.0
Henniker,901.0,895.0,1480.0,3276.0,,210.0
Hill,148.0,207.0,412.0,767.0,,61.0
Hooksett,2971.0,3693.0,2631.0,9295.0,,760.0
Hopkinton,1709.0,1484.0,1566.0,4759.0,,200.0
Loudon,929.0,1361.0,1501.0,3791.0,,317.0
New London,960.0,1338.0,1531.0,3829.0,,302.0
Newbury,384.0,509.0,786.0,1679.0,,84.0
Northfield,910.0,1041.0,1566.0,3517.0,,324.0
Pembroke,1597.0,1734.0,2282.0,5613.0,,464.0
Pittsfield,659.0,839.0,1406.0,2904.0,,217.0
Salisbury**,198.0,306.0,576.0,1080.0,,60.0
Sutton,444.0,451.0,619.0,1514.0,,72.0
Warner**,624.0,646.0,1044.0,2314.0,,166.0
Webster,307.0,201.0,895.0,1403.0,,102.0
Wilmot,292.0,246.0,515.0,1053.0,,74.0
