Course Accounting,AY07-08 SU07,FA07,SP08,AY08-09 SU08,FA08,SP09,AY09-10 SU09,FA09,SP10,AY10-11 SU10,FA10,SP11,AY11-12 SU11,FA11,SP12,AY12-13 SU12,FA12,SP13
ACCT-075,,4.4,3.0000000000000013,,6.099999999999994,4.799999999999999,,5.099999999999998,5.999999999999995,,,,,,,,,
ACCT-076,,,,,,,,,,,5.699999999999996,5.299999999999997,,6.299999999999994,4.899999999999999,,4.968399999999997,4.899999999999999
ACCT-077,,,,,,,,,,,,1.8000000000000005,,2.2000000000000006,2.2000000000000006,,1.8860000000000006,3.087
ACCT-080,,,,,,,,,,,0.9600000000000003,,,,,,,
ACCT-081,,,,,,,,,,,,,,,,,,
ACCT-082,,,,,,,,,,,,,,,,,,
ACCT-124,,10.29999999999998,9.89999999999998,,12.099999999999973,11.999999999999973,,10.799999999999978,12.199999999999973,,12.199999999999973,10.999999999999977,,11.799999999999974,11.499999999999975,,11.799999999999974,16.499999999999964
ACCT-124H,,0.2,0.30000000000000004,,,0.2,,,0.2,,,,,0.2,0.30000000000000004,,0.30000000000000004,0.1
ACCT-125,,1.7000000000000004,1.7000000000000004,,1.2,1.4000000000000001,,2.0000000000000004,3.1000000000000014,,2.3000000000000007,3.3000000000000016,,2.1000000000000005,3.0000000000000013,,5.1999999999999975,6.399999999999993
ACCT-125H,,0.1,,,0.0897,,,,,,,,,,,,,
ACCT-126,,,,,,,,,,,,,,,,,,2.3000000000000007
ACCT-127,,,,,,,,,,,,2.2661000000000002,,,,,,
