SOC Code,SOC Title,Educational Attainment,Wages (2011) Annual Average,Entry Level,Exper. Level,Employment Estimated 2008,Projected 2018,Percent Change,Annual Openings
11-1021,General & Operations Managers,AD+,81650,44220,100370,940,850,-0.09570000000000001,23
11-2022,Sales Managers,BD+,111290,61270,136300,230,220,-0.043500000000000004,5
11-3051,Industrial Production Managers,BD+,75950,46840,90500,200,170,-0.15,7
11-9013,"Farmers, Ranchers & Other Agricultural Managers",WK EXP,,,,,,,
13-1022,Wholesale & Retail Buyers,LT OJT,45770,29740,53790,130,120,-0.07690000000000001,3
13-1023,Purchasing Agents,LT OJT,50270,33950,58420,360,320,-0.11109999999999999,8
13-1031,"Claims Adjusters, Examiners & Investigators",LT OJT,58120,35740,69310,190,180,-0.0526,5
13-1051,Cost Estimators,BD,48850,32340,57110,400,430,0.075,11
13-1081,Logisticians,BD+,58770,34860,70730,80,80,,1
13-1111,Management Analysts,BD+,83810,45400,103020,220,220,,4
13-1151,Training & Development Specialists,BD,46290,22970,57950,,,,
13-1161,Market Research Analysts & Marketing Specialists,BD,47090,30300,55480,,,,
13-2011,Accountants & Auditors,BD,53860,33520,64030,1090,1110,0.0183,22
13-2072,Loan Officers,MT OJT,50540,30420,60600,210,220,0.047599999999999996,3
15-1121,Computer Systems Analysts,BD,64190,45600,73480,,,,
15-1131,Computer Programmers,BD,66080,37600,80330,,,,
15-1132,"Software Developers, Applications",BD,65810,47480,74970,,,,
15-1133,"Software Developers, Systems Software",BD,73100,48680,85310,,,,
15-1142,Network & Computer Systems Administrators,BD,60970,43930,69490,,,,
15-1150,Computer Support Specialists,PS,39200,24600,46500,,,,
17-2051,Civil Engineers,BD,70210,52370,79130,410,390,-0.048799999999999996,11
17-2112,Industrial Engineers,BD,72800,47510,85440,340,350,0.0294,9
17-2141,Mechanical Engineers,BD,68270,47450,78680,540,470,-0.12960000000000002,12
17-3011,Architectural & Civil Drafters,AD,38700,28290,43910,150,130,-0.1333,4
17-3013,Mechanical Drafters,AD,42270,30120,48350,100,90,-0.1,3
17-3026,Industrial Engineering Technicians,AD,43980,31110,50420,30,40,0.3333,1
19-4011,Agricultural & Food Science Technicians,AD,,,,10,10,,0
19-4021,Biological Technicians,BD,35480,23820,41310,10,10,,0
19-4093,Forest & Conservation Technicians,AD,,,,,,,
21-1011,Substance Abuse & Behavioral Disorder Counselors,MT OJT,27700,16720,33190,230,260,0.13040000000000002,8
21-1014,Mental Health Counselors,MD,38580,28120,43810,380,420,0.10529999999999999,13
21-1015,Rehabilitation Counselors,MD,39870,23950,47830,150,150,,3
21-1021,"Child, Family & School Social Workers",BD,33940,23860,38980,840,890,0.059500000000000004,23
21-1022,Healthcare Social Workers,MD,41930,30900,47450,360,380,0.055600000000000004,10
21-1023,Mental Health & Substance Abuse Social Workers,BD,38370,29190,42950,280,330,0.17859999999999998,11
23-2011,Paralegals & Legal Assistants,AD,38780,27180,44580,120,120,,3
25-1011,"Business Teachers, Postsecondary",PhD,73060,52140,83520,80,100,0.25,3
25-1072,"Nursing Instructors & Teachers, Postsecondary",MD,69930,50710,79530,80,90,0.125,2
25-1081,"Education Teachers, Postsecondary",PhD,65270,49010,73400,50,60,0.2,2
25-1194,"Vocational Education Teachers, Postsecondary",WK EXP,53240,36480,61620,160,180,0.125,5
25-2011,Preschool Teachers,AD,27370,16810,32650,380,430,0.1316,11
25-2032,"Career/Technical Education Teachers, Secondary School",BD+,52250,37310,59720,180,170,-0.055600000000000004,5
25-2053,"Special Education Teachers, Middle School",BD,60760,45350,68460,,,,
25-2054,"Special Education Teachers, Secondary School",BD,50910,36850,57940,,,,
27-2022,Coaches & Scouts,LT OJT,28730,16570,34820,210,220,0.047599999999999996,6
29-1031,Dietitians & Nutritionists,BD,42870,22640,52990,140,140,,4
29-1051,Pharmacists,PROF,105730,88860,114160,350,430,0.2286,14
29-1111,Registered Nurses,AD,59370,44640,66740,4400,5100,0.1591,143
29-1122,Occupational Therapists,MD,60960,47700,67590,170,190,0.1176,5
29-1126,Respiratory Therapists,AD,51610,40030,57400,170,200,0.17650000000000002,6
29-2011,Medical & Clinical Laboratory Technologists,BD,50540,37480,57070,350,400,0.1429,9
29-2012,Medical & Clinical Laboratory Technicians,AD,33210,24860,37390,480,520,0.0833,11
29-2021,Dental Hygienists,AD,53100,45620,56840,210,240,0.1429,7
29-2031,Cardiovascular Technologists & Technicians,AD,49160,31810,57840,120,140,0.16670000000000001,4
29-2032,Diagnostic Medical Sonographers,AD,58780,45210,65560,130,140,0.07690000000000001,3
29-2037,Radiologic Technologists & Technicians,AD,48640,35240,55340,,,,
29-2041,Emergency Medical Technicians & Paramedics,PS,25140,18440,28480,710,730,0.0282,10
29-2052,Pharmacy Technicians,MT OJT,28670,21140,32430,530,730,0.3774,36
29-2055,Surgical Technologists,PS,41590,31980,46400,210,240,0.1429,10
29-2056,Veterinary Technologists & Technicians,AD,31980,23570,36180,90,120,0.3333,6
29-2061,Licensed Practical & Licensed Vocational Nurses,PS,34630,26380,38750,1560,1640,0.0513,51
29-2071,Medical Records & Health Information Technicians,PS,29420,20260,34010,240,250,0.0417,9
31-2011,Occupational Therapy Assistants,AD,41690,30810,47130,40,40,,2
31-2021,Physical Therapist Assistants,AD,36920,30070,40350,140,170,0.2143,5
31-9091,Dental Assistants,PS,28380,21820,31660,330,380,0.1515,11
35-1012,Supervisors - Food Preparation & Serving Workers,WK EXP,31920,20470,37640,1120,1200,0.0714,16
37-2021,Pest Control Workers,MT OJT,28150,23740,30360,130,140,0.07690000000000001,3
39-5012,"Hairdressers, Hairstylists & Cosmetologists",PS,21840,16940,24290,1110,1280,0.1532,30
41-1011,Supervisors - Retail Sales Workers,WK EXP,39540,25170,46730,1530,1560,0.0196,35
41-2022,Parts Salespersons,MT OJT,30210,21030,34790,700,620,-0.1143,8
41-3021,Insurance Sales Agents,MT OJT,51940,24810,65500,800,780,-0.025,17
41-3031,"Securities, Commodities & Financial Services Sales Agents",BD,52810,28200,65120,150,150,,4
41-4011,"Sales Representatives, Technical & Scientific Products",BD,77570,46190,93260,230,230,,5
41-4012,Sales Representatives,MT OJT,50730,26580,62810,2400,2370,-0.0125,53
41-9022,Real Estate Sales Agents,LT OJT,42220,28260,49200,260,250,-0.0385,4
43-1011,Supervisors - Office & Administrative Support Workers,WK EXP,45280,30390,52730,1450,1340,-0.0759,30
43-3011,Bill & Account Collectors,MT OJT,30060,20540,34830,220,240,0.0909,5
43-3021,Billing & Posting Clerks,ST OJT,27860,20580,31510,620,570,-0.0806,8
43-3031,"Bookkeeping, Accounting & Auditing Clerks",MT OJT,30110,18690,35820,2730,2780,0.0183,48
43-4051,Customer Service Representatives,ST OJT,26090,17310,30480,1900,2110,0.1105,74
43-4111,Interviewers,ST OJT,29760,22820,33230,190,210,0.10529999999999999,7
43-4131,Loan Interviewers & Clerks,ST OJT,29340,21560,33220,160,130,-0.1875,3
43-5011,Cargo & Freight Agents,ST OJT,41090,31220,46020,60,80,0.3333,4
43-5061,"Production, Planning & Expediting Clerks",MT OJT,42410,28400,49410,300,270,-0.1,8
43-5071,"Shipping, Receiving & Traffic Clerks",ST OJT,29920,21390,34180,810,770,-0.049400000000000006,19
43-6011,Executive Secretaries & Executive Administrative Assistants,WK EXP,39750,27460,45890,950,970,0.021099999999999997,17
43-6012,Legal Secretaries,MT OJT,31790,23810,35790,290,280,-0.0345,5
43-6014,Secretaries,ST OJT,26570,18490,30610,3540,3260,-0.0791,56
43-9041,Insurance Claims & Policy Processing Clerks,MT OJT,39440,28840,44740,150,130,-0.1333,2
43-9061,"Office Clerks, General",ST OJT,24690,17090,28490,6440,6570,0.0202,131
45-1011,Farm & Forestry Worker Supervisors,WK EXP,47840,33600,54960,130,130,,2
47-1011,Supervisors - Construction Trades & Extraction Workers,WK EXP,55390,37180,64500,800,820,0.025,13
47-2021,Brickmasons & Blockmasons,LT OJT,43390,28470,50860,170,180,0.0588,4
47-2031,Carpenters,LT OJT,34380,23380,39880,2070,2110,0.019299999999999998,33
47-2051,Cement Masons & Concrete Finishers,MT OJT,36090,24760,41750,210,210,,7
47-2073,Operating Engineers & Other Construction Equipment Operators,MT OJT,43290,28650,50620,640,670,0.046900000000000004,16
47-2111,Electricians,LT OJT,46420,32000,53630,610,600,-0.0164,16
47-2132,"Insulation Workers, Mechanical",LT OJT,92880,60570,109030,50,50,,1
47-2141,"Painters, Construction & Maintenance",MT OJT,29820,22250,33600,230,240,0.043500000000000004,5
47-2152,"Plumbers, Pipefitters & Steamfitters",LT OJT,39300,28240,44830,350,350,,7
47-2181,Roofers,MT OJT,23540,16760,26930,130,130,,4
47-2211,Sheet Metal Workers,LT OJT,39740,27390,45910,250,240,-0.04,6
47-4011,Construction & Building Inspectors,WK EXP,45710,35720,50710,260,260,,5
47-5012,"Rotary Drill Operators, Oil & Gas",MT OJT,,,,50,60,0.2,2
47-5013,"Service Unit Operators, Oil, Gas & Mining",MT OJT,,,,30,30,,0
47-5071,"Roustabouts, Oil & Gas",MT OJT,,,,10,20,1,0
49-1011,"Supervisors - Mechanics, Installers & Repairers",WK EXP,59100,41150,68080,480,460,-0.0417,11
49-2022,Telecommunications Equipment Installers & Repairers,PS,53480,38780,60830,120,120,,3
49-2095,"Electrical & Electronics Repairers, Powerhouse, Substation & Relay",PS,,,,,,,
49-2098,Security & Fire Alarm Systems Installers,MT OJT,29480,20470,33980,30,40,0.3333,1
49-3021,Automotive Body & Related Repairers,MT OJT,35020,23960,40550,180,180,,4
49-3023,Automotive Service Technicians & Mechanics,LT OJT,33100,20770,39260,1330,1330,,28
