COLLEGE,STATE,COST OF ATTENDANCE,NUMBER of INTER'L STDS,NUMBER AIDED,AVERAGE AWARD,COST  of  these  AWARDS
Harvard/Radcliffe Colleges,MA,41439.0,502.0,349.0,30558.0,10664742.0
Mass. Inst. Of Technology,MA,41030.0,343.0,326.0,31524.0,10276824.0
Mount Holyoke College,MA,40168.0,331.0,241.0,34550.0,8326550.0
Macalester College,MN,34014.0,266.0,259.0,23614.0,6116026.0
University of Texas-Austin,TX,19889.0,1345.0,900.0,6666.0,5999400.0
Princeton University,NJ,39608.0,347.0,190.0,30000.0,5700000.0
Yale University,CT,39520.0,421.0,181.0,28178.0,5100218.0
Middlebury College,VT,39850.0,191.0,152.0,31471.0,4783592.0
University of Pennsylvania,PA,40596.0,896.0,172.0,27714.0,4766808.0
Stanford University,CA,39127.0,334.0,200.0,22363.0,4472600.0
Colgate University,NY,38575.0,138.0,126.0,31898.0,4019148.0
University of Southern CA,CA,40154.0,1181.0,225.0,17757.0,3995325.0
Dartmouth College,NH,37996.0,191.0,136.0,29257.0,3978952.0
Ohio Weslyan University,OH,34885.0,212.0,212.0,17054.0,3615448.0
Calvin College,MI,24840.0,322.0,320.0,11250.0,3600000.0
Oberlin College,OH,38677.0,177.0,145.0,24213.0,3510885.0
Williams College,MA,38370.0,110.0,101.0,33724.0,3406124.0
Louisiana State University,LA,17225.0,596.0,483.0,7043.0,3401769.0
Drexel University,PA,34015.0,594.0,375.0,8886.0,3332250.0
Arizona State University,AZ,23260.0,1203.0,526.0,6202.0,3262252.0
Colby College,ME,39520.0,108.0,98.0,33191.0,3252718.0
Grinnell College,IO,32480.0,149.0,146.0,21859.0,3191414.0
Smith College,MA,41254.0,172.0,114.0,27803.0,3169542.0
Brown University,RI,40480.0,346.0,104.0,29670.0,3085680.0
University of Miami,FL,37796.0,675.0,172.0,16651.0,2863972.0
University of Notre Dame,IN,36792.0,268.0,159.0,17933.0,2851347.0
Lafayette College,PA,37771.0,110.0,99.0,28703.0,2841597.0
Wellesley College,MA,39516.0,156.0,106.0,26202.0,2777412.0
Vassar College,NY,39200.0,106.0,97.0,28573.0,2771581.0
