Deal #,2000-12-01 00:00:00,2001-01-01 00:00:00,2001-02-01 00:00:00,2001-03-01 00:00:00,2001-04-01 00:00:00,2001-05-01 00:00:00,2001-06-01 00:00:00,2001-07-01 00:00:00,2001-08-01 00:00:00,2001-09-01 00:00:00,2001-10-01 00:00:00,Total
N67489.4,,,X,X,,,,,,,,-6986.6
N67489.5,,X,,,,,,,,,,54599.02
N92407.1,X,X,X,X,X,X,X,,,,,11202.76
N92407.2,,,,,,,,X,X,X,X,552.42
NE1787.3,,,,,X,X,X,X,X,X,X,8921.11
NE1787.4,X,X,X,X,,,,,,,,97447.58
NK2091.1,,X,X,X,,,,,,,,62651.1
NV5353.1,,X,,,,,,,,,,-111670.5
NV5435.1,X,X,X,X,X,X,X,X,X,X,X,-925.24
NW7628.1,X,X,X,X,X,X,X,X,X,X,X,-66112.33
Exposure,9675.17,8103.2,9017.8,8069.47,2777.81,2286.26,1904.41,1764.13,1792.89,1925.47,2362.71,49679.32
