,,Institution,,,City,,State,,,1994 Carnegie Classification,,,2000 Carnegie Classification,,,Unit ID,,,FICE,,,URL
,1.0,Colorado State University,,,Fort Collins,,CO,,,Research Universities I,,,Doctoral / Research Universities - Extensive,,,126818.0,,,1350.0,,,www.colostate.edu
,2.0,Iowa State University,,,Ames,,IA,,,Research Universities I,,,Doctoral / Research Universities - Extensive,,,153603.0,,,1869.0,,,www.iastate.edu
,3.0,Louisiana State University & Agricultural & Mechanical College,,,Baton Rouge,,LA,,,Research Universities I,,,Doctoral / Research Universities - Extensive,,,159391.0,,,2010.0,,,www.lsu.edu
,4.0,Oregon State University,,,Corvallis,,OR,,,Research Universities I,,,Doctoral / Research Universities - Extensive,,,209542.0,,,3210.0,,,www.oregonstate.edu
,5.0,University of California - Davis,,,Davis,,CA,,,Research Universities I,,,Doctoral / Research Universities - Extensive,,,110644.0,,,1313.0,,,www.ucdavis.edu
,6.0,University of Georgia,,,Athens,,GA,,,Research Universities I,,,Doctoral / Research Universities - Extensive,,,139959.0,,,1598.0,,,www.uga.edu
,7.0,University of Kentucky,,,Lexington,,KY,,,Research Universities I,,,Doctoral / Research Universities - Extensive,,,157085.0,,,1989.0,,,www.uky.edu
,8.0,University of Missouri - Columbia,,,Columbia,,MO,,,Research Universities I,,,Doctoral / Research Universities - Extensive,,,178396.0,,,2516.0,,,www.missouri.edu
,9.0,University of North Carolina at Chapel Hill,,,Chapel Hill,,NC,,,Research Universities I,,,Doctoral / Research Universities - Extensive,,,199120.0,,,2974.0,,,www.unc.edu
,10.0,University of Tennessee at Knoxville,,,Knoxville,,TN,,,Research Universities I,,,Doctoral / Research Universities - Extensive,,,221759.0,,,3530.0,,,www.utk.edu
,11.0,University of Utah,,,Salt Lake City,,UT,,,Research Universities I,,,Doctoral / Research Universities - Extensive,,,230764.0,,,3675.0,,,www.utah.edu
,12.0,University of Virginia,,,Charlottesville,,VA,,,Research Universities I,,,Doctoral / Research Universities - Extensive,,,234076.0,,,3745.0,,,www.virginia.edu
,,University of Hawai‘i at Manoa,,,Honolulu,,HI,,,Research Universities I,,,Doctoral / Research Universities - Extensive,,,141574.0,,,1610.0,,,www.uhm.hawaii.edu
