SOC Code,SOC Title,Educational Attainment,Wages (2011) Annual Average,Entry Level,Exper. Level,Employment Estimated 2008,Projected 2018,Percent Change,Annual Openings
11-1021,General & Operations Managers,AD+,105110,53890,130710,2020,1900,-0.0594,49
11-2022,Sales Managers,BD+,115370,60650,142740,520,520,,12
11-3051,Industrial Production Managers,BD+,102640,62580,122670,390,370,-0.0513,13
11-9013,"Farmers, Ranchers & Other Agricultural Managers",WK EXP,,,,,,,
13-1022,Wholesale & Retail Buyers,LT OJT,49880,30930,59360,460,430,-0.06520000000000001,10
13-1023,Purchasing Agents,LT OJT,68010,44310,79860,490,480,-0.0204,11
13-1031,"Claims Adjusters, Examiners & Investigators",LT OJT,63340,44570,72720,1430,1350,-0.0559,36
13-1051,Cost Estimators,BD,64960,34030,80430,350,390,0.1143,11
13-1081,Logisticians,BD+,64650,38170,77890,150,170,0.1333,4
13-1111,Management Analysts,BD+,87550,53460,104590,890,910,0.0225,17
13-1151,Training & Development Specialists,BD,50780,33130,59610,,,,
13-1161,Market Research Analysts & Marketing Specialists,BD,67230,41380,80150,,,,
13-2011,Accountants & Auditors,BD,67950,45500,79170,2410,2560,0.0622,57
13-2072,Loan Officers,MT OJT,58080,35510,69370,500,490,-0.02,5
15-1061,Database Administrators,BD,,,,210,240,0.1429,5
15-1121,Computer Systems Analysts,BD,84780,55810,99270,,,,
15-1131,Computer Programmers,BD,70700,46220,82940,,,,
15-1132,"Software Developers, Applications",BD,89760,59020,105130,,,,
15-1133,"Software Developers, Systems Software",BD,96170,55610,116450,,,,
15-1142,Network & Computer Systems Administrators,BD,64940,40130,77340,,,,
15-1150,Computer Support Specialists,PS,47490,30740,55870,,,,
17-2051,Civil Engineers,BD,70370,52320,79390,570,550,-0.0351,15
17-2071,Electrical Engineers,BD,78840,57230,89640,200,190,-0.05,5
17-2112,Industrial Engineers,BD,88830,59150,103670,420,510,0.2143,19
17-2141,Mechanical Engineers,BD,87000,64180,98410,350,350,,8
17-3011,Architectural & Civil Drafters,AD,46200,36660,50970,410,340,-0.1707,12
17-3013,Mechanical Drafters,AD,53280,33760,63040,300,280,-0.0667,9
17-3024,Electro-Mechanical Technicians,AD,,,,10,10,,0
17-3026,Industrial Engineering Technicians,AD,43180,28510,50520,120,130,0.0833,2
19-4021,Biological Technicians,BD,39350,28550,44750,130,140,0.07690000000000001,6
21-1011,Substance Abuse & Behavioral Disorder Counselors,MT OJT,40540,32140,44750,240,290,0.2083,10
21-1014,Mental Health Counselors,MD,40900,28100,47300,550,650,0.1818,21
21-1015,Rehabilitation Counselors,MD,37380,23880,44120,250,270,0.08,7
21-1021,"Child, Family & School Social Workers",BD,44290,29250,51800,750,810,0.08,22
21-1022,Healthcare Social Workers,MD,50350,32960,59050,340,370,0.0882,11
21-1023,Mental Health & Substance Abuse Social Workers,BD,42500,28070,49710,430,500,0.1628,16
23-2011,Paralegals & Legal Assistants,AD,45400,30960,52630,150,160,0.0667,3
25-1011,"Business Teachers, Postsecondary",PhD,100470,54070,123670,210,250,0.1905,8
25-1072,"Nursing Instructors & Teachers, Postsecondary",MD,65360,46740,74670,160,180,0.125,5
25-1081,"Education Teachers, Postsecondary",PhD,69410,42690,82770,80,90,0.125,2
25-1194,"Vocational Education Teachers, Postsecondary",WK EXP,48970,33410,56750,170,210,0.2353,7
25-2011,Preschool Teachers,AD,22490,16950,25260,950,970,0.021099999999999997,18
25-2032,"Career/Technical Education Teachers, Secondary School",BD+,65670,51070,72970,100,100,,3
25-2053,"Special Education Teachers, Middle School",BD,67600,50500,76140,,,,
25-2054,"Special Education Teachers, Secondary School",BD,65140,46880,74270,,,,
25-9041,Teacher Assistants,ST OJT,24710,18050,28040,2480,2630,0.0605,55
27-2022,Coaches & Scouts,LT OJT,32380,17190,39970,500,530,0.06,16
29-1031,Dietitians & Nutritionists,BD,53520,39470,60550,60,60,,2
29-1051,Pharmacists,PROF,119650,90670,134130,430,530,0.23260000000000003,18
29-1111,Registered Nurses,AD,71400,50540,81830,6410,7670,0.1966,232
29-1122,Occupational Therapists,MD,75760,57830,84720,320,390,0.2188,12
29-1126,Respiratory Therapists,AD,60890,48920,66870,170,210,0.2353,7
29-2011,Medical & Clinical Laboratory Technologists,BD,53090,41690,58790,290,290,,4
29-2012,Medical & Clinical Laboratory Technicians,AD,43300,32320,48780,410,440,0.0732,9
29-2021,Dental Hygienists,AD,61160,47030,68230,450,510,0.1333,15
29-2031,Cardiovascular Technologists & Technicians,AD,65230,40500,77590,280,340,0.2143,10
29-2032,Diagnostic Medical Sonographers,AD,63910,49480,71120,150,170,0.1333,4
29-2037,Radiologic Technologists & Technicians,AD,53130,33850,62770,,,,
29-2041,Emergency Medical Technicians & Paramedics,PS,39290,26700,45590,730,760,0.041100000000000005,11
29-2052,Pharmacy Technicians,MT OJT,27950,18300,32770,770,1080,0.40259999999999996,55
29-2055,Surgical Technologists,PS,43350,33440,48310,140,170,0.2143,7
29-2056,Veterinary Technologists & Technicians,AD,32530,24850,36370,200,280,0.4,14
29-2061,Licensed Practical & Licensed Vocational Nurses,PS,42410,33070,47080,1960,2330,0.1888,90
29-2071,Medical Records & Health Information Technicians,PS,35710,24800,41170,480,560,0.16670000000000001,21
31-1011,Home Health Aides,ST OJT,20220,16760,21960,2770,3540,0.278,102
31-1012,"Nursing Aides, Orderlies & Attendants",PS,27940,21990,30920,4080,5200,0.27449999999999997,149
31-2011,Occupational Therapy Assistants,AD,46080,31770,53230,90,110,0.22219999999999998,3
31-2021,Physical Therapist Assistants,AD,49300,40160,53860,140,180,0.2857,6
31-9091,Dental Assistants,PS,36360,28330,40370,670,760,0.1343,21
31-9092,Medical Assistants,MT OJT,30800,24850,33780,1400,1670,0.1929,45
33-3051,Police & Sheriff's Patrol Officers,MT OJT,52780,37890,60230,1370,1390,0.0146,39
37-2021,Pest Control Workers,MT OJT,47380,34270,53930,70,70,,2
41-1011,Supervisors - Retail Sales Workers,WK EXP,42470,27660,49870,2470,2490,0.008100000000000001,54
41-2022,Parts Salespersons,MT OJT,31610,20410,37210,540,510,-0.055600000000000004,6
41-3021,Insurance Sales Agents,MT OJT,61660,28300,78350,950,980,0.0316,24
41-3031,"Securities, Commodities & Financial Services Sales Agents",BD,88190,33600,115490,260,250,-0.0385,7
41-4011,"Sales Representatives, Technical & Scientific Products",BD,86830,51440,104530,840,820,-0.023799999999999998,19
41-4012,Sales Representatives,MT OJT,62610,36750,75530,4220,4200,-0.0047,93
41-9022,Real Estate Sales Agents,LT OJT,47830,29060,57220,870,840,-0.0345,14
43-1011,Supervisors - Office & Administrative Support Workers,WK EXP,53180,36200,61670,2430,2350,-0.0329,50
43-3011,Bill & Account Collectors,MT OJT,28860,21490,32550,1710,2080,0.2164,62
43-3021,Billing & Posting Clerks,ST OJT,33320,26150,36910,1440,1370,-0.048600000000000004,18
43-3031,"Bookkeeping, Accounting & Auditing Clerks",MT OJT,36610,22480,43680,4140,4310,0.041100000000000005,82
43-4051,Customer Service Representatives,ST OJT,32560,23080,37300,6280,6170,-0.0175,175
43-4111,Interviewers,ST OJT,30100,21430,34430,270,300,0.11109999999999999,10
43-4131,Loan Interviewers & Clerks,ST OJT,32440,21700,37820,210,170,-0.1905,4
43-5011,Cargo & Freight Agents,ST OJT,36610,27380,41230,,,,
43-5061,"Production, Planning & Expediting Clerks",MT OJT,49510,32140,58200,610,610,,17
43-5071,"Shipping, Receiving & Traffic Clerks",ST OJT,32100,25100,35600,1320,1360,0.030300000000000004,35
43-6011,Executive Secretaries & Executive Administrative Assistants,WK EXP,44500,32470,50520,1980,2040,0.030300000000000004,38
43-6012,Legal Secretaries,MT OJT,39190,34370,41610,510,490,-0.0392,8
43-6014,Secretaries,ST OJT,31570,23060,35830,5020,4640,-0.0757,80
43-9041,Insurance Claims & Policy Processing Clerks,MT OJT,40240,32810,43950,740,640,-0.1351,9
43-9061,"Office Clerks, General",ST OJT,29770,20500,34410,8210,8420,0.0256,172
45-1011,Farm & Forestry Worker Supervisors,WK EXP,,,,60,60,,1
47-1011,Supervisors - Construction Trades & Extraction Workers,WK EXP,71850,49030,83260,990,1020,0.030300000000000004,17
47-2021,Brickmasons & Blockmasons,LT OJT,41230,21860,50920,360,360,,8
47-2031,Carpenters,LT OJT,47700,33780,54660,2950,3050,0.0339,49
47-2051,Cement Masons & Concrete Finishers,MT OJT,44800,34360,50020,190,190,,6
47-2073,Operating Engineers & Other Construction Equipment Operators,MT OJT,45740,34030,51600,650,690,0.061500000000000006,17
47-2111,Electricians,LT OJT,54710,34570,64790,1270,1290,0.015700000000000002,36
47-2132,"Insulation Workers, Mechanical",LT OJT,,,,30,30,,1
47-2141,"Painters, Construction & Maintenance",MT OJT,33930,26520,37630,450,460,0.0222,10
47-2152,"Plumbers, Pipefitters & Steamfitters",LT OJT,66640,37720,81100,560,580,0.0357,14
47-2181,Roofers,MT OJT,36870,25560,42530,340,350,0.0294,9
47-2211,Sheet Metal Workers,LT OJT,61500,35370,74570,320,300,-0.0625,8
47-4011,Construction & Building Inspectors,WK EXP,46270,35780,51510,370,380,0.027000000000000003,8
47-5012,"Rotary Drill Operators, Oil & Gas",MT OJT,,,,,,,
47-5013,"Service Unit Operators, Oil, Gas & Mining",MT OJT,,,,,,,
47-5071,"Roustabouts, Oil & Gas",MT OJT,,,,,,,
49-1011,"Supervisors - Mechanics, Installers & Repairers",WK EXP,64870,46550,74030,800,800,,20
49-2022,Telecommunications Equipment Installers & Repairers,PS,54370,35750,63690,290,310,0.069,9
49-2095,"Electrical & Electronics Repairers, Powerhouse, Substation & Relay",PS,63810,53310,69060,,,,
49-2098,Security & Fire Alarm Systems Installers,MT OJT,44760,31320,51480,130,150,0.15380000000000002,4
49-3021,Automotive Body & Related Repairers,MT OJT,40390,29010,46080,520,510,-0.0192,12
49-3023,Automotive Service Technicians & Mechanics,LT OJT,36650,23960,42990,2110,2140,0.014199999999999999,45
49-3031,Bus & Truck Mechanics & Diesel Engine Specialists,LT OJT,44500,33910,49800,600,590,-0.0167,13
49-9021,"Heating, A/C & Refrigeration Mechanics & Installers",PS,41870,31880,46860,870,880,0.011500000000000002,16
49-9041,Industrial Machinery Mechanics,LT OJT,52190,38840,58870,850,910,0.07060000000000001,20
49-9043,"Maintenance Workers, Machinery",MT OJT,42310,31060,47930,120,120,,2
49-9051,Electrical Power-Line Installers & Repairers,LT OJT,56650,41180,64380,270,260,-0.037000000000000005,8
49-9052,Telecommunications Line Installers & Repairers,LT OJT,66300,60750,69070,570,590,0.0351,16
49-9071,"Maintenance & Repair Workers, General",MT OJT,38450,26680,44330,,,,
51-1011,Supervisors - Production & Operating Workers,PS,58000,39210,67400,1480,1370,-0.07429999999999999,25
51-3021,Butchers & Meat Cutters,LT OJT,32140,23300,36560,190,190,,6
