Sponsoring USD (1=yes coop),CO No.,USD    USD No.,,,FTE Enroll exc4yr at risk 2007-09-20 00:00:00,FTE Enroll exc4yr at risk 2008-02-20 00:00:00,2a  2010-06-21 00:00:00 FTE Enroll exc4yr at risk 2007-09-20 00:00:00 2008-02-20 00:00:00,FTE Enroll exc4yr at risk 2008-09-20 00:00:00,FTE Enroll exc4yr at risk 2009-02-20 00:00:00,Virtual FTE 2008-09-20 00:00:00,2b   FTE Enroll exc4yr at risk 2008-09-20 00:00:00 2009-02-20 00:00:00 exc Virtual,FTE Enroll exc4yr at risk 2009-09-20 00:00:00  incl Virtual,2c   FTE Enroll exc4yr at risk 2009-09-20 00:00:00  exc Virtual,2d   Declining Enrollment Provision,2e   FTE Enroll exc4yr at risk 2010-02-20 00:00:00,2f   Adjusted Enrollment (incl 2/20)  exc Virtual,3a    4YR AR (incl 9/20) (incl 2/20),Virtual FTE 2009-09-20 00:00:00,FTE Enroll inc4yr at risk 2009-09-20 00:00:00  exc Virtual,FTE Enroll inc4yr at risk 2009-09-20 00:00:00  incl Virtual,2009-10 FTE Enroll (inc MILT)  incl Virtual,3b   Total Adj. Enrollment inc 2/20  exc Virtual,4   Low & High Weighted FTE,Low Enroll,High Enroll,5   Vocational Contact Hrs.,6   Vocational Weighted FTE,7   Bilingual Contact Hrs.,8   Bilingual Weighted FTE,9   At-Risk Students,10   At-Risk Weighted FTE,High At-Risk Weighted FTE,2008-09 Non-Proficient Headcount,Non-Proficient Weighted FTE,11   New Fac. FTE,12   New Fac. Weighted FTE,13   Over 2.5 Current Yr,13a   Trans. Weighted FTE,14   Ancillary Weighting FTE,Declining Weighting FTE,Cost of Living FTE,Virtual Weighted FTE,FHSU M&SA FTE,14a   Spec Ed St Aid FY10,14b   Spec Ed Weighting FTE,2009-10 Sub Total Wtd FTE exc spec ed,15a  2009-10 Sub Total Wtd FTE exc COL,15b  2009-10 Total Weighted FTE,AH=Aud Hrs 1=Chng A=Audit R=Republished  #,A,R,Computed General Fund (exc spec ed),16   Computed General Fund (inc spec ed),17   Adopted General Fund,18   2009-10 General Fund (before red.),18a   Budget Law Violation,2008-09 Trans Audit Adj,2008-09 At-Risk Bilingual Audit Adj,2008-09 Juv Det Audit Adj,2008-09 Total Reductions,18b   2009-10 Adjusted Legal General Fund,2009 SB84 LOB Base General Fund,19   2009-10 LOB Authorized Percent,20   Max Computed L O B Authorized,21   Adopted L O B,22   Legal L O B,96-97 INFO LOB expire 0 = no lob 1= 96-97 2=97-98 3=98-99 4=99-00
0,,101,Neosho,Erie,566.2,0,566.2,541.8,0,0,541.8,502.5,502.5,541.8,0,541.8,6,0,508.5,508.5,508.5,547.8,219.1,219.1,0,136.7,11.4,9.3,0.6,213,97.1,0,38,1.8,21.4,5.4,299,72.8,0,0,0,0,0,682749,170.2,956,1126.2,1126.2,9,A,,3835472,4518314,4873477,4518314,,,,,0,4518314,4969115,0.3,1490735,1500000,1490735,2
0,,102,Gray,Cimarron-Ensign,649.5,0,649.5,643.5,0,5.2,638.3,654.2,649.9,649.9,0,649.9,4.5,4.3,654.4,658.7,658.7,654.4,238.1,238.1,0,181.1,15.1,513.1,33.8,221,100.8,0,34,1.6,0,0,124,40.6,0,0,0,4.5,0,460751,114.8,1088.9,1203.7,1203.7,1,A,,4368667,4829244,5125714,4829244,,,,,0,4829244,5365477,0.3,1609643,1000000,1000000,1
0,,103,Cheyenne,Cheylin,143,0,143,130.5,0,0,130.5,137,137,137,0,137,0,0,137,137,137,137,125.5,125.5,0,18.8,1.6,114,7.5,63,28.7,3.8,5,0.2,0,0,55,22.6,0,0,0,0,0,149744,37.3,326.9,364.2,364.2,2,A,,1311523,1461170,1491063,1461170,,,,,0,1461170,1639403,0.3,491821,479054,479054,3
,,105,Rawlins,Rawlins County,309,0,309,317.5,0,0,317.5,312.2,312.2,317.5,0,317.5,0,0,312.2,312.2,312.2,317.5,151.8,151.8,0,64.6,5.4,0,0,110,50.2,0,28,1.3,0,0,103,37.5,0,0,0,0,0,233924,58.3,563.7,622,622,1,A,,2261564,2495464,2621909,2495464,,,,,0,2495464,2832485,0.3,849746,839000,839000,
,,106,Ness,Western Plains,171,0,171,160.2,0,0,160.2,164,164,165.1,0,165.1,0,0,164,164,164,165.1,139,139,0,0,0,69.4,4.6,83,37.8,8.3,19,0.9,0,0,75,28.2,0,0,0,0,0,106811,26.6,383.9,410.5,410.5,12,A,R,1540207,1646926,1706705,1646926,,,,,0,1646926,1853171,0.2817,522038,495439,495439,
,,107,Jewell,Rock Hills,323,0,323,310.2,0,0,305.2,288,288,305.4,0,305.4,4,0,292,292,292,309.4,148.8,148.8,0,138.5,11.5,0,0,94,42.9,0,19,0.9,0,0,127,44.4,0,0,0,0,0,265023,66.1,557.9,624,624,12,A,RP,3310799,3575992,3575992,3575992,,,,,0,3575992,2796385,0.3,838916,857002,838916,
,,108,Washington,Washington Co. Schools,414.5,0,414.5,400.5,0,0,400.5,396.5,396.5,403.8,0,403.8,0,0,396.5,396.5,396.5,403.8,181.3,181.3,0,86.4,7.2,0,0,127,57.9,0,38,1.8,0,0,178,50.3,0,0,0,0,0,483959,120.6,702.3,822.9,822.9,5,A,,2817628,3301475,3329267,3301475,,,,,0,3301475,3661627,0.3,1098488,1073220,1073220,
,,109,Republic,Republic County,507.5,0,507.5,480,0,0,480,471.8,471.8,486.4,0,486.4,0,0,471.8,471.8,471.8,486.4,204.7,204.7,0,91.7,7.6,0,0,168,76.6,0,24,1.1,0,0,187,56.7,0,0,0,0,0,537019,133.9,833.1,967,967,7,A,,3342397,3879604,3945517,3879604,,,,,0,3879604,4308392,0.3,1292518,1273899,1273899,
,,110,Phillips,Thunder Ridge,,,278,235,0,0,235,236.5,236.5,249.8,0,249.8,0,0,236.5,236.5,236.5,249.8,154.2,154.2,0,35.9,3,0,0,85,38.8,0,15,0.7,0,0,145,44.9,0,0,0,0,0,249762,62.3,491.4,553.7,553.7,7,A,,2792655,3042603,3049119,3042603,,,,,0,3042603,2512307,0.2806,704953,713785,704953,
,,111,Doniphan,Doniphan West Schools,,,418,,,,377.4,368.1,368.1,387.8,0,387.8,5,0,373.1,373.1,373.1,392.8,177.8,177.8,0,254.8,21.2,0,0,93,42.4,0,36,1.7,0,0,259,60.3,0,0,0,0,0,378508,94.3,696.2,790.5,790.5,9,A,,3650739,4029071,4176724,4029071,,,,,0,4029071,3641476,0.2806,1021798,820000,820000,
0,,200,Greeley,Greeley County,232.8,0,232.8,210.5,0,0,210.5,210.3,210.3,217.9,0,217.9,1.5,0,211.8,211.8,211.8,219.4,153.1,153.1,0,64,5.3,173.8,11.4,76,34.7,0,32,1.5,0,0,57,24.1,0,0,0,0,0,67382,16.8,449.5,466.3,466.3,3,A,,1803394,1870796,1969806,1870796,,,,,0,1870796,2158485,0.3,647546,647279,647279,1
0,,202,Wyandotte,Turner,3696.1,0,3696.1,3772.2,0,0,3772.2,3690.1,3690.1,3772.2,0,3772.2,81.5,0,3771.6,3771.6,3771.6,3853.7,135,0,135,627.5,52.3,1360,89.5,2226,1015.1,222.6,253,11.8,0,0,1202,156.1,0,0,0,0,1,2701782,673.4,5537.1,6210.5,6210.5,5,A,,22214845,24916526,25723895,24916526,,,,,0,24916526,27775533,0.3,8332660,8201000,8201000,1
0,,203,Wyandotte,Piper,1527,0,1527,1581.5,0,0,1581.5,1626.5,1626.5,1626.5,0,1626.5,4,0,1630.5,1630.5,1630.5,1630.5,57.1,0,57.1,307.2,25.6,14,0.9,180,82.1,0,135,6.3,891.5,222.9,922,119.8,0,0,0,0,0,1177208,293.4,2145.2,2438.6,2438.6,11,A,,8606542,9783663,10017328,9783663,-759,-1993,,,-2752,9780911,10795462,0.3,3238639,3165494,3165494,1
0,,204,Wyandotte,Bonner Springs,2348.7,0,2348.7,2264.6,0,0,2264.6,2335.3,2334.3,2334.3,0,2334.3,23.5,1,2357.8,2358.8,2358.8,2357.8,82.6,0,82.6,322.7,26.9,430.8,28.4,864,394,0,306,14.2,0,0,883,114.7,0,0,0,1.1,0,1821557,454,3019.7,3473.7,3473.7,6,A,,12115036,13936484,14059438,13936484,,,,,0,13936484,15402750,0.3,4620825,4447938,4447938,1
0,,205,Butler,Bluestem,631.9,0,631.9,582.9,0,0,582.9,537,517,582.9,0,582.9,0,20,517,537,537,582.9,226.2,226.2,0,215.6,18,0,0,166,75.7,0,59,2.7,0,0,315,77.1,0,0,0,21,0,519676,129.5,1003.6,1133.1,1133.1,9,A,,4026443,4545997,4749468,4545997,,,,,0,4545997,5055433,0.2806,1418554,1323654,1323654,0
0,,206,Butler,Remington-Whitewater,539.7,0,539.7,511.8,0,9,502.8,520,511,517.8,0,517.8,4,9,515,524,524,521.8,213.3,213.3,0,44.4,3.7,53,3.5,132,60.2,0,44,2,0,0,353,78.6,0,0,0,9.5,0,499090,124.4,892.6,1017,1017,9,A,,3581111,4080204,4404436,4080204,,,,,0,4080204,4488604,0.3,1346581,1150000,1150000,1
0,,207,Leavenworth,Ft. Leavenworth,1602.6,153,1755.6,1678.3,181.1,0,1859.4,1858,1858,1859.4,207,2066.4,0,0,1858,1858,2065,2066.4,72.4,0,72.4,0,0,78.4,5.2,118,53.8,0,139,6.5,0,0,0,0,0,0,0,0,0,1155652,288,2204.3,2492.3,2492.3,9,AM,,8843652,9999108,10833933,9999108,,,,,0,9999108,11011262,0.3,3303379,3317342,3303379,1
