col_0,col_1,col_2,col_3,col_4
Offense Category,Incidents1,Offenses,Victims2,"Known
Offenders3, 4"
Crimes Against Persons,1149923.0,1321523.0,1321523.0,1302160.0
Assault Offenses,1062148.0,1226300.0,1226300.0,1207239.0
Homicide Offenses,3546.0,3792.0,3792.0,4482.0
Kidnapping/Abduction,13470.0,15310.0,15310.0,16156.0
"Sex Offenses, Forcible",64382.0,69356.0,69356.0,67550.0
"Sex Offenses, Nonforcible",6377.0,6765.0,6765.0,6733.0
Crimes Against Property,3687952.0,3687952.0,3991316.0,2351209.0
Arson,15467.0,15467.0,17790.0,10736.0
Bribery,293.0,293.0,317.0,358.0
Burglary/Breaking & Entering,575394.0,575394.0,647672.0,330730.0
Counterfeiting/Forgery,74131.0,74131.0,81407.0,68336.0
Destruction/Damage/Vandalism,810046.0,810046.0,871667.0,445632.0
Embezzlement,17000.0,17000.0,17635.0,18184.0
Extortion/Blackmail,1217.0,1217.0,1329.0,1277.0
Fraud Offenses,245301.0,245301.0,271205.0,167875.0
Larceny/Theft Offenses,1683877.0,1683877.0,1782977.0,1074312.0
Motor Vehicle Theft,161169.0,161169.0,166660.0,84215.0
Robbery,72143.0,72143.0,95737.0,107763.0
Stolen Property Offenses,31914.0,31914.0,36920.0,41791.0
Crimes Against Society,633766.0,633766.0,634151.0,829773.0
Drug/Narcotic Offenses,550343.0,550343.0,550656.0,727131.0
Gambling Offenses,1238.0,1238.0,1238.0,2286.0
Pornography/Obscene Material,5791.0,5791.0,5795.0,5623.0
Prostitution Offenses,10213.0,10213.0,10215.0,12832.0
Weapon Law Violations,66181.0,66181.0,66247.0,81901.0
