Dates,E.CINERGY.INTO - PKWeightedAvg
2000-03-20 00:00:00,23.52
2000-03-21 00:00:00,23.47
2000-03-22 00:00:00,26.74
2000-03-23 00:00:00,24.05
2000-03-24 00:00:00,26.46
2000-03-27 00:00:00,26
2000-03-28 00:00:00,28.46
2000-03-29 00:00:00,29.42
2000-03-30 00:00:00,27.35
2000-03-31 00:00:00,23.65
2000-04-03 00:00:00,26.26
2000-04-04 00:00:00,27.04
2000-04-05 00:00:00,27.33
2000-04-06 00:00:00,28.45
2000-04-07 00:00:00,23.63
2000-04-08 00:00:00,25
2000-04-09 00:00:00,22
2000-04-10 00:00:00,27.53
2000-04-11 00:00:00,29.95
2000-04-12 00:00:00,29.26
2000-04-13 00:00:00,27.89
2000-04-14 00:00:00,28.2
2000-04-15 00:00:00,21.75
2000-04-16 00:00:00,21.75
2000-04-17 00:00:00,29.12
2000-04-18 00:00:00,30.08
2000-04-19 00:00:00,39.45
2000-04-20 00:00:00,35.91
2000-04-21 00:00:00,25.8
2000-04-23 00:00:00,18.5
2000-04-24 00:00:00,34.82
2000-04-25 00:00:00,25
2000-04-26 00:00:00,24.1
2000-04-27 00:00:00,23.71
2000-04-28 00:00:00,23.99
2000-05-01 00:00:00,24.19
2000-05-02 00:00:00,24.49
2000-05-03 00:00:00,26.24
2000-05-04 00:00:00,31.9
2000-05-05 00:00:00,52.1
2000-05-08 00:00:00,57.93
2000-05-09 00:00:00,129.62
2000-05-10 00:00:00,74.42
2000-05-11 00:00:00,45.68
2000-05-12 00:00:00,72.03
2000-05-15 00:00:00,30.72
2000-05-16 00:00:00,24.34
2000-05-17 00:00:00,26.51
2000-05-18 00:00:00,44.44
2000-05-19 00:00:00,34.05
2000-05-20 00:00:00,23
2000-05-21 00:00:00,23
2000-05-22 00:00:00,40.99
2000-05-23 00:00:00,34.76
2000-05-24 00:00:00,51.12
2000-05-25 00:00:00,35.83
2000-05-26 00:00:00,33.44
2000-05-27 00:00:00,24.28
2000-05-28 00:00:00,22.5
2000-05-30 00:00:00,25.05
2000-05-31 00:00:00,37.28
2000-06-01 00:00:00,74.19
2000-06-02 00:00:00,58.54
2000-06-05 00:00:00,22.79
2000-06-06 00:00:00,16.63
2000-06-07 00:00:00,16.66
2000-06-08 00:00:00,27.5
2000-06-09 00:00:00,52.8
2000-06-10 00:00:00,43.16
2000-06-11 00:00:00,37.5
2000-06-12 00:00:00,69.27
2000-06-13 00:00:00,40.59
2000-06-14 00:00:00,40.47
2000-06-15 00:00:00,39.27
2000-06-16 00:00:00,41.61
2000-06-19 00:00:00,36.94
2000-06-20 00:00:00,33.48
2000-06-21 00:00:00,25.11
2000-06-22 00:00:00,36.34
2000-06-23 00:00:00,43.57
2000-06-24 00:00:00,39.78
2000-06-25 00:00:00,32
2000-06-26 00:00:00,45.25
2000-06-27 00:00:00,39.96
2000-06-28 00:00:00,26.58
2000-06-29 00:00:00,19.08
2000-06-30 00:00:00,19.81
2000-07-03 00:00:00,50.41
2000-07-05 00:00:00,51.17
2000-07-06 00:00:00,35.35
2000-07-07 00:00:00,36.64
2000-07-08 00:00:00,34.5
2000-07-09 00:00:00,34.5
2000-07-10 00:00:00,102.5
2000-07-11 00:00:00,45.01
2000-07-12 00:00:00,37.88
2000-07-13 00:00:00,35.35
2000-07-14 00:00:00,33.47
2000-07-15 00:00:00,24.85
2000-07-16 00:00:00,24.85
2000-07-17 00:00:00,58.47
2000-07-18 00:00:00,40
2000-07-19 00:00:00,29.74
2000-07-20 00:00:00,28.96
2000-07-21 00:00:00,25.19
2000-07-24 00:00:00,23.43
2000-07-25 00:00:00,20.54
2000-07-26 00:00:00,20.44
2000-07-27 00:00:00,26.27
2000-07-28 00:00:00,35.76
2000-07-31 00:00:00,43.47
2000-08-01 00:00:00,41.66
2000-08-02 00:00:00,43.27
2000-08-03 00:00:00,44.06
