Start,End,Length,Description,Type,OAT,OGT,AASWD,OTELA
1,11,11,STUDENT-NAME-LAST,alpha or blank,,,,
12,19,8,STUDENT-NAME-FIRST,alpha or blank,,,,
20,20,1,STUDENT-NAME-MI,alpha or blank,,,,
21,29,9,District Student ID (DSID),alphanumeric or blank,,,,
30,31,2,Exam Grade,alphanumeric,"03, 04, 05, 06, 07, 08",GR,"03, 04, 05, 06, 07, 08, GR","K2 (K through 2), 35 (3 through 5), 68 (6 through 8), 92 (9 through 12)"
32,32,1,Assessment Type,alpha,R,R,A,E
33,37,5,filler,,,,,
38,39,2,Birth Month,numeric or blank,"01, 02,..., 12",Same As OAT,Same As OAT,Same As OAT
40,41,2,Birth Day,numeric or blank,"01, 02,..., 31",Same As OAT,Same As OAT,Same As OAT
42,45,4,Birth Year,numeric or blank,CCYY Format,Same As OAT,Same As OAT,Same As OAT
46,47,2,Enrolled Grade,numeric or blank,"22=Kindergarten, 01, 02, …. 13=Adult HS, 14=OGT Only, blank=missing/unknown",Same As OAT,Same As OAT,Same As OAT
48,48,1,Gender,alpha or blank,F=Female,Same As OAT,Same As OAT,Same As OAT
,,,,,M=Male,Same As OAT,Same As OAT,Same As OAT
,,,,,blank=unknown,Same As OAT,Same As OAT,Same As OAT
49,49,1,Ethnicity,numeric or blank,1=American Indian,Same As OAT,Same As OAT,Same As OAT
,,,,,2=Asian/Pacific Islander,Same As OAT,Same As OAT,Same As OAT
,,,,,3=Black/African American,Same As OAT,Same As OAT,Same As OAT
,,,,,4=Hispanic,Same As OAT,Same As OAT,Same As OAT
,,,,,5=White,Same As OAT,Same As OAT,Same As OAT
,,,,,6=Multi-Racial,Same As OAT,Same As OAT,Same As OAT
,,,,,7=Other,Same As OAT,Same As OAT,Same As OAT
,,,,,Blank=Unknown,Same As OAT,Same As OAT,Same As OAT
50,58,9,filler,,,,,
59,78,20,Attending District Name,alpha,,,,
79,84,6,Attending District IRN,numeric,,,,
85,104,20,Attending School Name,alpha,,,,
