,n,Below Poverty**  % (95% CI),,"White only,         non-Hispanic††  % (95% CI)","Black only,          non-Hispanic††  % (95% CI)",Hispanic§§  % (95% CI),,MSA Central City¶¶  % (95% CI),,With an 11-12 year old provider visit ***  % (95% CI),,Uninsured  % (95% CI),,Insured Private††† % (95% CI),Public§§§ % (95% CI),
Alabama,317,29.8(±6.9),,58.8(±7.4),30.6(±7.3),5.6(±3.3),,31.8(±7.0),,37.8(±6.9),,,,43.2(±7.0),50.1(±7.3),
Alaska,340,14.3(±4.4),,56.3(±6.3),,7.5(±3.9),,48.9(±6.3),,28.4(±5.6),,,,43.9(±6.1),51.4(±6.3),
Arizona,360,28.8(±6.5),,42.6(±6.4),,42.1(±6.7),,60.2(±6.4),,39.0(±6.4),,15.4(±5.5),,46.4(±6.6),38.1(±6.7),
Arkansas,322,22.5(±6.0),,65.4(±7.1),18.9(±6.4),9.2(±3.8),,31.9(±6.9),,18.3(±5.2),,5.6(±2.9),,40.5(±7.0),53.9(±7.1),
California,430,31.3(±6.1),,30.5(±5.1),6.0(±2.9),49.9(±6.1),,42.8(±5.9),,35.3(±5.8),,6.4(±2.9),,47.3(±6.0),46.2(±6.2),
Colorado,311,13.8(±6.2),,64.9(±8.5),,28.8(±8.5),,42.1(±8.2),,44.4(±8.2),,,,60.7(±8.6),30.4(±8.4),
Connecticut,323,19.1(±6.9),,65.6(±7.3),11.1(±5.3),18.2(±6.5),,24.5(±6.5),,71.5(±6.7),,,,68.4(±7.1),29.5(±7.1),
Delaware,341,19.1(±6.3),,57.0(±6.9),26.0(±6.8),11.1(±4.5),,32.7(±6.3),,50.8(±6.7),,,,60.7(±7.0),34.0(±6.9),
Dist. of Columbia,342,35.8(±7.1),,12.5(±2.9),71.6(±5.5),11.0(±4.1),,100(±0.0),,38.3(±6.6),,,,36.0(±6.4),62.2(±6.5),
Florida,325,34.1(±7.8),,44.4(±7.4),20.3(±6.7),27.3(±7.0),,59.9(±7.5),,53.1(±7.7),,10.0(±5.3),,45.0(±7.5),45.0(±7.8),
Georgia,328,24.0(±6.6),,45.5(±7.2),34.5(±7.7),10.6(±5.3),,30.3(±7.1),,31.5(±6.6),,9.0(±4.7),,49.5(±7.5),41.4(±7.6),
Hawaii,342,15.7(±5.4),,18.8(±4.9),,13.3(±5.1),,33.8(±6.3),,51.2(±6.9),,,,54.9(±7.0),43.1(±7.0),
Idaho,357,21.2(±5.8),,77.1(±5.9),,15.9(±5.3),,26.0(±5.7),,30.5(±5.8),,9.2(±4.1),,51.1(±6.6),39.7(±6.8),
Illinois,632,23.7(±5.4),,54.6(±6.0),17.2(±4.7),21.5(±5.3),,30.9(±4.5),,44.8(±6.0),,,,53.4(±6.0),45.2(±6.0),
IL-City of Chicago,287,48.6(±7.5),,15.4(±4.2),40.6(±7.6),40.6(±7.5),,99.8(±0.4),,42.0(±7.3),,,,32.9(±6.5),65.7(±6.7),
IL-Rest of State,345,17.6(±6.5),,64.2(±7.6),11.5(±5.6),16.9(±6.3),,14.2(±5.1),,45.5(±7.2),,,,58.3(±7.5),40.3(±7.5),
Indiana,341,30.9(±6.8),,73.7(±6.7),10.9(±5.2),8.2(±4.0),,41.3(±6.8),,36.7(±6.3),,7.9(±4.0),,50.3(±6.8),41.8(±6.9),
