SOC Code,SOC Title,Educational Attainment,Wages (2011) Annual Average,Entry Level,Exper. Level,Employment Estimated 2008,Projected 2018,Percent Change,Annual Openings
11-1021,General & Operations Managers,AD+,123230,65030,152330,1910,1790,-0.06280000000000001,46
11-2022,Sales Managers,BD+,132950,72110,163370,580,580,,13
11-3051,Industrial Production Managers,BD+,102520,68000,119780,310,280,-0.0967,11
11-9013,"Farmers, Ranchers & Other Agricultural Managers",WK EXP,,,,,,,
13-1022,Wholesale & Retail Buyers,LT OJT,58630,40190,67850,620,570,-0.0806,14
13-1023,Purchasing Agents,LT OJT,58480,40150,67640,540,520,-0.037000000000000005,12
13-1031,"Claims Adjusters, Examiners & Investigators",LT OJT,57270,38030,66890,220,220,,6
13-1051,Cost Estimators,BD,60190,42540,69020,720,780,0.0833,21
13-1081,Logisticians,BD+,71340,45200,84400,160,190,0.1875,5
13-1111,Management Analysts,BD+,79240,37490,100120,950,1040,0.0947,25
13-1151,Training & Development Specialists,BD,60940,38930,71950,,,,
13-1161,Market Research Analysts & Marketing Specialists,BD,64870,38600,78010,,,,
13-2011,Accountants & Auditors,BD,74340,45330,88840,2030,2120,0.0443,45
13-2072,Loan Officers,MT OJT,66690,42910,78590,770,700,-0.0909,8
15-1061,Database Administrators,BD,,,,140,170,0.21420000000000003,4
15-1121,Computer Systems Analysts,BD,78680,56370,89840,,,,
15-1131,Computer Programmers,BD,67500,47120,77700,,,,
15-1132,"Software Developers, Applications",BD,92380,71040,103040,,,,
15-1133,"Software Developers, Systems Software",BD,84560,64190,94740,,,,
15-1142,Network & Computer Systems Administrators,BD,77260,51800,90000,,,,
15-1150,Computer Support Specialists,PS,51750,34010,60630,,,,
17-2051,Civil Engineers,BD,76000,51370,88320,470,480,0.0212,14
17-2071,Electrical Engineers,BD,88550,62080,101790,310,310,,7
17-2112,Industrial Engineers,BD,80510,56640,92450,390,450,0.15380000000000002,15
17-2141,Mechanical Engineers,BD,84750,60490,96890,420,400,-0.047599999999999996,9
17-3011,Architectural & Civil Drafters,AD,46190,34050,52250,230,200,-0.1304,7
17-3013,Mechanical Drafters,AD,50120,40960,54700,240,220,-0.0833,7
17-3024,Electro-Mechanical Technicians,AD,,,,40,40,,1
