EXPORTER EXPORTATEUR,EXPORT PT. POINT D'EXPORTATION,LIC/ORD,MONTH/MOIS:  VOLUME 1000 M3,AUTHORIZED VOLUME VOLUME AUTHORISÉ 1000 M3,2000-11-01 00:00:00  % ACTUAL OF AUTHORIZED % REEL DU VOLUME AUTORISÉ,ENERGY ÉNERGIE GJ,EXPORT VALUE RECETTES A L'EXPORTATION $,AVERAGE PRICE PRIX MOYEN $/GJ,,VOLUME 1000 M3,AUTHORIZED VOLUME VOLUME AUTHORISÉ 1000 M3,% ACTUAL OF AUTHORIZED % REEL DU VOLUME AUTORISÉ,MONTH/MOIS: ENERGY ÉNERGIE GJ,EXPORT VALUE RECETTES A L'EXPORTATION $,NOVEMBER 2000 - NOVEMBER 2000 AVERAGE PRICE PRIX MOYEN $/GJ,,,,
AMOCO/CON ED,NIAGARA FALLS,GL-127,26214,26190,100.09163802978236,981714.3199996948,8245131,8.398707069896426,,26214,26190,100.09163802978236,981714.3199996948,8245131,8.398707069896426,,,,
ANADARKO CDA,EMERSON,GL-116,8494.7,8499,99.94940581244853,320250.1964809418,776510,2.4246979659424204,,8494.7,8499,99.94940581244853,320250.1964809418,776510,2.4246979659424204,,,,
ANDROSCOGGIN,EAST HEREFORD,GL-283,26311.9,37260,70.61701556629093,986959.3248363496,5567338,5.640899133227335,,26311.9,37260,70.61701556629093,986959.3248363496,5567338,5.640899133227335,,,,
ANE & AEC,IROQUOIS,GL-105,15978,15990,99.9249530956848,602051.0448760986,4380049.4,7.275212687159123,,15978,15990,99.9249530956848,602051.0448760986,4380049.4,7.275212687159123,,,,
ANE & ATCOR,IROQUOIS,GL-104,31698,31710,99.96215704824976,1194380.649673462,8858519.9,7.416831394934168,,31698,31710,99.96215704824976,1194380.649673462,8858519.9,7.416831394934168,,,,
ANE & PROGAS,IROQUOIS,GL-103,56088,56100,99.97860962566844,2113395.857116699,15998069.47,7.569840461325654,,56088,56100,99.97860962566844,2113395.857116699,15998069.47,7.569840461325654,,,,
ANE & TCPL,IROQUOIS,GL-102,225205.8,225210,99.998135073931,8485754.612727355,51305098.82,6.046026683714147,,225205.8,225210,99.998135073931,8485754.612727355,51305098.82,6.046026683714147,,,,
BROOKLYN NAVY,IROQUOIS,GL-232,22165,22500,98.51111111111112,830965.8872032166,6165116,7.419216715080739,,22165,22500,98.51111111111112,830965.8872032166,6165116,7.419216715080739,,,,
BURLINGTON,EMERSON,GL-118,12725.2,12747,99.82897936769437,480503.53064117435,1854049.68,3.8585557894361213,,12725.2,12747,99.82897936769437,480503.53064117435,1854049.68,3.8585557894361213,,,,
CANWEST,HUNTINGDON,GL-189,78776.7,78180,100.7632386799693,3040780.499796295,21718093,7.142275807627324,,78776.7,78180,100.7632386799693,3040780.499796295,21718093,7.142275807627324,,,,
CANWEST,HUNTINGDON,GL-218,8206.3,8196,100.12567105905319,316763.1674781799,1113854,3.516362110114104,,8206.3,8196,100.12567105905319,316763.1674781799,1113854,3.516362110114104,,,,
CDN OCCIDENTAL,EMERSON,GL-177,6360.7,6375,99.7756862745098,239671.17794113158,1826950,7.622735514942637,,6360.7,6375,99.7756862745098,239671.17794113158,1826950,7.622735514942637,,,,
CHEVRON CAN.,KINGSGATE,GL-250,15385.4,17574,87.54637532718789,584645.2,2474663,4.232760313434541,,15385.4,17574,87.54637532718789,584645.2,2474663,4.232760313434541,,,,
CRESTAR,EMERSON,GL-108,12640.6,12675,99.72859960552269,473896.1152168274,3369135,7.1094378953886945,,12640.6,12675,99.72859960552269,473896.1152168274,3369135,7.1094378953886945,,,,
CRESTAR,MONCHY,GL-257,5365.7,5394,99.47534297367446,202769.80791244507,1302250,6.422307213321939,,5365.7,5394,99.47534297367446,202769.80791244507,1302250,6.422307213321939,,,,
DARTMOUTH,IROQUOIS,GL-164,9014.9,12027,74.95551675397023,337968.6161312103,2530724,7.4880443899485964,,9014.9,12027,74.95551675397023,337968.6161312103,2530724,7.4880443899485964,,,,
DIRECT ENERGY,EAST HEREFORD,GL-188,5130,5130,100,192426.29138946533,1347440,7.0023695320969415,,5130,5130,100,192426.29138946533,1347440,7.0023695320969415,,,,
ENCO GAS,HUNTINGDON,GL-203,18640,18039,103.33167026997062,745227.1914672852,3783153,5.076509611184896,,18640,18039,103.33167026997062,745227.1914672852,3783153,5.076509611184896,,,,
ENCOGEN NW,HUNTINGDON,GL-190,7860.8,8148,96.47520864015708,303191.0536010742,744288,2.454848159798614,,7860.8,8148,96.47520864015708,303191.0536010742,744288,2.454848159798614,,,,
ENRON,EMERSON,GL-278,21319,27030,78.87162412134666,803299.9265060425,5516506,6.867305495712011,,21319,27030,78.87162412134666,803299.9265060425,5516506,6.867305495712011,,,,
