col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,col_57
,Total value of building jobs ;  Western Australia ;  Private Sector ;  Retail and wholesale trade buildings ;,Total value of building jobs ;  Western Australia ;  Private Sector ;  Transport buildings ;,Total value of building jobs ;  Western Australia ;  Private Sector ;  Offices ;,Total value of building jobs ;  Western Australia ;  Private Sector ;  Commercial buildings n.e.c. ;,Total value of building jobs ;  Western Australia ;  Private Sector ;  Commercial Buildings - Total ;,Total value of building jobs ;  Western Australia ;  Private Sector ;  Factories and other secondary production buildings ;,Total value of building jobs ;  Western Australia ;  Private Sector ;  Warehouses ;,Total value of building jobs ;  Western Australia ;  Private Sector ;  Agricultural and aquacultural buildings ;,Total value of building jobs ;  Western Australia ;  Private Sector ;  Other industrial buildings n.e.c. ;,Total value of building jobs ;  Western Australia ;  Private Sector ;  Industrial Buildings - Total ;,Total value of building jobs ;  Western Australia ;  Private Sector ;  Education buildings ;,Total value of building jobs ;  Western Australia ;  Private Sector ;  Religion buildings ;,Total value of building jobs ;  Western Australia ;  Private Sector ;  Aged care facilities ;,Total value of building jobs ;  Western Australia ;  Private Sector ;  Health buildings ;,Total value of building jobs ;  Western Australia ;  Private Sector ;  Entertainment and recreation buildings ;,Total value of building jobs ;  Western Australia ;  Private Sector ;  Short term accommodation buildings ;,Total value of building jobs ;  Western Australia ;  Private Sector ;  Other non-residential n.e.c. ;,Total value of building jobs ;  Western Australia ;  Private Sector ;  Other Non-residential - Total ;,Total value of building jobs ;  Western Australia ;  Private Sector ;  Total Non-residential ;,Total value of building jobs ;  Western Australia ;  Public Sector ;  Retail and wholesale trade buildings ;,Total value of building jobs ;  Western Australia ;  Public Sector ;  Transport buildings ;,Total value of building jobs ;  Western Australia ;  Public Sector ;  Offices ;,Total value of building jobs ;  Western Australia ;  Public Sector ;  Commercial buildings n.e.c. ;,Total value of building jobs ;  Western Australia ;  Public Sector ;  Commercial Buildings - Total ;,Total value of building jobs ;  Western Australia ;  Public Sector ;  Factories and other secondary production buildings ;,Total value of building jobs ;  Western Australia ;  Public Sector ;  Warehouses ;,Total value of building jobs ;  Western Australia ;  Public Sector ;  Agricultural and aquacultural buildings ;,Total value of building jobs ;  Western Australia ;  Public Sector ;  Other industrial buildings n.e.c. ;,Total value of building jobs ;  Western Australia ;  Public Sector ;  Industrial Buildings - Total ;,Total value of building jobs ;  Western Australia ;  Public Sector ;  Education buildings ;,Total value of building jobs ;  Western Australia ;  Public Sector ;  Religion buildings ;,Total value of building jobs ;  Western Australia ;  Public Sector ;  Aged care facilities ;,Total value of building jobs ;  Western Australia ;  Public Sector ;  Health buildings ;,Total value of building jobs ;  Western Australia ;  Public Sector ;  Entertainment and recreation buildings ;,Total value of building jobs ;  Western Australia ;  Public Sector ;  Short term accommodation buildings ;,Total value of building jobs ;  Western Australia ;  Public Sector ;  Other non-residential n.e.c. ;,Total value of building jobs ;  Western Australia ;  Public Sector ;  Other Non-residential - Total ;,Total value of building jobs ;  Western Australia ;  Public Sector ;  Total Non-residential ;,Total value of building jobs ;  Western Australia ;  Total Sectors ;  Retail and wholesale trade buildings ;,Total value of building jobs ;  Western Australia ;  Total Sectors ;  Transport buildings ;,Total value of building jobs ;  Western Australia ;  Total Sectors ;  Offices ;,Total value of building jobs ;  Western Australia ;  Total Sectors ;  Commercial buildings n.e.c. ;,Total value of building jobs ;  Western Australia ;  Total Sectors ;  Commercial Buildings - Total ;,Total value of building jobs ;  Western Australia ;  Total Sectors ;  Factories and other secondary production buildings ;,Total value of building jobs ;  Western Australia ;  Total Sectors ;  Warehouses ;,Total value of building jobs ;  Western Australia ;  Total Sectors ;  Agricultural and aquacultural buildings ;,Total value of building jobs ;  Western Australia ;  Total Sectors ;  Other industrial buildings n.e.c. ;,Total value of building jobs ;  Western Australia ;  Total Sectors ;  Industrial Buildings - Total ;,Total value of building jobs ;  Western Australia ;  Total Sectors ;  Education buildings ;,Total value of building jobs ;  Western Australia ;  Total Sectors ;  Religion buildings ;,Total value of building jobs ;  Western Australia ;  Total Sectors ;  Aged care facilities ;,Total value of building jobs ;  Western Australia ;  Total Sectors ;  Health buildings ;,Total value of building jobs ;  Western Australia ;  Total Sectors ;  Entertainment and recreation buildings ;,Total value of building jobs ;  Western Australia ;  Total Sectors ;  Short term accommodation buildings ;,Total value of building jobs ;  Western Australia ;  Total Sectors ;  Other non-residential n.e.c. ;,Total value of building jobs ;  Western Australia ;  Total Sectors ;  Other Non-residential - Total ;,Total value of building jobs ;  Western Australia ;  Total Sectors ;  Total Non-residential ;
Unit,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original
Data Type,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW
Frequency,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month
Collection Month,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Series Start,2000-07-01 00:00:00,2000-08-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-08-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-12-01 00:00:00,2001-02-01 00:00:00,2001-03-01 00:00:00,2000-08-01 00:00:00,2000-08-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-10-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-08-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-08-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00,2000-07-01 00:00:00
Series End,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00,2013-11-01 00:00:00
No. Obs,161,160,161,161,161,161,161,161,160,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,156,154,153,160,160,161,161,158,161,161,160,161,161,161,161,161,161,161,161,161,161,161,160,161,161,161,161,161,161,161,161,161,161
Series ID,A557710T,A558979A,A560368F,A561532R,A582913K,A563992R,A565294T,A566356F,A567334K,A584299J,A569986C,A571027L,A572083X,A573394A,A574795J,A576082V,A577372K,A585742J,A420920F,A557842V,A559108L,A560530T,A561649V,A583075C,A564106C,A565429R,A566446K,A567430K,A584446W,A570148R,A612627R,A572209V,A573553X,A574951X,A576190C,A577528V,A585904L,A420941T,A558001V,A559264R,A560692J,A561793L,A583237J,A564259T,A565588X,A566584J,A567562L,A584608A,A570310A,A571186W,A572359A,A573712W,A575113F,A576349V,A577687C,A586066F,A420965K
