,2004 $ thousands,2005 $ thousands,2006 $ thousands,2007 $ thousands,2008 $ thousands
Crops,"14,420,425","13,477,388","14,685,464","18,414,176","22,862,673"
  Durum wheat1,"587,139","560,420","571,322","985,295","1,419,697"
  Wheat excluding durum wheat1,"2,420,354","1,935,739","2,251,252","3,247,664","4,413,685"
Oats,"231,433","257,146","332,877","427,701","569,895"
Barley1,"586,233","451,643","439,992","848,658","968,404"
All rye,"29,457","12,782","16,160","38,445","37,866"
Flaxseed,"198,722","171,221","158,805","246,963","346,734"
Canola,"2,151,367","1,826,124","2,503,038","3,450,296","4,902,881"
Corn for grain,"794,416","622,791","753,659","1,051,161","1,555,484"
Soybeans,"630,764","760,350","679,914","1,031,570","1,124,707"
Dry peas,"342,672","265,299","366,519","562,784","631,993"
Mustard,"75,494","44,057","46,118","90,748","145,010"
Sunflower,"31,746","15,212","24,629","70,177","57,997"
Lentils,"204,998","226,677","182,347","343,955","600,784"
Canary seed,"54,886","35,013","46,116","76,438","109,222"
Chick peas,"7,295","34,956","65,371","48,681","40,817"
Dry beans,"151,916","155,345","153,268","165,097","193,977"
Other crops2,"5,906,566","5,854,919","6,215,533","6,097,297","6,187,051"
Deferred grain receipts,"14,967","247,694","-121,456","-368,754","-443,531"
Livestock,"17,055,534","18,340,304","17,740,099","18,238,411","18,802,338"
Cattle and calves,"5,087,883","6,399,984","6,361,444","6,351,138","6,531,080"
Pigs,"4,217,338","3,888,679","3,374,105","3,280,023","3,186,758"
Milk and cream,"4,601,909","4,852,249","4,843,231","5,207,151","5,306,326"
Sheep and lambs,"84,334","110,642","131,654","128,114","127,274"
Poultry and eggs,"2,456,778","2,468,827","2,426,594","2,675,680","3,026,554"
Other livestock products,"607,292","619,923","603,071","596,305","624,346"
Payments,"4,862,265","4,923,422","4,529,261","4,092,907","4,308,321"
Net Income stabilization account,"934,140","442,340","316,946","272,203","239,746"
Crop insurance,"864,528","936,376","734,687","759,117","915,302"
Provincial stabilization,"626,336","390,763","496,919","837,851","643,780"
Other programs3,"2,437,261","3,153,943","2,980,709","2,223,736","2,509,493"
