col_0,col_1,col_2,col_3,col_4,col_5
Northland Region,138,66,"11,544","148,470",
Auckland Region,"2,397",633,"76,161","1,303,068",
Waikato Region,315,102,"19,941","382,713",
Bay of Plenty Region,210,78,"13,410","257,379",
Gisborne Region,27,6,"2,748","44,496",
Hawke's Bay Region,102,45,"6,933","147,783",
Taranaki Region,60,24,"5,247","104,124",
Manawatu-Wanganui Region,183,48,"9,042","222,423",
Wellington Region,672,213,"17,415","448,959",
West Coast Region,24,3,"1,482","31,326",
Canterbury Region,549,168,"17,043","521,832",
Otago Region,225,42,"7,872","193,803",
Southland Region,36,12,"3,000","90,876",
Tasman Region,36,6,"1,746","44,628",
Nelson Region,45,18,"1,476","42,888",
Marlborough Region,27,12,"2,067","42,558",
Area Outside Region,0,0,54,618,
