Service type -- Import,Year 2002,2003,2004,2005,2006,2007,2008
- Postal services and courier services,34,43,28,71,57,62,71
- Telecommunications services,259,206,200,403,373,255,300
Imports of construction services,223,261,497,388,261,248,411
- Computer services,363,407,561,904,879,1 077,1 293
- Information services,32,19,31,25,12,17,18
Royalties and licence fees,641,545,644,902,1 031,1 051,1 380
"- Legal, accounting, bookkeeping, business and management consultancy and public relations services",216,207,230,288,220,400,364
"- Advertising, market research and public opinion polling",701,759,736,1 076,1 069,1 359,1 804
- Research and development services,1 500,1 686,1 573,1 775,1 879,1 872,3 550
"- Architectural, engineering and other technical services",69,77,92,135,158,144,164
"- Agriculture, mining and on-site processing services",2,1,8,9,13,13,11
"- Unclassified business services, incl. Commission trade, operational leasing and services within an enterprise group not classified elsewhere",1 216,1 310,1 261,1 548,1 605,2 004,2 373
- Audiovisual and related services,58,6,6,10,8,21,14
"- Other personal, cultural and recreational services",6,16,17,9,14,12,19
Other unspecified services,128,78,123,197,0,0,0
