District,Road Length KM,Car KSI Casualties,Casualty Rate Per 100 Million Car Km,Goods KSI Casualties,Casualty Rate Per 100 Million Goods Km,All KSI Casualties,Casualty Rate Per 100 Million Vehicle Km
Bolton,46,76,51,4,21,115,68
Bury,33,75,82,1,9,109,105
Manchester,36,154,104,0,0,261,154
Oldham,30,55,69,2,17,77,83
Rochdale,23,43,50,0,0,66,67
Salford,29,42,42,0,0,79,69
Stockport,36,68,46,1,6,108,64
Tameside,32,71,70,1,7,97,82
Trafford,52,78,42,3,15,129,62
Wigan,56,49,25,1,4,89,38
Greater Manchester,374,711,55,13,8,1130,76
