Dimension,,Category,Under 19 Total 2002/03 Number,% of Total,2003/04 Number,% of Total,2004/05 Number,% of Total,2005/06 Number,% of Total,2006/07 Number,% of Total,2007/08 Number,% of Total,2008/09 Number,% of Total,2009/10 Number,% of Total,2010/11 Number,% of Total,2011/12 Number,% of Total,2012/13 Number,% of Total,2013/14 Number,% of Total,2014/15 Number,% of Total,Full Level 2  2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,Full Level 3  2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,English and maths  2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,19 and over Total 2002/03 Number,% of Total,2003/04 Number,% of Total,2004/05 Number,% of Total,2005/06 Number,% of Total,2006/07 Number,% of Total,2007/08 Number,% of Total,2008/09 Number,% of Total,2009/10 Number,% of Total,2010/11 Number,% of Total,2011/12 Number,% of Total,2012/13 Number,% of Total,2013/14 Number,% of Total,2014/15 Number,% of Total,Full Level 2  2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,Full Level 3  2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,English and maths  2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,All ages Total 2002/03 Number,% of Total,2003/04 Number,% of Total,2004/05 Number,% of Total,2005/06 Number,% of Total,2006/07 Number,% of Total,2007/08 Number,% of Total,2008/09 Number,% of Total,2009/10 Number,% of Total,2010/11 Number,% of Total,2011/12 Number,% of Total,2012/13 Number,% of Total,2013/14 Number,% of Total,2014/15 Number,% of Total,Full Level 2  2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,20/13/14,2014/15,Full Level 3  2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,English and maths  2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15
Age Band,,Under 16,"19,340",2.0%,"29,030",2.8%,"48,850",4.6%,"20,380",2.0%,"22,890",2.2%,"25,870",2.4%,"22,540",2.1%,"22,100",2.0%,"29,090",2.6%,"23,760",2.2%,"11,300",1.1%,"5,750",0.6%,"5,040",0.5%,"5,730","4,880","6,420","3,870","4,000","4,090","3,090","5,850","5,390","5,190","3,200","2,810","2,810",950,850,"2,130",840,480,540,660,620,590,950,910,510,450,"1,870","5,500","10,950","4,920","5,420","5,250","4,020","4,540","4,540","4,040","2,760","2,350","2,490",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"19,340",*,"29,030",0.5%,"48,850",0.9%,"20,380",*,"22,890",0.5%,"25,870",0.6%,"22,540",*,"22,100",*,"29,090",0.7%,"23,760",0.6%,"11,300",*,"5,750",*,"5,040",*,"5,730","4,880","6,420","3,870","4,000","4,090","3,090","5,850","5,390","5,190","3,200","2,810","2,810",950,850,"2,130",840,480,540,660,620,590,950,910,510,450,"1,870","5,500","10,950","4,920","5,420","5,250","4,020","4,540","4,540","4,040","2,760","2,350","2,490"
,,16,"376,610",38.6%,"391,950",38.3%,"399,150",37.6%,"391,660",38.2%,"393,640",38.4%,"408,060",38.6%,"403,550",37.9%,"394,660",36.0%,"395,580",35.9%,"382,960",35.9%,"372,640",35.8%,"366,030",37.2%,"355,250",36.9%,"98,850","109,660","112,140","111,100","112,470","112,560","106,570","106,420","110,660","115,640","110,730","108,680","100,470","110,960","117,000","122,470","122,340","125,970","129,880","134,780","138,150","147,990","144,780","154,150","155,580","153,540","128,090","181,720","201,330","207,320","208,370","211,240","216,670","212,970","206,020","182,160","167,550","166,440","179,790",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"376,610",8.0%,"391,950",7.1%,"399,150",7.0%,"391,660",7.8%,"393,640",9.3%,"408,060",9.4%,"403,550",8.3%,"394,660",8.5%,"395,580",9.3%,"382,960",9.1%,"372,640",8.6%,"366,030",9.4%,"355,250",9.9%,"98,850","109,660","112,140","111,100","112,470","112,560","106,570","106,420","110,660","115,640","110,730","108,680","100,470","110,960","117,000","122,470","122,340","125,970","129,880","134,780","138,150","147,990","144,780","154,150","155,580","153,540","128,090","181,720","201,330","207,320","208,370","211,240","216,670","212,970","206,020","182,160","167,550","166,440","179,790"
,,17,"355,980",36.5%,"362,260",35.4%,"371,690",35.0%,"377,770",36.8%,"372,450",36.3%,"385,100",36.5%,"397,590",37.3%,"412,460",37.7%,"403,090",36.6%,"395,510",37.1%,"385,290",37.1%,"365,100",37.1%,"367,130",38.1%,"90,780","98,230","100,160","108,670","109,150","111,040","111,950","118,490","120,290","125,740","119,970","110,620","107,980","105,560","123,450","128,290","135,300","137,270","142,190","147,720","157,820","165,110","162,630","173,780","176,550","178,280","87,590","125,780","158,220","173,420","166,210","166,270","175,740","183,940","177,400","157,430","141,130","136,670","152,460",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"355,980",7.5%,"362,260",6.6%,"371,690",6.5%,"377,770",7.5%,"372,450",8.8%,"385,100",8.8%,"397,590",8.2%,"412,460",8.9%,"403,090",9.5%,"395,510",9.4%,"385,290",8.9%,"365,100",9.3%,"367,130",10.3%,"90,780","98,230","100,160","108,670","109,150","111,040","111,950","118,490","120,290","125,740","119,970","110,620","107,980","105,560","123,450","128,290","135,300","137,270","142,190","147,720","157,820","165,110","162,630","173,780","176,550","178,280","87,590","125,780","158,220","173,420","166,210","166,270","175,740","183,940","177,400","157,430","141,130","136,670","152,460"
,,18,"224,440",23.0%,"239,220",23.4%,"241,730",22.8%,"236,580",23.0%,"237,210",23.1%,"237,360",22.5%,"242,190",22.7%,"265,790",24.3%,"273,900",24.9%,"264,690",24.8%,"270,410",26.0%,"247,000",25.1%,"235,760",24.5%,"60,490","70,450","69,580","73,290","75,250","74,540","73,750","84,750","93,730","99,430","98,260","89,060","82,940","60,470","69,690","70,310","72,580","80,060","85,170","88,180","101,330","112,120","108,000","115,900","116,170","115,640","43,020","77,500","102,920","112,400","108,470","104,480","108,290","120,030","121,540","111,660","101,780","97,640","104,230",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"224,440",4.8%,"239,220",4.3%,"241,730",4.2%,"236,580",4.7%,"237,210",5.6%,"237,360",5.4%,"242,190",5.0%,"265,790",5.7%,"273,900",6.4%,"264,690",6.3%,"270,410",6.3%,"247,000",6.3%,"235,760",6.6%,"60,490","70,450","69,580","73,290","75,250","74,540","73,750","84,750","93,730","99,430","98,260","89,060","82,940","60,470","69,690","70,310","72,580","80,060","85,170","88,180","101,330","112,120","108,000","115,900","116,170","115,640","43,020","77,500","102,920","112,400","108,470","104,480","108,290","120,030","121,540","111,660","101,780","97,640","104,230"
,,19-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"711,440",19.0%,"768,210",17.1%,"813,400",17.5%,"744,780",18.6%,"656,110",20.5%,"686,190",20.8%,"764,150",20.3%,"770,620",21.8%,"744,220",23.5%,"754,610",24.0%,"803,890",24.5%,"748,420",25.5%,"685,050",26.2%,"130,010","155,960","153,980","160,440","175,810","214,280","251,490","265,540","278,980","294,930","299,650","287,690","259,590","135,870","146,140","140,370","152,040","151,890","164,520","175,090","191,270","205,680","205,370","215,250","213,870","210,810","111,890","190,440","292,280","309,160","271,570","269,560","283,680","286,110","297,720","318,260","308,060","292,730","275,890","711,440",15.1%,"768,210",13.9%,"813,400",14.2%,"744,780",14.8%,"656,110",15.5%,"686,190",15.7%,"764,150",15.8%,"770,620",16.6%,"744,220",17.5%,"754,610",17.9%,"803,890",18.6%,"748,420",19.1%,"685,050",19.2%,"130,010","155,960","153,980","160,440","175,810","214,280","251,490","265,540","278,980","294,930","299,650","287,690","259,590","135,870","146,140","140,370","152,040","151,890","164,520","175,090","191,270","205,680","205,370","215,250","213,870","210,810","111,890","190,440","292,280","309,160","271,570","269,560","283,680","286,110","297,720","318,260","308,060","292,730","275,890"
,,25-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"858,540",22.9%,"947,980",21.1%,"994,760",21.4%,"873,140",21.9%,"729,060",22.7%,"768,970",23.3%,"914,150",24.2%,"868,030",24.5%,"782,870",24.7%,"796,260",25.3%,"837,240",25.5%,"747,220",25.5%,"674,530",25.8%,"39,130","47,820","49,340","67,020","102,590","170,150","241,890","240,870","245,850","263,450","254,420","228,030","203,510","26,130","33,650","35,480","48,650","48,820","65,100","94,200","106,980","116,690","120,840","127,970","108,420","103,290","167,770","187,840","252,980","270,820","232,120","232,940","275,980","264,040","279,470","318,130","314,960","284,630","273,910","858,540",18.2%,"947,980",17.2%,"994,760",17.4%,"873,140",17.4%,"729,060",17.2%,"768,970",17.6%,"914,150",18.9%,"868,030",18.7%,"782,870",18.4%,"796,260",18.9%,"837,240",19.4%,"747,220",19.1%,"674,530",18.9%,"39,130","47,820","49,340","67,020","102,590","170,150","241,890","240,870","245,850","263,450","254,420","228,030","203,510","26,130","33,650","35,480","48,650","48,820","65,100","94,200","106,980","116,690","120,840","127,970","108,420","103,290","167,770","187,840","252,980","270,820","232,120","232,940","275,980","264,040","279,470","318,130","314,960","284,630","273,910"
,,35-44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"888,640",23.7%,"1,016,470",22.6%,"1,047,030",22.5%,"889,090",22.2%,"725,660",22.6%,"776,050",23.5%,"907,100",24.1%,"819,050",23.1%,"698,520",22.1%,"673,170",21.4%,"677,840",20.7%,"579,260",19.8%,"504,580",19.3%,"36,410","44,830","46,260","62,640","105,980","176,900","240,740","228,110","219,450","219,110","193,500","159,770","133,710","26,530","32,790","33,590","40,590","41,390","58,700","89,320","96,670","96,960","89,720","84,580","65,130","58,940","123,230","143,370","195,390","203,510","167,770","178,090","215,000","202,310","212,690","238,010","226,450","195,730","185,640","888,640",18.8%,"1,016,470",18.4%,"1,047,030",18.3%,"889,090",17.7%,"725,660",17.1%,"776,050",17.8%,"907,100",18.8%,"819,050",17.7%,"698,520",16.4%,"673,170",16.0%,"677,840",15.7%,"579,260",14.8%,"504,580",14.1%,"36,410","44,830","46,260","62,640","105,980","176,900","240,740","228,110","219,450","219,110","193,500","159,770","133,710","26,530","32,790","33,590","40,590","41,390","58,700","89,320","96,670","96,960","89,720","84,580","65,130","58,940","123,230","143,370","195,390","203,510","167,770","178,090","215,000","202,310","212,690","238,010","226,450","195,730","185,640"
,,45-59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"839,860",22.4%,"1,012,840",22.5%,"1,023,110",22.0%,"840,630",21.0%,"652,980",20.4%,"687,140",20.8%,"819,250",21.7%,"754,790",21.3%,"649,720",20.5%,"665,960",21.1%,"712,920",21.7%,"627,850",21.4%,"540,940",20.7%,"22,110","26,560","28,490","41,530","81,390","146,100","208,130","211,170","214,730","226,130","204,930","171,700","142,810","14,080","17,560","18,360","20,040","21,930","35,340","61,650","69,990","70,870","67,740","64,850","49,850","44,950","81,550","89,560","125,250","130,470","103,400","114,460","144,090","136,070","153,340","188,770","182,740","163,560","155,200","839,860",17.8%,"1,012,840",18.4%,"1,023,110",17.9%,"840,630",16.7%,"652,980",15.4%,"687,140",15.8%,"819,250",16.9%,"754,790",16.3%,"649,720",15.2%,"665,960",15.8%,"712,920",16.5%,"627,850",16.0%,"540,940",15.1%,"22,110","26,560","28,490","41,530","81,390","146,100","208,130","211,170","214,730","226,130","204,930","171,700","142,810","14,080","17,560","18,360","20,040","21,930","35,340","61,650","69,990","70,870","67,740","64,850","49,850","44,950","81,550","89,560","125,250","130,470","103,400","114,460","144,090","136,070","153,340","188,770","182,740","163,560","155,200"
,,60+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"400,530",10.7%,"602,670",13.4%,"588,290",12.6%,"468,460",11.7%,"359,470",11.2%,"335,800",10.2%,"342,760",9.1%,"310,690",8.8%,"277,700",8.8%,"252,180",8.0%,"243,380",7.4%,"223,200",7.6%,"206,030",7.9%,"1,470","1,720","1,870","3,990","8,820","17,440","26,270","25,290","23,560","24,480","20,040","16,130","13,730",460,590,640,840,"1,000","1,820","3,660","4,130","3,810","3,130","2,670","2,040","1,890","32,300","34,790","42,250","37,740","23,730","22,460","22,770","18,960","18,140","19,310","17,040","15,190","14,980","400,530",8.5%,"602,670",10.9%,"588,290",10.3%,"468,460",9.3%,"359,470",8.5%,"335,800",7.7%,"342,760",7.1%,"310,690",6.7%,"277,700",6.5%,"252,180",6.0%,"243,380",5.6%,"223,200",5.7%,"206,030",5.8%,"1,470","1,720","1,870","3,990","8,820","17,440","26,270","25,290","23,560","24,480","20,040","16,130","13,730",460,590,640,840,"1,000","1,820","3,660","4,130","3,810","3,130","2,670","2,040","1,890","32,300","34,790","42,250","37,740","23,730","22,460","22,770","18,960","18,140","19,310","17,040","15,190","14,980"
,,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"27,920",0.7%,"66,780",1.5%,"35,140",0.8%,"51,450",1.3%,"53,330",1.7%,"50,230",1.5%,"23,820",0.6%,"17,330",*,"10,170",*,"7,520",*,"5,350",*,"3,690",*,"2,570",*,260,310,-,"14,780","17,020","15,170",30,30,10,30,-,-,-,140,150,-,"3,480","2,560","2,650",20,40,10,10,-,-,-,"4,190","5,400","2,050","5,390","6,710","7,340","3,560","1,650",480,550,340,-,-,"27,920",0.6%,"66,780",1.2%,"35,140",0.6%,"51,450",1.0%,"53,330",1.3%,"50,230",1.2%,"23,820",*,"17,330",*,"10,170",*,"7,520",*,"5,350",*,"3,690",*,"2,570",*,260,310,-,"14,780","17,020","15,170",30,30,10,30,-,-,-,140,150,-,"3,480","2,560","2,650",20,40,10,10,-,-,-,"4,190","5,400","2,050","5,390","6,710","7,340","3,560","1,650",480,550,340,-,-
