,"30 June
2012","30 September
2012","31 December
2012","31 March
2013","30 June
2013",,"Percentage change 
June 2012 to 
June 2013"
Tier 1 (Low),"21,534","20,985","20,319","19,726","18,360",,-13%
Tier 2 (Low/Medium),"19,802","18,855","18,340","17,459","16,761",,-11%
Tier 3 (Medium/High),"34,679","33,738","33,058","32,354","32,164",,-5%
Tier 4 (High),"4,206","4,287","4,387","4,373","4,473",,4%
Tier not stated (1),182,189,127,856,"1,521",,
Tier 1 (Low),27%,27%,27%,26%,25%,,
Tier 2 (Low/Medium),25%,24%,24%,23%,23%,,
Tier 3 (Medium/High),43%,43%,43%,43%,44%,,
Tier 4 (High),5%,5%,6%,6%,6%,,
Tier not stated (1),0%,0%,0%,1%,2%,,
Tier 1 (Low),"9,036","8,839","8,434","8,178","7,667",,-13%
Tier 2 (Low/Medium),"10,933","10,568","10,320","9,815","9,501",,-10%
Tier 3 (Medium/High),"18,054","17,446","17,111","16,818","16,609",,-5%
Tier 4 (High),"2,425","2,450","2,514","2,629","2,729",,11%
Tier not stated (1),78,87,73,425,735,,
Tier 1 (Low),22%,22%,22%,22%,21%,,
Tier 2 (Low/Medium),27%,27%,27%,26%,26%,,
Tier 3 (Medium/High),45%,44%,44%,44%,45%,,
Tier 4 (High),6%,6%,7%,7%,7%,,
Tier not stated (1),0%,0%,0%,1%,2%,,
