Police force area1,,Date of search Jul-Sep 2009,Oct-Dec 2009,Jan-Mar 2010,Apr-Jun 2010,Jul-Sep 2010,Oct-Dec 2010,Jan-Mar 2011,Apr-Jun 2011,Jul-Sep 2011,,Total year ending 30 Sep 2010,30 Sep 2011,,Change2
Cheshire,,3,8,-,-,-,-,-,-,-,,8,-,,-8 
Cumbria,,7,-,-,-,-,-,-,-,-,,-,-,,-
Essex,,33,-,55,23,6,-,-,-,-,,84,-,,-84 
Greater Manchester,,32,25,45,25,1,-,-,-,-,,96,-,,-96 
Hampshire3,,-,4,-,-,-,-,-,-,-,,4,-,,-4 
"London, City Of",,426,313,328,569,61,17,4,-,-,,"1,271",21,,"-1,250 "
Metropolitan Police,,"22,831","18,367","13,030","7,297",536,13,7,-,-,,"39,230",20,,"-39,210 "
North Yorkshire,,45,40,33,29,-,-,-,-,-,,102,-,,-102 
South Wales,,-,-,23,90,-,-,-,-,-,,113,-,,-113 
Sussex4,,309,303,225,206,26,-,-,-,-,,760,-,,-760 
Thames Valley,,60,23,13,19,-,-,-,-,-,,55,-,,-55 
