Previous offence,,2000,2002,2003,2004,2005,2006,2007,2008,2009,2010,,"Percentage
change
2000 to 20102",,"Percentage
change
2009 to 20102",
Proportion of offenders who re-offend (%),,13.7,13.4,13.4,13.5,13.9,13.8,13.0,12.4,11.6,11.3,,-2.3,pp,-0.3,pp
Average number of re-offences per re-offender,,2.17,2.16,2.13,2.11,2.06,2.02,2.00,1.99,1.99,2.07,,-4.4%,,4.2%,
Proportion of offenders who re-offend - Adjusted to baseline3 (%) (predicted rate),,13.7,13.4,13.3,13.4,13.3,13.2,13.1,12.9,12.5,11.9,,-,,-,
Average number of re-offences per offender (frequency rate),,0.30,0.29,0.29,0.28,0.29,0.28,0.26,0.25,0.23,0.23,,-20.5%,,1.6%,
Number of re-offences,,"75,270","72,389","74,969","76,289","84,288","85,959","79,745","67,562","56,602","50,503",,-32.9%,,-10.8%,
Number of re-offenders,,"34,761","33,565","35,150","36,156","40,822","42,583","39,900","33,900","28,489","24,385",,-29.8%,,-14.4%,
Number of offenders in cohort,,"254,582","251,105","261,933","267,785","293,718","307,700","305,845","272,618","244,797","214,917",,-15.6%,,-12.2%,
Proportion of offenders who re-offend (%),,25.5,25.3,25.1,24.5,25.1,25.2,24.2,23.4,21.9,21.3,,-4.2,pp,-0.6,pp
Average number of re-offences per re-offender,,2.68,2.68,2.61,2.59,2.49,2.44,2.32,2.26,2.21,2.24,,-16.2%,,1.4%,
Proportion of offenders who re-offend - Adjusted to baseline3 (%) (predicted rate),,23.3,23.2,22.9,23.2,23.3,23.2,23.0,22.5,21.7,20.8,,-,,-,
Average number of re-offences per offender (frequency rate),,0.68,0.68,0.65,0.63,0.63,0.61,0.56,0.53,0.48,0.48,,-30.1%,,-1.4%,
Number of re-offences,,"73,025","75,234","75,549","72,190","73,945","80,799","80,086","73,946","64,230","58,835",,-19.4%,,-8.4%,
Number of re-offenders,,"27,275","28,092","28,961","27,873","29,698","33,099","34,522","32,713","29,050","26,231",,-3.8%,,-9.7%,
Number of offenders in cohort,,"107,012","111,069","115,422","113,964","118,290","131,536","142,433","139,693","132,921","123,430",,15.3%,,-7.1%,
Proportion of offenders who re-offend (%),,32.1,32.4,31.5,30.0,30.9,30.5,30.4,29.9,29.0,28.3,,-3.8,pp,-0.6,pp
Average number of re-offences per re-offender,,3.17,3.17,3.03,2.98,2.86,2.80,2.66,2.56,2.47,2.47,,-21.8%,,0.1%,
Proportion of offenders who re-offend - Adjusted to baseline3 (%) (predicted rate),,29.4,29.2,28.8,29.2,29.2,29.1,29.3,29.3,29.0,28.5,,-,,-,
Average number of re-offences per offender (frequency rate),,1.02,1.03,0.95,0.89,0.88,0.85,0.81,0.77,0.72,0.70,,-31.1%,,-2.1%,
Number of re-offences,,"82,649","87,040","83,748","77,569","79,209","83,826","84,765","80,615","74,152","69,739",,-15.6%,,-6.0%,
Number of re-offenders,,"26,107","27,459","27,622","26,070","27,672","29,917","31,812","31,430","29,991","28,188",,8.0%,,-6.0%,
Number of offenders in cohort,,"81,323","84,812","87,725","86,816","89,589","98,089","104,792","105,038","103,575","99,536",,22.4%,,-3.9%,
Proportion of offenders who re-offend (%),,37.7,38.6,37.2,35.0,35.3,35.3,35.6,35.5,33.9,33.4,,-4.3,pp,-0.6,pp
Average number of re-offences per re-offender,,3.48,3.53,3.36,3.19,3.12,3.01,2.89,2.80,2.65,2.66,,-23.5%,,0.4%,
Proportion of offenders who re-offend - Adjusted to baseline3 (%) (predicted rate),,34.2,34.4,33.8,34.3,34.5,34.6,35.0,35.2,34.8,34.4,,-,,-,
