"SELF-HARM INCIDENTS1, 2, 3",2004,2005,2006,2007,2008,2009,2010,2011
Burning,231,273,303,326,327,309,294,281
Cutting/scratching,"11,474","13,040","12,704","12,704","14,262","14,463","15,159","15,346"
Hanging,"1,331","1,053","1,018","1,019","1,019",854,580,844
Overdose/self-poisoning/swallowing,973,"1,218","1,231","1,232","1,276","1,346","1,414","1,663"
Self-strangulation,"3,182","5,003","4,585","4,091","4,923","3,426","4,055","2,451"
Other4,"2,511","3,194","3,559","3,628","3,427","3,786","5,477","4,063"
Burning,114,129,163,187,173,168,160,159
Cutting/scratching,"6,376","6,849","7,695","7,341","8,064","9,000","9,650","10,506"
Hanging,"1,023",820,848,828,790,741,528,768
Overdose/self-poisoning/swallowing,663,800,842,953,917,"1,082","1,152","1,378"
Self-strangulation,547,479,678,550,578,778,839,800
Other4,"1,151","1,343","1,673","1,733","1,697","1,937","2,017","2,226"
Burning,117,144,140,139,154,141,134,122
Cutting/scratching,"5,098","6,191","5,009","5,363","6,198","5,463","5,509","4,840"
Hanging,308,233,170,191,229,113,52,76
Overdose/self-poisoning/swallowing,310,418,389,279,359,264,262,285
Self-strangulation,"2,635","4,524","3,907","3,541","4,345","2,648","3,216","1,651"
Other4,"1,360","1,851","1,886","1,895","1,730","1,849","3,460","1,837"
