Full Establishment,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,YTD
Commissioning Group,61,56,72,75,74,,,,,,,,67
Chief Operating Officer,36,36,38,35,37,,,,,,,,36
Family Services,621,628,707,709,689,,,,,,,,671
Education & Skills,264,286,275,273,269,,,,,,,,273
Adult & Community,225,259,265,266,265,,,,,,,,256
Streetscene,465,469,478,493,491,,,,,,,,479
Commissioning Group,"£2,764,353","£2,304,598","£3,516,479","£3,669,344","£3,631,792",,,,,,,,"£3,177,313"
Chief Operating Officer,"£1,472,850","£1,460,314","£1,486,137","£1,352,688","£1,417,077",,,,,,,,"£1,437,813"
Family Services,"£21,081,324","£20,761,174","£16,645,319","£16,616,343","£16,249,945",,,,,,,,"£18,270,821"
Education & Skills,"£7,809,850","£7,676,973","£5,651,427","£5,493,328","£5,307,225",,,,,,,,"£6,387,761"
Adult & Community,"£8,144,457","£9,497,991","£8,529,965","£8,443,012","£8,410,942",,,,,,,,"£8,605,274"
Streetscene,"£7,946,362","£7,902,884","£7,618,329","£7,804,634","£7,767,290",,,,,,,,"£7,807,900"
