Nationality Type1,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
All Nationality Types4,"5,230","5,630","5,800","5,999","6,291","6,835","6,579","6,774","6,715","6,942","7,722"
UK National,"4,755","5,130","5,203","5,360","5,658","6,185","5,901","6,067","5,966","6,145","6,918"
EEA Foreign National,127,154,178,204,196,221,267,274,193,358,380
Foreign National,348,346,419,435,437,429,411,433,556,418,426
All Nationality Types4,"4,003","4,348","4,652","4,847","5,058","5,535","5,418","5,606","5,703","5,897","6,618"
UK National,"3,499","3,744","3,909","4,047","4,271","4,729","4,645","4,860","4,927","5,156","5,877"
EEA Foreign National,99,128,149,174,167,204,245,250,178,326,345
Non EEA Foreign National,312,309,371,384,379,368,367,395,526,402,397
All Nationality Types4,"1,240","1,489","1,438","1,449","1,528","1,614","1,349","1,301","1,118","1,045","1,104"
UK National,"1,256","1,386","1,294","1,313","1,387","1,456","1,256","1,207","1,039",989,"1,041"
EEA Foreign National,28,26,29,30,29,17,22,24,15,32,35
Non EEA Foreign National,36,37,48,51,58,61,44,38,30,16,29
