,"30 June
2012","30 September
2012","31 December 
2012","31 March
2013","30 June
2013","30 September
2013"
White,"61,867","62,350","60,752","60,807","60,706","61,542"
Mixed,"3,159","3,182","3,144","3,189","3,208","3,244"
Asian or Asian British,"6,335","6,457","6,255","6,482","6,474","6,477"
Black or Black British,"11,281","11,154","10,784","10,808","10,847","10,821"
Chinese or Other ethnic group,960,954,"1,020",983,"1,014",996
Not stated,137,143,151,142,178,192
Unrecorded,"2,309","2,217","1,651","1,358","1,415","1,216"
White,"58,760","59,105","57,716","57,812","57,732","58,466"
Mixed,"2,992","3,013","2,959","3,023","3,051","3,084"
Asian or Asian British,"6,194","6,327","6,117","6,330","6,334","6,332"
Black or Black British,"10,809","10,685","10,319","10,369","10,389","10,382"
Chinese or Other ethnic group,892,891,959,910,950,932
Not stated,136,141,150,141,177,191
Unrecorded,"2,142","2,172","1,617","1,315","1,356","1,168"
White,"3,107","3,245","3,036","2,995","2,974","3,076"
Mixed,167,169,185,166,157,160
Asian or Asian British,141,130,138,152,140,145
Black or Black British,472,469,465,439,458,439
Chinese or Other ethnic group,68,63,61,73,64,64
Not stated,1,2,1,1,1,1
Unrecorded,167,45,34,43,59,48
