,"Jan-Mar
2016","Apr-Jun
2016","Jul-Sep 
2016",Oct-Dec 2016,Jan-Mar 2017,"Percentage change
Jan-Mar
2016 to 2017"
Average sentence length in months,18.5,18.0,18.6,18.6,18.6,1%
Less than or equal to 6 months,3.2,3.2,3.1,3.1,3.1,-2%
Greater than 6 months to less than 12 months,8.6,8.5,8.6,8.3,8.4,-2%
12 months to less than 4 years,24.4,24.3,24.5,24.9,24.6,1%
12 months to less than 2 years,15.8,15.8,15.8,15.9,15.8,0%
2 years to less than 4 years,32.3,32.2,32.3,32.3,32.0,-1%
4 years or more (excluding indeterminate sentences),76.0,75.4,76.9,76.1,77.0,1%
4 years to less than 5 years,50.7,50.8,50.7,50.9,50.9,0%
5 years to less than 7 years,67.8,67.2,67.5,67.4,68.2,1%
7 years to less than 10 years,95.6,95.4,96.8,95.4,96.1,1%
10 years to less than 14 years,132.6,131.5,133.1,132.2,134.6,2%
14 years or more (excluding indeterminate sentences),189.6,198.2,196.1,197.2,194.4,3%
Extended determinate sentence,55.0,49.4,51.3,53.2,58.0,5%
Average time served including remand in months,11.0,10.7,11.3,11.3,11.3,3%
Less than or equal to 6 months,2.7,2.5,2.8,3.0,3.1,14%
Greater than 6 months to less than 12 months,5.3,5.4,5.5,5.5,5.3,-1%
12 months to less than 4 years,13.5,13.5,14.0,14.1,13.7,2%
12 months to less than 2 years,8.8,8.4,9.1,9.0,9.2,5%
2 years to less than 4 years,17.7,18.2,18.4,18.2,17.5,-1%
4 years or more (excluding indeterminate sentences),44.3,44.2,44.9,44.3,44.8,1%
4 years to less than 5 years,30.1,30.0,30.5,30.3,30.0,-0%
5 years to less than 7 years,39.5,39.3,39.4,39.9,40.9,4%
7 years to less than 10 years,54.4,57.9,55.8,55.4,53.7,-1%
10 years to less than 14 years,77.1,73.4,74.1,72.3,74.9,-3%
14 years or more (excluding indeterminate sentences),115.0,101.4,110.4,103.6,109.9,-4%
Extended determinate sentence,38.8,39.2,47.4,41.4,45.2,16%
"Percentage of time served including remand (1,2)",59%,59%,61%,61%,61%,1pp
Less than or equal to 6 months,86%,79%,89%,97%,99%,14pp
Greater than 6 months to less than 12 months,62%,63%,63%,66%,63%,0pp
12 months to less than 4 years,55%,55%,57%,56%,56%,0pp
12 months to less than 2 years,56%,54%,58%,57%,58%,3pp
2 years to less than 4 years,55%,56%,57%,56%,55%,-0pp
4 years or more (excluding indeterminate sentences),58%,59%,58%,58%,58%,-0pp
4 years to less than 5 years,59%,59%,60%,60%,59%,-0pp
5 years to less than 7 years,58%,58%,58%,59%,60%,2pp
7 years to less than 10 years,57%,61%,58%,58%,56%,-1pp
10 years to less than 14 years,58%,56%,56%,55%,56%,-3pp
14 years or more (excluding indeterminate sentences),61%,51%,56%,53%,57%,-4pp
Extended determinate sentence,71%,79%,92%,78%,78%,7pp
