Organisation name,Organisation code,Effective date,Directorate / service where expenditure incurred,Service category label,Service category URI,Supplier (beneficiary) name,Local supplier(beneficiary) internal reference,Supplier registered company number,Supplier registered charity number,VCSE grant,Payment date,Transaction number,Net amount,Irrecoverable VAT,Purpose of spend,Procurement classification / merchant category:  Council's procurement category name,Procurement classification / merchant category: CPV label,Procurement classification / merchant category:  CPV code,Procurement classification / merchant category: Proclass label,Procurement classification / merchant category: Proclass code,Card transaction,Contract reference,CQC Location ID,Gross amount (where Net not available),P-Card merchant Category
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,TARMAC TRADING LTD,1937840,,,NO,1/2/17,7114884,£483.53,£0.00,HIGHWAYS AND RELATED SERVICES (CONTRACT A - WORKS),HIGHWAYS-WORKS.CAPITAL SCHEMES,,,,,NO,WON42029,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Resources,,,CDEC LIMITED,295446,4102256,,NO,1/2/17,7114883,"£7,222.00",£0.00,AUDIO VISUAL EQUIPMENT,AUDIO VISUAL EQUIPMENT,,,,,NO,,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Children's Services,,,DAYNES OFFICE INTERIORS (SABER DAYNES),82156,,,NO,1/2/17,7114879,"£8,739.40",£0.00,PURCHASE OF FURNITURE,,,,,,NO,,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,FRIMSTONE LIMITED,69097,,,NO,1/2/17,7114882,"£56,163.52",£0.00,TREATMENT AND DISPOSAL OF RESIDUAL WASTE,WASTE-RESIDUAL WASTE DISPOSAL,,,,,NO,AON48835,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7117963,"£3,425.00",£0.00,PLANT HIRE WITH OPERATOR,VEHICLE & PLANT LEASING/RENTAL.CONTRACT PLANT & MACHINERY HIRE,,,,,NO,AON44020,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,SE1520.51550.20170103.BAN10545,"£4,074.49",£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10545,1-2223034376,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,SE1520.52070.20170103.BAN10545,£95.52,£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10545,1-2223034376,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,SE1510.52070.20170103.BAN10313,"£11,934.42",£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10313,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,SE1500.50210.20170103.BAN10367,£921.02,£0.00,ADULTS - CARE HOMES AND CARE HOMES WITH NURSING : 2012 (MANTON HOUSE),ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10367,1-135093397,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,SE1510.52070.20170103.BAN10438,"£2,245.29",£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10438,1-134373180,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,SE1510.52070.20170103.BAN10438,£136.14,£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10438,1-134373180,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,SE1530.50210.20170103.BAN10334,"£1,558.64",£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10334,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,SE1540.52070.20170103.BAN10334,£40.49,£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10334,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7117896,"£3,536.00",£0.00,PLANT HIRE WITH OPERATOR,VEHICLE & PLANT LEASING/RENTAL.CONTRACT PLANT & MACHINERY HIRE,,,,,NO,AON44012E,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,SE1500.52070.20170103.BAN10160,"£2,086.16",£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10160,1-144413449,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,SV4145.55560.20170103.BAN10544,"£1,250.00",£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10544,1-119602938,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,SE1540.51550.20170103.BAN10489,£843.64,£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10489,1-126282274,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,SE1540.52070.20170103.BAN10489,£300.30,£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10489,1-126282274,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,SV4146.55560.20170103.BAN10489,£491.08,£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10489,1-126282274,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Children's Services,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7116812,£546.96,£0.00,NON STAFF PUBLIC TRANSPORT COSTS,,,,,,NO,,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Resources,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7118076,"£2,722.30",£0.00,CORONER'S SERVICES - PATHOLOGY/MEDICAL SERVICES,CORONER'S AND FUNERAL SERVICES.PATHOLOGY,,,,,NO,BUN41533L,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Resources,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7118081,"£1,177.90",£0.00,CORONER'S SERVICES - PATHOLOGY/MEDICAL SERVICES,CORONER'S AND FUNERAL SERVICES.PATHOLOGY,,,,,NO,BUN41533G,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Resources,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7118085,"£1,481.00",£0.00,CORONER'S SERVICES - PATHOLOGY/MEDICAL SERVICES,CORONER'S AND FUNERAL SERVICES.PATHOLOGY,,,,,NO,BUN41533E,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Resources,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7118079,"£1,092.20",£0.00,CORONER'S SERVICES - PATHOLOGY/MEDICAL SERVICES,CORONER'S AND FUNERAL SERVICES.PATHOLOGY,,,,,NO,BUN41533I,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Resources,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7118080,"£1,361.00",£0.00,CORONER'S SERVICES - PATHOLOGY/MEDICAL SERVICES,CORONER'S AND FUNERAL SERVICES.PATHOLOGY,,,,,NO,BUN41533D,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Resources,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7118077,"£3,149.80",£0.00,CORONER'S SERVICES - PATHOLOGY/MEDICAL SERVICES,CORONER'S AND FUNERAL SERVICES.PATHOLOGY,,,,,NO,BUN41533M,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,SE1510.52070.20170103.BAN10273,£293.28,£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10273,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,SE1510.52070.20170103.BAN10273,£273.93,£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10273,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Resources,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7118078,"£3,836.60",£0.00,CORONER'S SERVICES - PATHOLOGY/MEDICAL SERVICES,CORONER'S AND FUNERAL SERVICES.PATHOLOGY,,,,,NO,BUN41533P,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Resources,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,7118084,"£1,920.00",£0.00,CORONER'S SERVICES - PATHOLOGY/MEDICAL SERVICES,CORONER'S AND FUNERAL SERVICES.PATHOLOGY,,,,,NO,BUN41533H,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,REDACTED,REDACTED,REDACTED,,NO,1/3/17,SE1510.52070.20170103.BAN10187,"-£1,419.81",£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10187,,,
