,,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005,2006.0,2007.0,2008.0
Under 16 years,Male,58.0,73.0,44.0,57.0,56.0,41.0,43.0,47.0,55.0,49.0,56.0,56.0,35.0,49.0,26.0,35.0,36,18.0,35.0,18.0
,Female,40.0,39.0,28.0,45.0,34.0,47.0,32.0,36.0,20.0,37.0,43.0,23.0,28.0,34.0,22.0,19.0,25,20.0,28.0,12.0
16 – 59,Male,70.0,63.0,59.0,49.0,51.0,47.0,39.0,34.0,42.0,32.0,42.0,48.0,40.0,28.0,33.0,38.0,38,32.0,31.0,33.0
,Female,41.0,30.0,37.0,40.0,30.0,26.0,26.0,26.0,17.0,27.0,24.0,29.0,23.0,26.0,19.0,21.0,31,24.0,16.0,10.0
Over 59 years,Male,14.0,15.0,15.0,11.0,16.0,12.0,11.0,11.0,10.0,8.0,10.0,11.0,5.0,10.0,11.0,6.0,4,8.0,6.0,5.0
,Female,25.0,17.0,15.0,10.0,15.0,20.0,17.0,10.0,11.0,11.0,15.0,12.0,11.0,6.0,5.0,14.0,8,6.0,7.0,3.0
Under 16 years,Male,28.0,34.0,18.0,32.0,26.0,19.0,16.0,25.0,26.0,18.0,29.0,26.0,25.0,18.0,22.0,14.0,18,19.0,7.0,13.0
,Female,4.0,5.0,5.0,4.0,6.0,7.0,2.0,5.0,7.0,3.0,2.0,7.0,3.0,2.0,4.0,4.0,2,2.0,1.0,0.0
16 – 59,Male,36.0,38.0,34.0,38.0,40.0,34.0,26.0,33.0,47.0,37.0,37.0,46.0,32.0,21.0,27.0,21.0,22,33.0,27.0,30.0
,Female,2.0,8.0,8.0,7.0,3.0,3.0,2.0,3.0,7.0,1.0,4.0,5.0,1.0,3.0,1.0,5.0,4,1.0,3.0,5.0
Over 59 years,Male,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,0,1.0,5.0,2.0
,Female,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0
Under 20 years,Male,25.0,29.0,11.0,9.0,6.0,5.0,5.0,3.0,9.0,4.0,7.0,13.0,24.0,21.0,24.0,25.0,19,13.0,15.0,12.0
,Female,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,0,2.0,1.0,0.0
20 – 29,Male,32.0,36.0,33.0,23.0,20.0,13.0,11.0,7.0,12.0,8.0,18.0,10.0,17.0,15.0,8.0,9.0,10,7.0,12.0,5.0
,Female,3.0,1.0,4.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0
Over 29 years,Male,19.0,17.0,18.0,14.0,14.0,16.0,17.0,17.0,18.0,21.0,12.0,33.0,33.0,27.0,34.0,22.0,24,16.0,13.0,17.0
,Female,4.0,3.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,3.0,1.0,2,1.0,1.0,1.0
Under 20 years,Male,31.0,37.0,33.0,34.0,42.0,32.0,29.0,18.0,25.0,36.0,22.0,25.0,31.0,24.0,27.0,31.0,23,22.0,17.0,13.0
,Female,18.0,18.0,20.0,21.0,17.0,15.0,15.0,11.0,13.0,19.0,16.0,12.0,17.0,12.0,10.0,14.0,14,12.0,13.0,11.0
20 – 29,Male,70.0,63.0,75.0,66.0,76.0,81.0,63.0,65.0,90.0,74.0,81.0,76.0,78.0,77.0,72.0,67.0,65,53.0,63.0,46.0
,Female,52.0,70.0,50.0,56.0,76.0,68.0,68.0,68.0,58.0,75.0,73.0,65.0,61.0,56.0,60.0,47.0,62,47.0,53.0,60.0
Over 29 years,Male,117.0,119.0,123.0,127.0,131.0,132.0,110.0,135.0,148.0,150.0,183.0,179.0,168.0,159.0,168.0,146.0,132,104.0,99.0,93.0
,Female,89.0,100.0,98.0,90.0,122.0,139.0,98.0,107.0,159.0,151.0,142.0,149.0,145.0,147.0,150.0,158.0,122,130.0,111.0,89.0
